dt,open,high,low,close,value,volume
2020-03-02,7.38,7.4,7.32,7.32,142910.0,
2020-03-03,7.3,7.32,7.3,7.3,70094.0,
2020-03-04,7.3,7.3,7.2,7.2,33940.0,
2020-03-05,7.2,7.35,7.2,7.21,70003.0,
2020-03-06,7.21,8.51,7.21,7.95,631038.0,
2020-03-09,8.0,8.0,6.9,6.9,577418.0,
2020-03-10,6.5,6.5,6.0,6.25,42229.0,
2020-03-11,6.25,6.82,6.15,6.82,172802.0,
2020-03-12,6.5,6.5,6.3,6.3,68053.0,
2020-03-13,6.0,6.05,4.5,6.05,440928.0,
2020-03-16,6.05,6.05,5.1,5.55,70971.0,
2020-03-19,5.5,5.54,3.3,4.19,332173.0,
2020-03-20,4.1,4.5,4.1,4.35,69290.0,
2020-03-23,4.35,5.5,4.3,5.45,224000.0,
2020-03-24,6.0,6.05,5.5,5.85,713065.0,
2020-03-25,6.0,6.55,5.9,6.0,318821.0,
2020-03-26,6.1,6.5,6.0,6.0,526507.0,
2020-03-27,6.5,6.5,6.0,6.0,347463.0,
2020-03-30,6.0,6.0,5.8,6.0,95245.0,
2020-03-31,6.0,6.2,6.0,6.0,197587.0,
2020-04-01,6.19,6.19,6.0,6.09,128899.0,
2020-04-02,6.0,6.2,5.95,5.99,87624.0,
2020-04-03,6.2,6.2,5.94,5.98,314372.0,
2020-04-06,5.98,6.01,5.98,6.0,202096.0,
2020-04-07,6.14,6.2,5.5,5.9,868780.0,
2020-04-08,5.95,5.95,5.87,5.87,112547.0,
2020-04-13,5.93,6.14,5.85,5.89,508920.0,
2020-04-14,6.14,6.14,6.0,6.06,334680.0,
2020-04-15,6.12,6.12,6.08,6.1,546348.0,
2020-04-16,6.11,6.19,6.11,6.16,346887.0,
2020-04-17,6.2,6.25,6.09,6.2,522176.0,
2020-04-20,6.2,6.24,6.11,6.15,247955.0,
2020-04-21,6.15,6.25,6.12,6.24,143629.0,
2020-04-22,6.24,6.24,6.15,6.16,242107.0,
2020-04-23,6.5,9.24,6.5,9.24,5814747.0,
2020-04-24,10.0,12.5,9.5,10.92,58618684.0,
2020-04-27,10.5,10.7,9.25,9.35,10153271.0,
2020-04-28,9.1,10.0,8.6,9.4,5775296.0,
2020-04-29,9.5,11.3,9.15,11.2,15292949.0,
2020-04-30,10.7,12.2,10.5,10.6,20993480.0,
2020-05-04,10.98,11.5,10.68,11.08,6513944.0,
2020-05-05,11.4,11.4,10.9,10.96,2433456.0,
2020-05-06,10.98,11.0,10.02,10.62,3828644.0,
2020-05-07,10.8,10.8,10.1,10.22,1121762.0,
2020-05-08,10.32,10.58,9.54,9.82,2539405.0,
2020-05-11,9.82,10.4,9.82,10.22,890733.0,
2020-05-12,10.56,10.56,10.0,10.1,694550.0,
2020-05-13,10.46,10.46,9.86,9.88,663656.0,
2020-05-14,10.0,10.0,9.65,9.75,647967.0,
2020-05-15,9.75,10.0,9.71,9.8,302949.0,
2020-05-18,10.0,10.36,9.9,10.2,1693624.0,
2020-05-19,10.2,10.28,9.7,9.7,1546811.0,
2020-05-20,9.72,9.78,9.7,9.72,342222.0,
2020-05-21,9.75,10.18,9.75,9.75,288360.0,
2020-05-22,10.08,10.08,9.64,9.64,510300.0,
2020-05-26,9.55,9.65,8.8,9.58,812461.0,
2020-05-27,9.58,9.58,8.78,9.2,188314.0,
2020-05-28,9.0,9.25,8.78,9.25,363533.0,
2020-05-29,9.25,9.32,9.0,9.25,206782.0,
2020-06-01,9.7,10.16,9.5,9.9,1683427.0,
2020-06-02,9.9,9.9,9.3,9.54,1309080.0,
2020-06-03,9.6,9.6,9.25,9.5,633877.0,
2020-06-04,9.55,9.55,9.25,9.5,859225.0,
2020-06-05,9.55,9.78,9.5,9.64,626673.0,
2020-06-08,9.65,9.65,9.4,9.51,1418976.0,
2020-06-09,9.55,9.8,9.55,9.8,1520175.0,
2020-06-10,10.3,12.2,10.0,11.5,27402032.0,
2020-06-11,11.5,13.46,11.0,11.14,40517550.0,
2020-06-15,11.14,11.14,9.75,10.26,5782548.0,
2020-06-16,10.26,10.88,9.82,10.3,3808071.0,
2020-06-17,10.48,10.7,10.28,10.3,3031588.0,
2020-06-18,10.3,10.4,10.0,10.3,2026330.0,
2020-06-19,10.38,10.5,9.9,10.24,2495736.0,
2020-06-22,10.24,10.38,9.9,10.02,1463081.0,
2020-06-23,10.34,10.34,9.9,10.18,1995392.0,
2020-06-24,10.18,10.2,9.92,9.95,497824.0,
2020-06-25,9.95,9.95,9.5,9.56,2487004.0,
