dt,open,high,low,close,value,volume
2020-03-02,11.48,11.48,11.48,11.48,2296.0,
2020-03-03,11.46,11.48,10.9,11.44,204800.0,
2020-03-04,11.42,11.42,10.8,11.42,4506.0,
2020-03-05,11.42,11.42,10.8,11.0,56404.0,
2020-03-06,10.68,10.98,10.68,10.98,8604.0,
2020-03-09,10.68,10.68,10.56,10.56,129260.0,
2020-03-10,9.51,10.56,9.51,10.56,118012.0,
2020-03-11,9.98,10.7,9.98,10.7,96342.0,
2020-03-12,10.7,10.7,9.4,10.64,511068.0,
2020-03-13,10.6,10.6,9.0,10.6,258008.0,
2020-03-16,9.54,10.5,9.54,10.5,88020.0,
2020-03-19,9.45,10.2,9.45,10.18,90118.0,
2020-03-20,10.38,10.38,10.1,10.3,56386.0,
2020-03-23,10.3,10.3,10.2,10.3,56480.0,
2020-03-24,10.4,10.4,10.1,10.4,87060.0,
2020-03-25,10.46,10.5,10.4,10.5,163982.0,
2020-03-26,10.5,10.7,10.5,10.7,156420.0,
2020-03-27,10.7,10.92,10.0,10.86,239858.0,
2020-03-30,10.86,10.86,10.86,10.86,98826.0,
2020-03-31,10.86,10.86,10.5,10.86,191502.0,
2020-04-01,10.86,10.86,10.86,10.86,100998.0,
2020-04-02,10.86,10.86,10.86,10.86,65160.0,
2020-04-03,10.86,10.86,10.86,10.86,67332.0,
2020-04-06,10.9,10.9,10.86,10.86,67340.0,
2020-04-07,10.86,10.86,10.86,10.86,59730.0,
2020-04-08,10.86,10.86,10.78,10.86,75904.0,
2020-04-13,10.86,10.86,10.84,10.86,56468.0,
2020-04-14,10.86,10.86,10.86,10.86,49956.0,
2020-04-15,10.86,10.94,10.86,10.94,32660.0,
2020-04-16,10.86,10.86,10.86,10.86,73848.0,
2020-04-17,10.94,10.94,10.5,10.94,890666.0,
2020-04-20,11.0,11.0,10.5,10.5,854360.0,
2020-04-21,,,,,,
2020-04-22,10.7,10.7,10.7,10.7,85600.0,
2020-04-23,10.7,10.7,10.7,10.7,18190.0,
2020-04-24,10.7,10.7,10.7,10.7,5350.0,
2020-04-27,10.7,10.7,10.7,10.7,5350.0,
2020-04-28,10.5,10.7,10.5,10.7,97710.0,
2020-04-29,10.7,10.7,10.7,10.7,47080.0,
2020-04-30,10.9,10.9,10.3,10.88,16040.0,
2020-05-04,10.88,10.88,10.88,10.88,2176.0,
2020-05-05,10.9,10.9,10.9,10.9,3270.0,
2020-05-06,10.2,10.9,10.04,10.7,71358.0,
2020-05-07,10.7,10.7,9.7,10.7,226678.0,
2020-05-08,10.68,10.68,10.66,10.66,1066800.0,
2020-05-11,10.0,10.66,9.5,10.66,343049.0,
2020-05-12,10.66,10.7,10.66,10.7,5346.0,
2020-05-13,10.7,10.7,10.7,10.7,5350.0,
2020-05-14,10.66,10.66,10.66,10.66,3198.0,
2020-05-15,10.66,10.66,10.64,10.64,4262.0,
2020-05-18,10.64,11.0,10.64,11.0,265406.0,
2020-05-19,11.0,11.0,9.7,10.66,501200.0,
2020-05-20,9.86,10.5,9.84,10.5,100540.0,
2020-05-21,10.5,10.5,9.85,10.4,146989.0,
2020-05-22,10.38,10.8,9.84,10.24,679423.0,
2020-05-26,10.2,10.24,9.8,10.22,296495.0,
2020-05-27,10.22,10.22,10.2,10.2,12244.0,
2020-05-28,10.2,10.2,10.0,10.2,118236.0,
2020-05-29,10.2,10.2,9.7,10.18,309829.0,
2020-06-01,10.2,10.2,10.2,10.2,410040.0,
2020-06-02,10.2,10.2,10.2,10.2,2040.0,
2020-06-03,10.18,10.18,10.1,10.18,20312.0,
2020-06-04,,,,,,
2020-06-05,10.0,10.18,10.0,10.18,70734.0,
2020-06-08,10.18,10.18,10.18,10.18,5090.0,
2020-06-09,10.18,10.18,10.0,10.18,24228.0,
2020-06-10,10.18,10.18,10.0,10.18,33354.0,
2020-06-11,10.0,10.18,10.0,10.18,48326.0,
2020-06-15,10.0,10.18,9.71,10.18,48615.0,
2020-06-16,10.0,10.18,9.82,10.16,44048.0,
2020-06-17,10.12,10.16,10.12,10.16,11136.0,
2020-06-18,10.0,10.16,10.0,10.16,28228.0,
2020-06-19,10.0,10.16,10.0,10.16,30288.0,
2020-06-22,10.16,10.16,9.8,10.16,81196.0,
2020-06-23,10.1,10.5,9.81,10.18,539269.0,
2020-06-24,10.48,10.5,9.84,10.2,109476.0,
2020-06-25,10.18,10.18,9.84,10.18,115298.0,
2020-06-26,10.18,10.18,9.84,10.18,8004.0,
2020-06-29,9.84,10.18,9.84,10.18,38410.0,
2020-06-30,10.18,10.18,10.18,10.18,1018.0,
2020-07-01,10.18,10.18,9.84,10.18,44724.0,
2020-07-02,10.2,10.2,9.8,10.18,250140.0,
2020-07-03,10.18,10.18,9.8,9.8,22958.0,
2020-07-06,9.99,9.99,9.71,9.71,40511.0,
2020-07-07,10.14,10.14,9.5,9.9,51722.0,
2020-07-08,8.62,9.2,8.62,9.19,306635.0,
2020-07-09,9.0,9.0,8.62,8.8,262874.0,
2020-07-10,8.8,8.98,8.8,8.81,117503.0,
2020-07-13,8.8,8.8,7.6,8.8,329788.0,
2020-07-14,,,,,,
2020-07-15,8.0,8.0,7.7,7.99,674413.0,
2020-07-16,7.98,7.98,7.72,7.96,18059.0,
2020-07-17,7.98,7.98,7.71,7.98,165284.0,
2020-07-20,8.19,8.19,7.98,8.19,69499.0,
2020-07-21,8.19,8.24,7.98,8.0,132198.0,
2020-07-22,8.15,8.16,7.98,7.98,91383.0,
2020-07-23,8.15,8.15,7.73,8.0,227657.0,
2020-07-24,8.15,8.16,7.65,8.15,55084.0,
2020-07-27,8.15,8.16,7.78,8.16,58261.0,
2020-07-28,8.16,8.16,8.1,8.1,3246.0,
2020-07-29,8.25,8.25,7.66,8.24,5596.0,
2020-07-30,8.24,8.24,7.66,8.16,47226.0,
2020-08-03,8.24,8.24,7.6,8.18,56002.0,
2020-08-04,,,,8.16,,500.0
