dt,open,high,low,close,value,volume
2020-03-02,0.7,0.7,0.67,0.68,4092890.0,
2020-03-03,0.69,0.71,0.69,0.69,3325980.0,
2020-03-04,0.69,0.69,0.67,0.69,1498740.0,
2020-03-05,0.69,0.71,0.67,0.7,2720670.0,
2020-03-06,0.7,0.7,0.68,0.68,994460.0,
2020-03-09,0.67,0.67,0.58,0.59,7781420.0,
2020-03-10,0.56,0.59,0.53,0.58,5629100.0,
2020-03-11,0.58,0.62,0.57,0.61,8372100.0,
2020-03-12,0.59,0.59,0.53,0.58,3436740.0,
2020-03-13,0.52,0.55,0.46,0.54,6982215.0,
2020-03-16,0.53,0.53,0.49,0.51,1550700.0,
2020-03-19,0.485,0.495,0.445,0.45,3354570.0,
2020-03-20,0.45,0.49,0.45,0.47,1113350.0,
2020-03-23,0.46,0.47,0.44,0.45,1252400.0,
2020-03-24,0.44,0.46,0.44,0.46,215600.0,
2020-03-25,0.475,0.49,0.475,0.485,1792900.0,
2020-03-26,0.495,0.52,0.49,0.52,4513950.0,
2020-03-27,0.53,0.56,0.5,0.52,4073620.0,
2020-03-30,0.5,0.52,0.48,0.5,1150820.0,
2020-03-31,0.51,0.52,0.5,0.52,811520.0,
2020-04-01,0.52,0.53,0.51,0.51,737200.0,
2020-04-02,0.51,0.52,0.5,0.52,428710.0,
2020-04-03,0.53,0.53,0.51,0.52,1041630.0,
2020-04-06,0.52,0.53,0.5,0.51,1001390.0,
2020-04-07,0.51,0.53,0.5,0.51,2803300.0,
2020-04-08,0.51,0.52,0.5,0.52,713770.0,
2020-04-13,0.52,0.53,0.51,0.52,773680.0,
2020-04-14,0.53,0.6,0.53,0.59,10552180.0,
2020-04-15,0.61,0.63,0.57,0.57,4465410.0,
2020-04-16,0.58,0.58,0.54,0.56,3264150.0,
2020-04-17,0.56,0.58,0.56,0.57,1527390.0,
2020-04-20,0.58,0.59,0.56,0.59,4188780.0,
2020-04-21,0.59,0.63,0.57,0.6,5127510.0,
2020-04-22,0.6,0.61,0.58,0.6,2468850.0,
2020-04-23,0.6,0.61,0.57,0.6,2798110.0,
2020-04-24,0.6,0.6,0.58,0.59,1524250.0,
2020-04-27,0.59,0.59,0.56,0.57,2292910.0,
2020-04-28,0.58,0.58,0.57,0.57,775260.0,
2020-04-29,0.57,0.59,0.57,0.59,1141190.0,
2020-04-30,0.59,0.6,0.58,0.58,1892060.0,
2020-05-04,0.58,0.58,0.55,0.56,3032090.0,
2020-05-05,0.57,0.58,0.55,0.57,1345250.0,
2020-05-06,0.55,0.58,0.54,0.56,3329680.0,
2020-05-07,0.55,0.56,0.54,0.55,1807990.0,
2020-05-08,0.55,0.56,0.54,0.55,751580.0,
2020-05-11,0.56,0.56,0.54,0.55,439960.0,
2020-05-12,0.54,0.56,0.52,0.53,5776710.0,
2020-05-13,0.53,0.54,0.51,0.51,4862820.0,
2020-05-14,0.52,0.52,0.5,0.52,1781860.0,
2020-05-15,0.52,0.53,0.51,0.53,823940.0,
2020-05-18,0.53,0.53,0.5,0.51,1371790.0,
2020-05-19,0.51,0.52,0.5,0.51,992170.0,
2020-05-20,0.51,0.52,0.5,0.52,577970.0,
2020-05-21,0.51,0.52,0.5,0.51,382760.0,
2020-05-22,0.51,0.51,0.485,0.485,3506345.0,
2020-05-26,0.485,0.5,0.465,0.475,2192300.0,
2020-05-27,0.47,0.49,0.47,0.48,225900.0,
2020-05-28,0.48,0.48,0.47,0.475,547050.0,
2020-05-29,0.48,0.49,0.47,0.47,1237350.0,
2020-06-01,0.47,0.485,0.47,0.475,684700.0,
2020-06-02,0.48,0.495,0.475,0.495,877800.0,
2020-06-03,0.495,0.51,0.485,0.5,2320950.0,
2020-06-04,0.51,0.53,0.51,0.53,3618060.0,
2020-06-05,0.54,0.55,0.52,0.54,3352060.0,
2020-06-08,0.54,0.58,0.51,0.57,11379250.0,
2020-06-09,0.57,0.57,0.54,0.56,2726090.0,
2020-06-10,0.56,0.56,0.53,0.54,2567990.0,
2020-06-11,0.54,0.54,0.5,0.51,10407330.0,
2020-06-15,0.51,0.52,0.485,0.5,3654760.0,
2020-06-16,0.5,0.51,0.495,0.51,1077950.0,
2020-06-17,0.51,0.51,0.495,0.5,1642175.0,
2020-06-18,0.5,0.5,0.49,0.49,2844000.0,
2020-06-19,0.495,0.5,0.485,0.5,1833600.0,
2020-06-22,0.5,0.51,0.485,0.49,1893315.0,
2020-06-23,0.49,0.495,0.485,0.49,2069000.0,
2020-06-24,0.49,0.49,0.485,0.485,2086000.0,
2020-06-25,0.485,0.485,0.48,0.48,1955850.0,
2020-06-26,0.48,0.49,0.475,0.485,1717100.0,
2020-06-29,0.485,0.485,0.455,0.465,6614750.0,
2020-06-30,0.47,0.475,0.455,0.465,2900000.0,
2020-07-01,0.46,0.475,0.46,0.465,1453600.0,
2020-07-02,0.465,0.495,0.46,0.495,4166900.0,
2020-07-03,0.5,0.51,0.48,0.485,4487100.0,
2020-07-06,0.49,0.49,0.47,0.47,2359600.0,
2020-07-07,0.475,0.48,0.465,0.47,1597150.0,
2020-07-08,0.475,0.475,0.465,0.465,2436350.0,
2020-07-09,0.46,0.465,0.46,0.465,1568950.0,
2020-07-10,0.475,0.51,0.47,0.5,20098100.0,
2020-07-13,0.51,0.53,0.5,0.5,11215960.0,
2020-07-14,0.5,0.5,0.47,0.475,8851455.0,
2020-07-15,0.475,0.475,0.46,0.465,3915200.0,
2020-07-16,0.465,0.475,0.465,0.47,862500.0,
2020-07-17,0.465,0.47,0.465,0.47,774600.0,
2020-07-20,0.47,0.48,0.465,0.48,980850.0,
2020-07-21,0.48,0.485,0.47,0.485,1823750.0,
2020-07-22,0.485,0.485,0.465,0.47,1711800.0,
2020-07-23,0.465,0.475,0.465,0.465,1268000.0,
2020-07-24,0.465,0.47,0.46,0.47,511300.0,
2020-07-27,0.465,0.47,0.46,0.465,1428700.0,
2020-07-28,0.465,0.47,0.46,0.465,699650.0,
2020-07-29,0.465,0.465,0.46,0.465,683250.0,
2020-07-30,0.465,0.475,0.46,0.465,1481900.0,
2020-08-03,0.465,0.465,0.46,0.46,2117250.0,
2020-08-04,,,,0.465,,3800000.0
2020-08-05,,,,0.485,,6590000.0
2020-08-06,,,,0.475,,1780000.0
2020-08-07,,,,0.485,,7490000.0
2020-08-10,,,,0.48,,6700000.0
2020-08-11,,,,0.475,,5430000.0
2020-08-12,,,,0.465,,5480000.0
2020-08-13,,,,0.475,,5020000.0
2020-08-14,,,,0.47,,4050000.0
2020-08-17,,,,0.475,,3480000.0
2020-08-18,,,,0.47,,10700000.0
2020-08-19,,,,0.475,,4450000.0
2020-08-20,,,,0.475,,3980000.0
2020-08-24,,,,0.465,,4010000.0
2020-08-25,,,,0.475,,4020000.0
2020-08-26,,,,0.465,,2810000.0
2020-08-27,,,,0.47,,2000000.0
2020-08-28,,,,0.465,,1840000.0
2020-09-01,,,,0.47,,2150000.0
2020-09-02,,,,0.465,,2110000.0
2020-09-03,,,,0.47,,930000.0
2020-09-04,,,,0.475,,5230000.0
2020-09-07,,,,0.5,,21040000.0
2020-09-08,,,,0.49,,24977000.0
2020-09-09,,,,0.48,,4870000.0
2020-09-10,,,,0.485,,2890000.0
2020-09-11,,,,0.48,,3080000.0
2020-09-14,,,,0.49,,2910000.0
2020-09-15,,,,0.48,,6510000.0
2020-09-16,,,,0.475,,6660000.0
2020-09-17,,,,0.475,,3320000.0
2020-09-18,,,,0.475,,4340000.0
2020-09-21,,,,0.465,,10330000.0
2020-09-22,,,,0.47,,4980000.0
2020-09-23,,,,0.47,,2780000.0
2020-09-24,,,,0.47,,8140000.0
2020-09-25,,,,0.465,,1890000.0
