dt,open,high,low,close,value,volume
2020-03-02,9.99,9.99,9.7,9.7,20479.0,
2020-03-03,9.94,10.1,9.71,9.71,36054.0,
2020-03-04,9.71,9.71,9.66,9.66,78416.0,
2020-03-05,9.66,9.75,9.62,9.62,122546.0,
2020-03-06,9.75,9.75,9.0,9.69,215590.0,
2020-03-09,9.65,9.69,8.0,8.99,324111.0,
2020-03-10,8.96,8.96,8.0,8.93,1839091.0,
2020-03-11,8.2,8.93,8.2,8.35,32410.0,
2020-03-12,8.3,8.5,7.6,7.75,100872.0,
2020-03-13,7.4,7.9,6.32,6.7,239381.0,
2020-03-16,6.7,6.7,6.21,6.3,371775.0,
2020-03-19,5.9,5.9,5.05,5.5,125565.0,
2020-03-20,5.99,5.99,5.11,5.5,31495.0,
2020-03-23,5.6,5.96,5.2,5.5,25406.0,
2020-03-24,5.16,5.9,5.16,5.9,70060.0,
2020-03-25,5.78,5.9,5.5,5.5,143733.0,
2020-03-26,5.9,6.5,5.5,6.28,539874.0,
2020-03-27,6.44,6.44,5.71,5.71,382100.0,
2020-03-30,5.93,5.93,5.5,5.5,117685.0,
2020-03-31,5.71,5.71,5.51,5.51,282595.0,
2020-04-01,5.52,5.69,5.51,5.51,314292.0,
2020-04-02,5.56,5.85,5.5,5.52,455884.0,
2020-04-03,5.5,5.7,5.41,5.7,382014.0,
2020-04-06,5.75,5.83,5.46,5.82,123094.0,
2020-04-07,5.82,5.82,5.55,5.71,92444.0,
2020-04-08,5.55,5.82,5.55,5.61,20148.0,
2020-04-13,5.85,5.85,5.53,5.85,18507.0,
2020-04-14,5.98,7.0,5.65,6.78,362823.0,
2020-04-15,7.0,9.0,6.82,7.15,348731.0,
2020-04-16,7.99,8.3,7.17,7.6,104898.0,
2020-04-17,7.6,8.0,7.23,7.6,73670.0,
2020-04-20,7.58,7.93,7.26,7.77,128367.0,
2020-04-21,7.85,7.86,7.31,7.37,169175.0,
2020-04-22,7.36,7.58,7.01,7.1,172612.0,
2020-04-23,7.1,7.29,7.06,7.12,48477.0,
2020-04-24,7.15,7.15,6.55,7.01,68943.0,
2020-04-27,7.11,7.36,7.04,7.08,59031.0,
2020-04-28,7.46,7.46,7.09,7.16,53747.0,
2020-04-29,7.29,7.78,7.2,7.59,167538.0,
2020-04-30,7.8,7.98,7.63,7.7,205503.0,
2020-05-04,7.9,7.9,7.3,7.58,103932.0,
2020-05-05,7.58,7.95,7.21,7.8,43336.0,
2020-05-06,7.95,7.95,7.34,7.89,60519.0,
2020-05-07,6.89,7.79,6.89,7.75,295011.0,
2020-05-08,7.78,7.94,7.5,7.81,86992.0,
2020-05-11,8.0,8.59,7.81,7.92,264507.0,
2020-05-12,8.0,8.47,8.0,8.02,135139.0,
2020-05-13,8.3,8.3,8.01,8.08,117113.0,
2020-05-14,8.06,8.2,8.06,8.09,463634.0,
2020-05-15,8.1,8.2,8.0,8.08,252300.0,
2020-05-18,8.37,8.37,8.07,8.07,55497.0,
2020-05-19,8.07,8.3,7.9,7.92,931911.0,
2020-05-20,7.92,8.43,7.92,8.23,201560.0,
2020-05-21,8.22,8.23,7.96,8.19,28570.0,
2020-05-22,8.22,8.22,7.95,8.16,29205.0,
2020-05-26,7.96,8.15,7.95,8.11,28740.0,
2020-05-27,8.11,8.11,8.0,8.08,86208.0,
2020-05-28,8.1,8.1,7.94,8.07,11973.0,
2020-05-29,8.0,8.06,7.85,8.06,275590.0,
2020-06-01,7.66,8.17,7.66,8.01,38559.0,
2020-06-02,8.0,8.17,8.0,8.01,219355.0,
2020-06-03,8.17,8.17,7.79,8.01,49813.0,
