dt,open,high,low,close,value,volume
2020-03-02,22.55,24.15,20.65,23.5,51192475.0,
2020-03-03,24.0,24.3,22.6,22.6,29485325.0,
2020-03-04,22.0,23.5,21.5,21.75,27968930.0,
2020-03-05,22.8,23.0,21.7,21.95,12452755.0,
2020-03-06,21.85,21.85,21.0,21.0,20185245.0,
2020-03-09,21.0,21.1,19.1,19.4,14702027.0,
2020-03-10,19.1,20.9,18.5,20.3,27667591.0,
2020-03-11,20.4,21.3,19.22,19.22,18966443.0,
2020-03-12,19.2,19.2,16.52,16.6,21317620.0,
2020-03-13,15.7,18.5,14.8,18.38,13279382.0,
2020-03-16,18.34,18.34,16.26,16.54,10609828.0,
2020-03-19,16.2,16.2,15.0,15.3,8427400.0,
2020-03-20,15.04,16.2,15.0,15.8,3326386.0,
2020-03-23,15.56,15.6,15.1,15.42,2493570.0,
2020-03-24,15.58,16.18,15.5,15.8,2419182.0,
2020-03-25,16.0,16.4,15.96,16.1,2977242.0,
2020-03-26,16.1,16.5,15.9,16.02,4337298.0,
2020-03-27,16.88,16.88,16.0,16.06,3696436.0,
2020-03-30,15.98,15.98,15.4,15.88,3426984.0,
2020-03-31,15.9,15.92,15.68,15.82,2685344.0,
2020-04-01,15.86,15.94,15.76,15.9,1615508.0,
2020-04-02,15.9,15.92,15.56,15.8,2754014.0,
2020-04-03,15.8,16.0,15.6,16.0,2295636.0,
2020-04-06,16.0,16.68,16.0,16.58,15041630.0,
2020-04-07,16.64,17.42,16.64,17.1,12683502.0,
2020-04-08,17.2,17.3,16.58,16.84,1138326.0,
2020-04-13,16.86,17.28,16.86,17.1,1602048.0,
2020-04-14,17.12,18.12,17.12,17.6,5667248.0,
2020-04-15,17.5,18.38,17.12,17.74,8013240.0,
2020-04-16,17.6,17.74,17.3,17.3,4489614.0,
2020-04-17,16.98,17.5,16.98,17.4,2797906.0,
2020-04-20,17.38,17.38,17.08,17.28,1338398.0,
2020-04-21,17.14,17.14,16.82,16.82,2142036.0,
2020-04-22,16.8,16.8,16.64,16.8,914750.0,
2020-04-23,16.82,17.0,16.66,16.66,1232500.0,
2020-04-24,16.78,16.8,16.6,16.6,1237072.0,
2020-04-27,16.6,16.7,16.5,16.58,3100660.0,
2020-04-28,16.58,16.68,16.58,16.6,1177180.0,
2020-04-29,16.6,16.68,16.48,16.58,3194878.0,
2020-04-30,17.1,18.2,17.1,18.0,19273438.0,
2020-05-04,17.22,17.6,17.0,17.0,20354392.0,
2020-05-05,17.12,17.7,17.1,17.5,14468850.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,15.0,16.9,15.0,16.24,65567982.0,
2020-05-19,16.22,16.22,15.6,15.88,20387292.0,
2020-05-20,15.8,16.3,15.5,16.2,8050236.0,
2020-05-21,16.0,16.0,15.7,15.9,3332130.0,
2020-05-22,15.9,15.98,15.7,15.72,4228240.0,
