dt,open,high,low,close,value,volume
2020-03-02,19.12,19.12,18.38,18.6,21538056.0,
2020-03-03,18.8,19.24,18.72,18.8,19823446.0,
2020-03-04,18.74,18.74,17.5,17.5,11712590.0,
2020-03-05,18.38,18.4,18.0,18.2,2264298.0,
2020-03-06,17.9,18.0,17.72,17.82,1943222.0,
2020-03-09,17.5,17.5,16.12,16.12,13105592.0,
2020-03-10,15.7,17.8,15.56,17.7,2222492.0,
2020-03-11,17.6,17.8,17.24,17.24,7207138.0,
2020-03-12,17.24,17.24,15.9,15.9,1201484.0,
2020-03-13,15.54,16.0,14.0,16.0,1179110.0,
2020-03-16,16.0,16.0,15.5,15.98,1211464.0,
2020-03-19,15.56,15.56,14.0,14.0,2088266.0,
2020-03-20,14.98,14.98,14.0,14.0,322490.0,
2020-03-23,14.0,14.0,13.5,14.0,530862.0,
2020-03-24,13.3,14.0,13.3,14.0,645662.0,
2020-03-25,14.5,14.98,14.5,14.5,731860.0,
2020-03-26,14.52,14.52,14.0,14.0,2761480.0,
2020-03-27,14.48,14.48,14.0,14.0,1356230.0,
2020-03-30,14.02,14.02,13.8,13.8,346100.0,
2020-03-31,14.0,14.0,13.8,13.84,2027368.0,
2020-04-01,13.9,13.98,13.9,13.98,162146.0,
2020-04-02,13.98,13.98,13.94,13.98,1488470.0,
2020-04-03,,,,,,
2020-04-06,14.06,14.8,14.06,14.8,2150470.0,
2020-04-07,15.0,17.7,15.0,15.4,919620.0,
2020-04-08,15.5,15.5,15.3,15.3,585900.0,
2020-04-13,17.9,17.9,15.8,15.8,588230.0,
2020-04-14,16.0,16.2,15.68,16.2,2063244.0,
2020-04-15,16.2,16.2,16.02,16.12,1629382.0,
2020-04-16,15.54,15.62,15.54,15.62,2050712.0,
2020-04-17,17.88,17.88,15.7,15.7,636400.0,
2020-04-20,16.2,16.2,15.7,16.2,147540.0,
2020-04-21,15.8,15.8,15.2,15.2,509980.0,
2020-04-22,15.2,15.9,15.1,15.9,228800.0,
2020-04-23,,,,,,
2020-04-24,15.78,15.9,15.78,15.9,8108212.0,
2020-04-27,15.6,15.6,15.1,15.16,875790.0,
2020-04-28,15.2,15.2,15.2,15.2,76000.0,
2020-04-29,15.24,15.24,15.14,15.24,1349064.0,
2020-04-30,15.58,16.5,15.58,15.7,16832122.0,
2020-05-04,16.3,16.3,15.02,15.02,6031784.0,
2020-05-05,15.2,15.98,15.2,15.42,8845994.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,13.48,14.9,13.02,14.7,11956944.0,
2020-05-19,15.0,15.0,14.06,15.0,5882408.0,
2020-05-20,14.32,15.5,14.18,15.0,989808.0,
2020-05-21,15.0,15.0,14.8,14.8,380180.0,
2020-05-22,14.8,14.8,14.7,14.7,581440.0,
2020-05-26,14.6,14.6,13.42,13.52,1621492.0,
2020-05-27,13.52,13.8,13.52,13.54,43034022.0,
2020-05-28,13.8,13.8,13.6,13.6,1540800.0,
2020-05-29,13.6,13.6,13.6,13.6,6805440.0,
2020-06-01,13.6,14.0,13.6,13.8,5209540.0,
2020-06-02,13.8,14.5,13.8,14.26,9050850.0,
2020-06-03,14.26,14.5,14.26,14.26,6048550.0,
2020-06-04,14.48,14.5,14.1,14.1,1085048.0,
2020-06-05,14.94,15.0,14.72,14.8,2984348.0,
2020-06-08,14.82,15.0,14.76,14.76,2901378.0,
2020-06-09,15.0,15.0,14.76,14.98,2236954.0,
2020-06-10,14.76,15.0,14.76,15.0,5022600.0,
2020-06-11,15.3,15.3,14.8,15.0,1826864.0,
2020-06-15,14.9,15.0,14.76,14.8,6332240.0,
2020-06-16,14.76,14.76,14.72,14.74,711906.0,
2020-06-17,14.72,14.72,14.7,14.72,7481648.0,
2020-06-18,14.6,14.7,14.6,14.6,7962560.0,
2020-06-19,14.5,14.5,14.4,14.4,298690.0,
2020-06-22,14.1,14.48,14.1,14.3,732760.0,
2020-06-23,14.22,14.5,14.1,14.5,976212.0,
2020-06-24,14.12,14.62,14.12,14.54,4100946.0,
2020-06-25,14.56,14.68,14.56,14.68,104216.0,
2020-06-26,14.7,14.7,14.6,14.6,3649580.0,
2020-06-29,14.56,14.62,14.36,14.36,3002160.0,
2020-06-30,14.36,14.5,14.36,14.36,2359112.0,
2020-07-01,14.2,14.36,14.0,14.2,856728.0,
2020-07-02,14.7,14.7,14.68,14.7,1250910.0,
2020-07-03,14.7,14.7,14.7,14.7,632100.0,
2020-07-06,14.7,15.4,14.7,15.4,6448324.0,
2020-07-07,15.4,15.4,14.7,14.7,10707162.0,
2020-07-08,14.56,14.56,14.0,14.0,1767252.0,
2020-07-09,14.5,14.5,14.04,14.12,3866030.0,
2020-07-10,14.1,14.12,13.0,13.0,8861176.0,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,9.1,9.1,9.1,9.1,276640.0,
2020-07-24,8.47,8.47,6.37,6.85,19254255.0,
2020-07-27,6.8,7.5,6.76,7.3,4204922.0,
2020-07-28,7.3,7.5,6.9,7.36,586190.0,
2020-07-29,7.09,7.44,7.08,7.2,11488772.0,
2020-07-30,7.48,7.48,7.05,7.1,920447.0,
2020-08-03,7.06,7.15,7.01,7.15,16560005.0,
2020-08-04,,,,7.3,,11700.0
2020-08-06,,,,7.1,,6300.0
2020-08-07,,,,7.2,,238400.0
2020-08-10,,,,7.1,,167000.0
2020-08-11,,,,7.1,,269900.0
2020-08-12,,,,7.05,,806600.0
2020-08-13,,,,7.2,,271100.0
2020-08-14,,,,7.0,,95800.0
2020-08-17,,,,6.9,,76500.0
2020-08-18,,,,7.2,,184200.0
2020-08-20,,,,6.99,,238200.0
2020-08-24,,,,6.86,,19000.0
2020-08-25,,,,6.92,,100.0
2020-08-26,,,,7.0,,238200.0
2020-08-27,,,,6.9,,431000.0
2020-08-28,,,,6.81,,155000.0
2020-09-01,,,,6.9,,251100.0
2020-09-02,,,,6.7,,129300.0
2020-09-03,,,,6.9,,85300.0
2020-09-04,,,,6.9,,2500.0
2020-09-07,,,,6.8,,28000.0
2020-09-08,,,,6.8,,83600.0
2020-09-09,,,,6.8,,147200.0
2020-09-10,,,,6.8,,230000.0
2020-09-11,,,,6.7,,70200.0
2020-09-14,,,,6.65,,437000.0
2020-09-15,,,,6.7,,4500.0
2020-09-16,,,,6.7,,526900.0
2020-09-17,,,,6.7,,533300.0
2020-09-18,,,,6.66,,155000.0
2020-09-21,,,,6.8,,105200.0
2020-09-22,,,,6.7,,383700.0
2020-09-23,,,,6.7,,788900.0
2020-09-24,,,,6.68,,712900.0
2020-09-25,,,,6.7,,867100.0
