dt,open,high,low,close,value,volume
2020-03-02,662.5,678.0,642.0,649.5,647461655.0,
2020-03-03,670.0,678.0,652.0,652.0,464190955.0,
2020-03-04,657.0,671.5,651.5,665.5,212689020.0,
2020-03-05,676.0,684.5,670.5,677.0,150509875.0,
2020-03-06,677.0,678.5,645.5,645.5,199817160.0,
2020-03-09,630.0,635.0,590.0,604.0,491354310.0,
2020-03-10,598.5,620.0,590.0,610.0,328794420.0,
2020-03-11,620.0,648.0,619.0,640.5,367004215.0,
2020-03-12,622.0,625.0,581.0,600.0,505785435.0,
2020-03-13,550.0,594.0,519.0,570.0,551356260.0,
2020-03-16,555.0,559.0,510.0,510.0,279096045.0,
2020-03-19,475.0,475.0,360.0,394.0,567069926.0,
2020-03-20,430.0,460.0,402.0,410.0,370440570.0,
2020-03-23,400.0,420.0,390.0,415.0,219797538.0,
2020-03-24,431.0,444.8,421.2,439.6,297505094.0,
2020-03-25,470.0,497.8,460.0,460.0,343555236.0,
2020-03-26,467.0,485.8,461.0,482.0,467900326.0,
2020-03-27,505.0,510.0,480.0,493.0,728759337.0,
2020-03-30,484.8,484.8,459.8,469.0,399347774.0,
2020-03-31,480.0,492.4,467.4,467.4,1116191018.0,
2020-04-01,468.0,474.8,459.6,463.0,453336258.0,
2020-04-02,451.0,470.0,446.0,450.0,437339628.0,
2020-04-03,463.0,463.0,451.0,451.0,437600126.0,
2020-04-06,460.0,480.0,458.0,480.0,260135426.0,
2020-04-07,493.0,503.0,489.4,493.4,304393172.0,
2020-04-08,494.8,498.0,483.0,498.0,253310122.0,
2020-04-13,502.0,524.0,502.0,508.0,308595550.0,
2020-04-14,521.5,550.0,513.5,550.0,486632205.0,
2020-04-15,562.0,588.0,557.5,588.0,509134850.0,
2020-04-16,570.0,573.0,554.5,560.0,626318510.0,
2020-04-17,580.0,612.0,577.5,597.0,408146525.0,
2020-04-20,597.0,606.0,576.0,606.0,258158345.0,
2020-04-21,600.0,600.0,574.0,575.0,273172520.0,
2020-04-22,558.0,593.0,550.5,593.0,242249580.0,
2020-04-23,590.0,590.0,563.0,563.0,197092685.0,
2020-04-24,575.0,579.0,550.0,550.0,213392310.0,
2020-04-27,554.0,562.0,539.0,562.0,84857755.0,
2020-04-28,565.0,585.0,565.0,585.0,167054835.0,
2020-04-29,583.0,591.0,573.0,588.0,135116745.0,
2020-04-30,582.5,586.5,580.5,582.0,199386850.0,
2020-05-04,577.5,577.5,555.0,560.0,155066630.0,
2020-05-05,576.0,647.5,570.0,642.5,939892755.0,
2020-05-06,636.0,640.0,605.0,639.0,395184065.0,
2020-05-07,639.0,664.0,627.5,662.0,299561470.0,
2020-05-08,659.0,709.0,651.0,704.0,756943260.0,
2020-05-11,705.0,705.0,681.0,699.0,334999765.0,
2020-05-12,700.0,705.0,690.0,704.0,336436490.0,
2020-05-13,704.0,704.0,682.5,691.0,290032370.0,
2020-05-14,688.0,690.0,670.0,690.0,129155525.0,
2020-05-15,680.0,687.5,660.0,670.0,191263950.0,
2020-05-18,670.0,670.5,640.0,640.0,220711720.0,
2020-05-19,658.0,664.0,650.0,650.0,211583810.0,
2020-05-20,651.0,665.0,642.0,665.0,121206235.0,
2020-05-21,665.0,687.5,665.0,684.5,214486090.0,
2020-05-22,685.5,690.0,666.0,666.0,153661750.0,
2020-05-26,660.0,673.0,646.0,654.0,189400040.0,
2020-05-27,668.0,675.0,655.0,675.0,217331135.0,
2020-05-28,678.0,691.0,665.5,687.0,156433340.0,
2020-05-29,687.0,747.5,675.5,747.5,999873345.0,
2020-06-01,729.0,749.0,720.0,745.0,475899030.0,
2020-06-02,740.0,745.0,732.0,742.0,171908000.0,
2020-06-03,740.0,756.0,732.0,755.5,321820430.0,
2020-06-04,745.0,798.0,745.0,798.0,781769880.0,
2020-06-05,790.0,796.0,750.0,793.0,487157135.0,
2020-06-08,790.0,798.0,788.0,798.0,210966675.0,
2020-06-09,797.0,804.0,779.0,800.0,388248540.0,
2020-06-10,793.0,793.0,775.0,781.0,362599735.0,
2020-06-11,780.0,793.0,765.0,790.0,313389220.0,
2020-06-15,770.0,770.0,745.0,750.0,249571615.0,
2020-06-16,759.0,786.5,755.0,775.0,430913805.0,
2020-06-17,790.0,798.0,781.0,790.5,416454250.0,
2020-06-18,791.0,794.5,775.0,790.0,244677500.0,
2020-06-19,775.0,808.5,771.5,808.5,998969720.0,
2020-06-22,805.0,805.0,788.0,800.0,149389255.0,
2020-06-23,800.0,810.0,790.5,810.0,257875165.0,
2020-06-24,800.0,805.0,786.0,786.0,143009800.0,
2020-06-25,785.0,794.0,775.0,775.0,225725870.0,
2020-06-26,775.0,786.5,766.5,785.0,187838440.0,
2020-06-29,774.5,774.5,755.5,762.0,183029640.0,
2020-06-30,763.0,785.0,763.0,777.0,370385565.0,
2020-07-01,780.0,781.0,758.0,775.0,130767410.0,
2020-07-02,775.0,797.0,763.0,780.5,215609410.0,
2020-07-03,777.0,789.5,765.0,769.5,152700745.0,
2020-07-06,768.0,775.0,761.5,761.5,248175670.0,
2020-07-07,772.0,773.0,751.0,751.0,223785120.0,
2020-07-08,751.5,770.0,745.0,748.0,238250060.0,
2020-07-09,755.0,767.5,748.0,762.0,151571595.0,
2020-07-10,762.0,762.0,740.0,745.0,201462420.0,
2020-07-13,743.0,744.0,733.0,733.0,254725870.0,
2020-07-14,732.0,758.0,732.0,750.0,118716315.0,
2020-07-15,742.0,745.0,721.0,724.0,247993255.0,
2020-07-16,725.0,748.0,725.0,740.0,140114325.0,
2020-07-17,732.0,750.0,721.0,750.0,152953555.0,
2020-07-20,745.0,750.0,730.5,750.0,95767355.0,
2020-07-21,747.5,769.0,743.5,765.0,152610130.0,
2020-07-22,761.0,770.0,746.0,746.0,149986785.0,
2020-07-23,748.0,755.0,731.0,750.0,67085675.0,
2020-07-24,740.0,749.0,727.0,742.0,55120920.0,
2020-07-27,733.0,733.0,710.0,710.0,132525535.0,
2020-07-28,710.0,725.0,700.5,722.0,128705875.0,
2020-07-29,720.0,723.0,705.5,723.0,126876400.0,
2020-07-30,723.0,734.5,718.0,726.5,130389570.0,
2020-08-03,707.0,710.0,694.0,700.0,349162580.0,
2020-08-04,,,,705.0,,256220.0
2020-08-05,,,,700.0,,200870.0
2020-08-06,,,,720.0,,95690.0
2020-08-07,,,,701.0,,108830.0
2020-08-10,,,,730.0,,179340.0
2020-08-11,,,,748.0,,215060.0
2020-08-12,,,,739.0,,147940.0
2020-08-13,,,,753.0,,129990.0
2020-08-14,,,,749.5,,333910.0
2020-08-17,,,,760.0,,66210.0
2020-08-18,,,,762.0,,240530.0
2020-08-19,,,,735.0,,201760.0
2020-08-20,,,,730.0,,109690.0
2020-08-24,,,,743.0,,182320.0
2020-08-25,,,,732.0,,76610.0
2020-08-26,,,,717.5,,254640.0
2020-08-27,,,,735.0,,148800.0
2020-08-28,,,,733.5,,331850.0
2020-09-01,,,,710.0,,311750.0
2020-09-02,,,,692.0,,464970.0
2020-09-03,,,,700.0,,369960.0
2020-09-04,,,,690.0,,307330.0
2020-09-07,,,,702.0,,329100.0
2020-09-08,,,,718.0,,362230.0
2020-09-09,,,,716.0,,277530.0
2020-09-10,,,,700.0,,400550.0
2020-09-11,,,,700.0,,216960.0
2020-09-14,,,,700.0,,243540.0
2020-09-15,,,,705.0,,107030.0
2020-09-16,,,,698.0,,165610.0
2020-09-17,,,,715.0,,140410.0
2020-09-18,,,,720.0,,280770.0
2020-09-21,,,,718.0,,94540.0
2020-09-22,,,,720.0,,99960.0
2020-09-23,,,,715.0,,187330.0
2020-09-24,,,,700.5,,128140.0
2020-09-25,,,,692.5,,132680.0
