dt,open,high,low,close,value,volume
2020-03-02,6.5,6.5,6.27,6.27,541220.0,
2020-03-03,6.28,6.74,6.2,6.44,1332757.0,
2020-03-04,6.46,6.58,6.21,6.58,1824520.0,
2020-03-05,6.41,7.98,6.4,7.78,29555120.0,
2020-03-06,7.78,8.17,7.25,7.4,23822839.0,
2020-03-09,7.1,7.5,6.24,6.76,6851466.0,
2020-03-10,6.2,6.2,5.48,6.07,2521241.0,
2020-03-11,6.15,6.33,5.82,6.09,2355232.0,
2020-03-12,5.82,5.82,5.5,5.65,2174432.0,
2020-03-13,5.64,5.64,5.0,5.39,2068618.0,
2020-03-16,5.0,5.4,4.94,5.28,432290.0,
2020-03-19,5.0,5.0,4.2,4.7,1423164.0,
2020-03-20,5.0,5.5,4.65,5.19,195600.0,
2020-03-23,5.18,5.18,4.45,5.0,254846.0,
2020-03-24,4.7,4.8,4.6,4.7,313294.0,
2020-03-25,4.74,5.2,4.74,5.16,959440.0,
2020-03-26,5.2,5.48,5.0,5.28,626918.0,
2020-03-27,5.6,5.8,5.24,5.45,377766.0,
2020-03-30,5.25,5.4,4.9,5.25,1125730.0,
2020-03-31,5.2,5.27,5.1,5.1,389891.0,
2020-04-01,5.11,5.25,5.11,5.11,23520.0,
2020-04-02,5.2,5.2,5.02,5.18,690721.0,
2020-04-03,5.39,5.39,5.1,5.27,26152.0,
2020-04-06,5.27,5.4,5.13,5.16,813654.0,
2020-04-07,5.26,5.33,5.26,5.31,528116.0,
2020-04-08,5.31,5.34,5.0,5.19,702453.0,
2020-04-13,5.1,5.23,5.07,5.23,90227.0,
2020-04-14,5.24,5.43,5.14,5.42,554403.0,
2020-04-15,5.5,6.3,5.5,5.94,3369877.0,
2020-04-16,6.25,6.4,5.96,6.29,1733744.0,
2020-04-17,6.38,6.4,6.15,6.4,2004822.0,
2020-04-20,6.48,6.85,6.2,6.74,1332397.0,
2020-04-21,6.31,7.19,6.24,7.1,4870399.0,
2020-04-22,7.19,7.29,6.7,7.24,2381486.0,
2020-04-23,7.23,7.23,6.86,7.18,2255613.0,
2020-04-24,7.22,7.22,6.7,6.75,1656293.0,
2020-04-27,6.71,6.97,6.71,6.96,293276.0,
2020-04-28,6.55,6.92,6.55,6.83,349046.0,
2020-04-29,6.94,6.94,6.65,6.7,319938.0,
2020-04-30,6.95,6.99,6.79,6.94,175381.0,
2020-05-04,6.79,6.9,6.4,6.7,322663.0,
2020-05-05,6.89,6.92,6.6,6.8,547671.0,
2020-05-06,6.8,6.8,6.41,6.67,436066.0,
2020-05-07,6.7,6.7,6.38,6.54,709997.0,
2020-05-08,6.54,6.84,6.54,6.77,1826663.0,
2020-05-11,6.79,6.8,6.52,6.71,318980.0,
2020-05-12,6.71,6.82,6.6,6.79,871990.0,
2020-05-13,6.7,6.75,6.55,6.74,322455.0,
2020-05-14,6.56,6.74,6.55,6.74,80684.0,
