dt,open,high,low,close,value,volume
2020-03-02,1.1,1.1,1.1,1.1,446600.0,
2020-03-03,1.18,1.18,1.01,1.03,1394850.0,
2020-03-04,1.02,1.04,1.0,1.02,282840.0,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,1.03,1.13,1.02,1.13,119150.0,
2020-03-10,1.1,1.1,1.02,1.09,10670.0,
2020-03-11,1.03,1.05,1.02,1.03,468800.0,
2020-03-12,1.03,1.03,1.0,1.01,135270.0,
2020-03-13,0.96,0.96,0.9,0.91,832750.0,
2020-03-16,1.0,1.0,1.0,1.0,100000.0,
2020-03-19,0.61,0.85,0.61,0.85,54900.0,
2020-03-20,1.01,1.01,1.01,1.01,203010.0,
2020-03-23,1.01,1.01,1.0,1.0,2010.0,
2020-03-24,0.9,0.9,0.9,0.9,9000.0,
2020-03-25,0.9,0.9,0.9,0.9,18000.0,
2020-03-26,0.9,0.9,0.9,0.9,12600.0,
2020-03-27,0.8,0.8,0.8,0.8,8000.0,
2020-03-30,0.84,0.91,0.84,0.9,328210.0,
2020-03-31,1.17,1.17,1.11,1.11,136720.0,
2020-04-01,1.1,1.1,1.0,1.0,14400.0,
2020-04-02,1.01,1.01,0.94,1.01,76530.0,
2020-04-03,0.97,1.0,0.97,1.0,4328500.0,
2020-04-06,0.97,1.0,0.97,1.0,322000.0,
2020-04-07,1.0,1.0,1.0,1.0,13000.0,
2020-04-08,1.0,1.0,1.0,1.0,49000.0,
2020-04-13,1.0,1.0,0.99,0.99,18850.0,
2020-04-14,0.94,0.98,0.93,0.97,132370.0,
2020-04-15,1.0,1.0,0.99,0.99,52620.0,
2020-04-16,0.98,0.98,0.94,0.94,620960.0,
2020-04-17,0.97,0.97,0.95,0.95,131350.0,
2020-04-20,0.95,0.95,0.94,0.94,7580.0,
2020-04-21,0.95,0.95,0.93,0.93,93280.0,
2020-04-22,0.93,0.93,0.93,0.93,106950.0,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,1.04,1.04,0.92,0.92,7480.0,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,0.93,0.93,0.92,0.92,6450.0,
2020-05-04,0.93,0.95,0.91,0.95,22970.0,
2020-05-05,0.96,0.96,0.95,0.95,19130.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,0.93,0.94,0.85,0.94,31020.0,
2020-05-12,0.94,0.94,0.94,0.94,940.0,
2020-05-13,0.97,0.97,0.97,0.97,9700.0,
2020-05-14,0.97,0.97,0.97,0.97,1940.0,
2020-05-15,0.96,0.96,0.96,0.96,25920.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,0.92,0.92,0.86,0.86,59050.0,
2020-05-21,,,,,,
2020-05-22,0.88,0.91,0.84,0.84,784350.0,
2020-05-26,0.9,0.9,0.83,0.83,148730.0,
2020-05-27,0.83,0.87,0.83,0.87,20220.0,
2020-05-28,0.95,0.95,0.84,0.84,201590.0,
2020-05-29,0.84,0.84,0.84,0.84,840.0,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,0.92,0.92,0.91,0.92,54270.0,
2020-06-04,0.93,0.94,0.92,0.94,427000.0,
2020-06-05,0.95,0.95,0.9,0.94,122670.0,
2020-06-08,0.94,0.94,0.92,0.93,82680.0,
2020-06-09,0.93,0.93,0.92,0.92,9250.0,
2020-06-10,0.92,0.92,0.9,0.91,107610.0,
2020-06-11,0.91,0.91,0.89,0.89,144210.0,
2020-06-15,0.88,0.94,0.88,0.93,21940.0,
2020-06-16,0.93,0.93,0.93,0.93,3720.0,
2020-06-17,0.93,0.93,0.87,0.91,1043330.0,
2020-06-18,0.9,1.02,0.9,1.02,1408440.0,
2020-06-19,1.04,1.46,1.04,1.37,28759190.0,
2020-06-22,1.36,1.37,1.24,1.32,15284530.0,
2020-06-23,1.3,1.32,1.25,1.27,1105480.0,
2020-06-24,1.28,1.28,1.21,1.21,1928440.0,
2020-06-25,1.24,1.25,1.2,1.22,1087190.0,
2020-06-26,1.22,1.23,1.2,1.2,584790.0,
2020-06-29,1.19,1.21,1.17,1.19,399890.0,
2020-06-30,1.21,1.21,1.16,1.21,265140.0,
2020-07-01,1.21,1.21,1.16,1.19,339190.0,
2020-07-02,1.16,1.2,1.13,1.2,162880.0,
2020-07-03,1.23,1.23,1.15,1.21,575000.0,
2020-07-06,1.21,1.21,1.14,1.15,78380.0,
2020-07-07,1.17,1.17,1.17,1.17,58500.0,
2020-07-08,1.16,1.17,1.15,1.17,143130.0,
2020-07-09,1.17,1.17,1.16,1.16,272290.0,
2020-07-10,1.16,1.17,1.15,1.15,1207780.0,
2020-07-13,1.15,1.15,1.14,1.15,64260.0,
2020-07-14,1.15,1.23,1.15,1.16,849470.0,
2020-07-15,1.21,1.22,1.18,1.2,508780.0,
2020-07-16,1.2,1.29,1.16,1.25,3851410.0,
2020-07-17,1.25,1.25,1.22,1.23,759250.0,
2020-07-20,1.23,1.23,1.1,1.16,236220.0,
2020-07-21,1.16,1.23,1.16,1.18,105790.0,
2020-07-22,1.2,1.2,1.15,1.19,171720.0,
2020-07-23,1.2,1.2,1.14,1.17,207080.0,
2020-07-24,1.16,1.17,1.13,1.17,748360.0,
2020-07-27,1.14,1.2,1.14,1.2,1010340.0,
2020-07-28,1.18,1.18,1.15,1.16,455560.0,
2020-07-29,1.16,1.18,1.14,1.18,43510.0,
2020-07-30,1.2,1.22,1.18,1.18,378620.0,
2020-08-03,1.18,1.18,1.12,1.15,740120.0,
2020-08-04,,,,1.15,,43000.0
2020-08-05,,,,1.21,,931000.0
2020-08-06,,,,1.18,,937000.0
2020-08-07,,,,1.22,,396000.0
2020-08-10,,,,1.21,,1172000.0
2020-08-11,,,,1.25,,630000.0
2020-08-12,,,,1.2,,2176000.0
2020-08-13,,,,1.23,,331000.0
2020-08-14,,,,1.27,,59791000.0
2020-08-17,,,,1.37,,66894000.0
2020-08-18,,,,1.31,,4459000.0
2020-08-19,,,,1.27,,2701000.0
2020-08-20,,,,1.29,,2117000.0
2020-08-24,,,,1.28,,2792000.0
2020-08-25,,,,1.27,,2326000.0
2020-08-26,,,,1.3,,2507000.0
2020-08-27,,,,1.3,,1963000.0
2020-08-28,,,,1.27,,2142000.0
2020-09-01,,,,1.27,,1017000.0
2020-09-02,,,,1.29,,785000.0
2020-09-03,,,,1.26,,1832000.0
2020-09-04,,,,1.24,,4097000.0
2020-09-07,,,,1.24,,7986000.0
2020-09-08,,,,1.25,,459000.0
2020-09-09,,,,1.22,,1830000.0
2020-09-10,,,,1.23,,1140000.0
2020-09-11,,,,1.24,,687000.0
2020-09-14,,,,1.22,,1045000.0
2020-09-15,,,,1.24,,492000.0
2020-09-16,,,,1.24,,499000.0
2020-09-17,,,,1.24,,223000.0
2020-09-18,,,,1.24,,684000.0
2020-09-21,,,,1.27,,1714000.0
2020-09-22,,,,1.27,,711000.0
2020-09-23,,,,1.27,,856000.0
2020-09-24,,,,1.26,,355000.0
2020-09-25,,,,1.25,,1132000.0
