dt,open,high,low,close,value,volume
2020-03-02,42.45,43.45,41.0,43.05,72040280.0,
2020-03-03,43.35,45.5,43.35,43.7,49981925.0,
2020-03-04,43.7,46.0,43.6,46.0,43659525.0,
2020-03-05,45.95,46.05,44.9,45.95,12728170.0,
2020-03-06,45.75,45.75,44.55,44.95,23069855.0,
2020-03-09,43.0,44.1,41.35,41.85,43050875.0,
2020-03-10,41.3,41.3,39.1,40.45,52423320.0,
2020-03-11,40.55,41.45,39.15,39.35,37965545.0,
2020-03-12,39.9,39.9,37.5,37.7,84456235.0,
2020-03-13,35.45,38.5,33.1,38.0,124520355.0,
2020-03-16,35.0,37.7,35.0,35.25,94603105.0,
2020-03-19,31.5,35.2,26.7,32.0,111375360.0,
2020-03-20,32.15,33.95,30.5,30.95,59572405.0,
2020-03-23,30.05,30.8,28.2,30.0,36309750.0,
2020-03-24,31.0,31.4,29.5,29.5,42691165.0,
2020-03-25,31.9,32.0,29.1,29.1,42920220.0,
2020-03-26,30.45,33.45,29.7,30.85,53874070.0,
2020-03-27,32.5,34.2,31.25,32.5,44855015.0,
2020-03-30,33.2,35.2,30.65,35.2,21671065.0,
2020-03-31,35.0,37.7,34.25,37.7,79222600.0,
2020-04-01,37.7,38.75,35.5,38.75,53896535.0,
2020-04-02,38.4,39.1,37.4,39.1,12616105.0,
2020-04-03,39.1,39.9,38.0,39.9,31268375.0,
2020-04-06,39.95,45.0,39.95,45.0,48387460.0,
2020-04-07,45.1,46.0,43.55,44.6,101730770.0,
2020-04-08,44.0,44.0,41.2,41.95,129646535.0,
2020-04-13,42.7,43.5,41.4,43.1,52140560.0,
2020-04-14,43.0,44.9,42.85,44.9,41328530.0,
2020-04-15,44.95,49.0,44.4,48.45,73203910.0,
2020-04-16,48.0,48.0,41.25,41.25,173838595.0,
2020-04-17,43.0,44.95,42.0,44.05,122061810.0,
2020-04-20,44.2,44.2,43.1,43.25,44847030.0,
2020-04-21,43.2,43.9,42.0,43.9,34405710.0,
2020-04-22,43.5,44.0,41.3,43.9,34951460.0,
2020-04-23,43.9,43.9,43.2,43.5,15898715.0,
2020-04-24,43.45,43.45,40.65,40.65,74413635.0,
2020-04-27,41.0,42.5,40.4,42.5,17231975.0,
2020-04-28,42.0,42.85,41.9,42.0,37297845.0,
2020-04-29,42.0,42.75,41.15,41.5,31025145.0,
2020-04-30,41.5,43.0,41.5,41.5,47124850.0,
2020-05-04,41.0,41.0,39.2,40.05,31541010.0,
2020-05-05,40.0,40.8,39.7,39.75,44010360.0,
2020-05-06,39.8,39.85,38.0,38.6,71045635.0,
2020-05-07,38.9,39.15,38.2,38.6,29126145.0,
2020-05-08,38.65,39.4,38.0,38.3,26711815.0,
2020-05-11,38.3,41.0,38.05,41.0,36860825.0,
2020-05-12,40.9,41.35,40.15,41.05,13997240.0,
2020-05-13,41.2,41.3,40.8,40.9,15566745.0,
2020-05-14,41.35,42.0,39.4,42.0,25921325.0,
2020-05-15,42.0,42.0,39.6,39.7,66200935.0,
2020-05-18,39.7,39.8,38.15,38.25,22411545.0,
2020-05-19,38.5,41.5,38.5,41.5,33904570.0,
2020-05-20,41.0,41.95,39.7,41.9,19434230.0,
2020-05-21,41.9,42.0,40.6,42.0,49332530.0,
2020-05-22,41.5,41.95,40.75,41.5,9840250.0,
2020-05-26,41.0,41.7,40.3,41.7,33776870.0,
2020-05-27,41.2,41.7,40.35,41.7,30880850.0,
2020-05-28,41.9,41.9,41.05,41.3,15655725.0,
2020-05-29,40.6,42.9,40.6,42.9,160425290.0,
2020-06-01,42.9,45.8,42.85,45.0,77506700.0,
2020-06-02,45.0,46.8,44.8,45.1,40585745.0,
2020-06-03,45.95,49.8,45.15,49.8,90927245.0,
2020-06-04,49.5,52.0,49.5,52.0,120206815.0,
2020-06-05,51.8,51.8,49.45,50.6,75847070.5,
2020-06-08,50.8,52.95,50.8,52.2,75909864.5,
2020-06-09,52.0,52.2,51.6,51.95,41215548.0,
2020-06-10,51.7,51.95,48.5,49.2,58842135.0,
2020-06-11,49.5,49.95,48.05,49.95,51585265.0,
