dt,open,high,low,close,value,volume
2020-03-02,9.93,9.98,9.91,9.92,107741970.0,
2020-03-03,9.93,10.04,9.91,9.93,131450393.0,
2020-03-04,9.94,9.95,9.83,9.93,79527741.0,
2020-03-05,9.93,10.1,9.86,9.93,103448802.0,
2020-03-06,9.92,9.94,9.86,9.93,87256107.0,
2020-03-09,9.86,9.93,9.73,9.9,215059465.0,
2020-03-10,9.9,9.9,9.81,9.81,144630148.0,
2020-03-11,9.95,10.1,9.83,10.0,67199601.0,
2020-03-12,9.83,9.95,9.7,9.75,238303372.0,
2020-03-13,9.55,9.75,8.8,9.05,292893901.0,
2020-03-16,8.99,8.99,7.96,8.02,576357341.0,
2020-03-19,7.49,7.49,5.69,5.69,62866437.0,
2020-03-20,5.99,6.3,5.3,6.23,49434754.0,
2020-03-23,5.75,6.1,5.75,5.98,14112321.0,
2020-03-24,6.01,6.3,5.95,6.14,18053711.0,
2020-03-25,6.4,6.65,6.3,6.4,1081369149.0,
2020-03-26,6.6,6.8,6.5,6.64,35489768.0,
2020-03-27,6.8,7.08,6.7,6.87,33841546.0,
2020-03-30,6.85,6.85,6.5,6.55,11110546.0,
2020-03-31,6.7,6.98,6.6,6.98,68690230.0,
2020-04-01,6.85,6.97,6.74,6.97,14374236.0,
2020-04-02,6.95,6.95,6.7,6.95,15421069.0,
2020-04-03,6.9,7.03,6.78,7.03,11076389.0,
2020-04-06,7.03,7.03,6.85,6.92,21894001.0,
2020-04-07,7.01,7.19,6.91,6.91,19594793.0,
2020-04-08,6.91,6.92,6.62,6.64,26693531.0,
2020-04-13,6.8,6.99,6.73,6.76,38166115.0,
2020-04-14,6.94,7.05,6.82,6.98,25587243.0,
2020-04-15,7.11,7.57,7.11,7.4,127188751.0,
2020-04-16,7.4,7.4,7.02,7.02,33036322.0,
2020-04-17,7.16,7.21,7.08,7.1,51671886.0,
2020-04-20,7.11,7.2,7.1,7.13,18688579.0,
2020-04-21,7.01,7.02,6.61,6.65,75751737.0,
2020-04-22,6.6,6.6,6.27,6.35,85555233.0,
2020-04-23,6.48,6.5,6.4,6.45,55415754.0,
2020-04-24,6.45,6.49,6.2,6.36,59252022.0,
2020-04-27,6.36,6.36,6.22,6.3,9810446.0,
2020-04-28,6.37,6.44,6.25,6.25,18752187.0,
2020-04-29,6.37,6.37,6.25,6.25,21069178.0,
2020-04-30,6.36,6.5,6.28,6.46,35416203.0,
2020-05-04,6.35,6.35,6.02,6.02,52847882.0,
2020-05-05,6.12,6.22,6.12,6.14,17870922.0,
2020-05-06,6.24,6.28,6.06,6.06,41733842.0,
2020-05-07,6.1,6.23,6.08,6.23,10855540.0,
2020-05-08,6.24,6.3,6.2,6.27,20921932.0,
2020-05-11,6.3,6.35,6.28,6.3,21684999.0,
2020-05-12,6.31,6.31,6.2,6.2,12737885.0,
2020-05-13,6.2,6.24,6.2,6.21,9923481.0,
2020-05-14,6.2,6.2,6.09,6.14,10965121.0,
2020-05-15,6.15,6.19,6.08,6.19,7071980.0,
2020-05-18,6.19,6.21,6.02,6.08,10646941.0,
2020-05-19,6.09,6.24,6.08,6.2,11171332.0,
2020-05-20,6.19,6.19,6.05,6.05,6891400.0,
2020-05-21,6.05,6.14,6.05,6.14,10144357.0,
2020-05-22,6.16,6.19,6.03,6.05,13902932.0,
2020-05-26,6.14,6.14,5.61,5.9,28690047.0,
2020-05-27,5.9,5.98,5.82,5.9,10607904.0,
2020-05-28,5.95,5.96,5.83,5.95,8441106.0,
2020-05-29,5.98,6.02,5.97,6.0,25701787.0,
2020-06-01,6.01,6.04,5.95,6.03,37530716.0,
2020-06-02,6.05,6.3,6.04,6.21,70349162.0,
2020-06-03,6.34,6.47,6.16,6.26,141732223.0,
2020-06-04,6.27,6.65,6.27,6.55,175723544.0,
2020-06-05,6.73,7.19,6.52,7.07,214026385.0,
2020-06-08,7.25,7.7,7.25,7.5,240822583.0,
2020-06-09,7.68,7.68,7.16,7.3,433103317.0,
2020-06-10,7.33,7.39,7.04,7.1,444978689.0,
2020-06-11,7.08,7.08,6.8,7.0,320748143.0,
2020-06-15,6.9,7.0,6.77,6.9,235780560.0,
2020-06-16,6.9,7.35,6.9,7.29,215474066.0,
2020-06-17,7.35,7.35,7.02,7.2,415990143.0,
2020-06-18,7.2,7.2,7.02,7.06,205809267.0,
2020-06-19,7.06,7.1,6.97,6.98,176503483.0,
