dt,open,high,low,close,value,volume
2020-03-02,0.75,0.75,0.75,0.75,457500.0,
2020-03-03,0.74,0.75,0.74,0.75,121100.0,
2020-03-04,0.73,0.73,0.68,0.72,621710.0,
2020-03-05,0.72,0.74,0.71,0.72,602440.0,
2020-03-06,0.71,0.72,0.71,0.72,135820.0,
2020-03-09,0.7,0.7,0.6,0.6,3029450.0,
2020-03-10,0.6,0.66,0.6,0.66,461020.0,
2020-03-11,0.66,0.67,0.64,0.66,193020.0,
2020-03-12,0.66,0.66,0.57,0.57,751480.0,
2020-03-13,0.55,0.65,0.55,0.62,251490.0,
2020-03-16,0.56,0.6,0.55,0.56,345800.0,
2020-03-19,0.55,0.58,0.54,0.55,309550.0,
2020-03-20,0.51,0.55,0.4,0.47,1289310.0,
2020-03-23,0.47,0.5,0.47,0.5,522100.0,
2020-03-24,0.5,0.59,0.5,0.54,169690.0,
2020-03-25,0.54,0.58,0.53,0.55,319460.0,
2020-03-26,0.54,0.58,0.51,0.58,331090.0,
2020-03-27,0.57,0.58,0.56,0.56,162170.0,
2020-03-30,0.55,0.57,0.55,0.57,60010.0,
2020-03-31,0.57,0.62,0.57,0.61,308690.0,
2020-04-01,0.61,0.61,0.57,0.6,943140.0,
2020-04-02,0.62,0.62,0.58,0.59,1409720.0,
2020-04-03,0.6,0.6,0.57,0.6,1033690.0,
2020-04-06,0.6,0.6,0.58,0.58,1403580.0,
2020-04-07,0.59,0.61,0.58,0.58,1474570.0,
2020-04-08,0.58,0.58,0.56,0.57,800730.0,
2020-04-13,0.56,0.58,0.53,0.57,450920.0,
2020-04-14,0.57,0.57,0.55,0.56,784320.0,
2020-04-15,0.57,0.6,0.56,0.58,1357280.0,
2020-04-16,0.58,0.58,0.56,0.56,763170.0,
2020-04-17,0.56,0.56,0.55,0.55,897370.0,
2020-04-20,0.54,0.55,0.54,0.55,409140.0,
2020-04-21,0.54,0.57,0.54,0.57,631710.0,
2020-04-22,0.57,0.58,0.54,0.56,400490.0,
2020-04-23,0.56,0.57,0.55,0.57,407710.0,
2020-04-24,0.59,0.59,0.57,0.59,855760.0,
2020-04-27,0.59,0.62,0.59,0.59,2650400.0,
2020-04-28,0.6,0.6,0.55,0.57,1094240.0,
2020-04-29,0.57,0.58,0.56,0.56,378970.0,
2020-04-30,0.56,0.57,0.55,0.57,529940.0,
2020-05-04,0.56,0.58,0.56,0.58,775750.0,
2020-05-05,0.58,0.6,0.57,0.59,592410.0,
2020-05-06,0.59,0.59,0.56,0.57,290540.0,
2020-05-07,0.57,0.57,0.56,0.56,183310.0,
2020-05-08,0.57,0.57,0.56,0.56,56380.0,
2020-05-11,0.56,0.56,0.55,0.56,255340.0,
2020-05-12,0.55,0.56,0.55,0.56,8830.0,
2020-05-13,0.55,0.55,0.54,0.55,250780.0,
2020-05-14,0.55,0.55,0.54,0.55,124120.0,
2020-05-15,0.54,0.54,0.54,0.54,233280.0,
2020-05-18,0.53,0.53,0.48,0.51,1251170.0,
2020-05-19,0.51,0.52,0.5,0.52,91860.0,
2020-05-20,0.52,0.52,0.52,0.52,6760.0,
2020-05-21,0.52,0.52,0.5,0.52,61870.0,
2020-05-22,0.5,0.51,0.5,0.5,87170.0,
2020-05-26,0.52,0.52,0.5,0.5,122650.0,
2020-05-27,0.5,0.51,0.5,0.51,54110.0,
2020-05-28,0.51,0.51,0.5,0.5,83660.0,
2020-05-29,0.48,0.5,0.48,0.5,120080.0,
2020-06-01,0.5,0.51,0.49,0.51,171480.0,
2020-06-02,0.5,0.52,0.49,0.52,296320.0,
2020-06-03,0.52,0.55,0.52,0.55,205900.0,
2020-06-04,0.55,0.55,0.53,0.54,117990.0,
2020-06-05,0.53,0.55,0.53,0.54,542080.0,
2020-06-08,0.55,0.56,0.54,0.56,899160.0,
2020-06-09,0.56,0.57,0.54,0.56,469800.0,
2020-06-10,0.56,0.61,0.56,0.59,3916000.0,
2020-06-11,0.59,0.59,0.57,0.58,716650.0,
2020-06-15,0.56,0.59,0.54,0.55,1802050.0,
2020-06-16,0.56,0.56,0.55,0.55,1787970.0,
2020-06-17,0.55,0.56,0.54,0.55,1789910.0,
2020-06-18,0.55,0.58,0.54,0.57,494290.0,
2020-06-19,0.57,0.57,0.55,0.56,745620.0,
2020-06-22,0.56,0.56,0.54,0.55,968140.0,
2020-06-23,0.55,0.55,0.53,0.55,550790.0,
2020-06-24,0.54,0.55,0.53,0.54,526770.0,
2020-06-25,0.54,0.54,0.52,0.53,1393200.0,
2020-06-26,0.52,0.55,0.52,0.55,780520.0,
2020-06-29,0.56,0.56,0.52,0.54,1058130.0,
2020-06-30,0.53,0.57,0.52,0.56,599410.0,
2020-07-01,0.56,0.57,0.53,0.57,672490.0,
2020-07-02,0.57,0.57,0.54,0.57,308990.0,
2020-07-03,0.57,0.57,0.55,0.55,346530.0,
2020-07-06,0.54,0.57,0.54,0.56,225180.0,
2020-07-07,0.56,0.56,0.54,0.54,47510.0,
2020-07-08,0.54,0.56,0.53,0.56,124490.0,
2020-07-09,0.56,0.56,0.53,0.53,356470.0,
2020-07-10,0.54,0.55,0.54,0.55,61090.0,
2020-07-13,0.53,0.55,0.53,0.55,23340.0,
2020-07-14,0.55,0.55,0.53,0.53,319980.0,
2020-07-15,0.54,0.55,0.52,0.53,290470.0,
2020-07-16,0.53,0.57,0.53,0.56,778050.0,
2020-07-17,0.56,0.56,0.55,0.56,354430.0,
