dt,open,high,low,close,value,volume
2020-03-02,38.9,40.1,38.5,39.8,434633975.0,
2020-03-03,40.2,40.4,39.55,39.6,459023815.0,
2020-03-04,39.4,40.75,39.25,40.75,441361150.0,
2020-03-05,40.75,40.85,40.25,40.4,228590430.0,
2020-03-06,40.0,40.75,39.25,39.6,491372315.0,
2020-03-09,38.0,38.85,37.3,37.75,513670370.0,
2020-03-10,36.8,38.2,36.4,37.1,706596725.0,
2020-03-11,37.55,38.4,37.25,38.2,795729205.0,
2020-03-12,37.3,37.45,32.25,33.9,792106225.0,
2020-03-13,31.1,33.8,30.0,33.0,1047734280.0,
2020-03-16,31.5,32.9,28.8,28.8,734040005.0,
2020-03-19,24.0,25.2,19.44,22.95,883164105.0,
2020-03-20,23.6,26.5,23.6,26.3,709888590.0,
2020-03-23,25.0,28.2,25.0,27.5,762822470.0,
2020-03-24,27.6,30.65,27.6,29.1,643225945.0,
2020-03-25,31.1,31.9,30.0,30.7,639638340.0,
2020-03-26,31.25,33.2,30.8,32.3,553662170.0,
2020-03-27,33.65,34.35,30.65,31.0,580766395.0,
2020-03-30,30.95,32.0,28.55,31.0,414259835.0,
2020-03-31,31.6,32.8,30.2,30.2,948649195.0,
2020-04-01,30.8,31.6,30.3,31.15,554754335.0,
2020-04-02,30.5,32.3,30.1,32.3,321908125.0,
2020-04-03,31.9,32.1,31.2,32.0,264271475.0,
2020-04-06,32.0,32.75,31.8,32.5,268021265.0,
2020-04-07,33.5,34.0,32.7,33.5,275815335.0,
2020-04-08,32.4,32.65,31.8,32.0,362925095.0,
2020-04-13,32.3,33.45,31.95,33.45,246908070.0,
2020-04-14,33.55,33.75,32.7,33.75,423334595.0,
2020-04-15,34.0,34.15,33.2,34.0,393904705.0,
2020-04-16,32.3,32.3,30.2,30.2,823747375.0,
2020-04-17,31.45,31.85,31.0,31.55,725452610.0,
2020-04-20,31.75,32.05,30.5,31.1,365100300.0,
2020-04-21,31.0,31.2,30.7,30.95,222968960.0,
2020-04-22,30.5,30.5,30.0,30.2,267933640.0,
2020-04-23,30.6,31.15,30.2,30.2,158624895.0,
2020-04-24,30.25,30.5,28.9,28.9,511353825.0,
2020-04-27,29.3,29.45,28.2,29.2,199567945.0,
2020-04-28,29.45,30.3,29.4,30.25,266835035.0,
2020-04-29,30.45,31.7,30.3,31.0,390503390.0,
2020-04-30,31.8,32.2,31.3,31.95,574228090.0,
2020-05-04,31.7,31.8,30.75,31.8,408546310.0,
2020-05-05,32.0,33.35,31.8,33.2,461293590.0,
2020-05-06,33.3,33.7,32.55,33.5,724994630.0,
2020-05-07,33.5,33.75,32.95,33.75,249727885.0,
2020-05-08,33.6,33.65,32.65,32.65,371107855.0,
2020-05-11,32.5,33.5,31.9,33.3,254923745.0,
2020-05-12,32.85,33.15,31.65,31.8,1029187545.0,
2020-05-13,32.2,32.9,32.15,32.5,675887220.0,
2020-05-14,32.0,32.5,31.5,32.5,216283780.0,
2020-05-15,32.7,33.1,32.0,32.0,280582510.0,
2020-05-18,31.65,32.45,31.35,31.35,241845250.0,
2020-05-19,32.25,32.5,31.85,31.9,342408005.0,
2020-05-20,31.9,32.25,31.5,32.0,217811980.0,
2020-05-21,32.4,32.5,31.85,32.05,233005795.0,
2020-05-22,32.25,32.25,30.9,30.9,249316590.0,
2020-05-26,31.0,31.45,29.65,29.9,559857785.0,
2020-05-27,30.0,30.25,29.05,29.25,524656000.0,
2020-05-28,29.5,30.85,29.5,30.75,328921215.0,
2020-05-29,32.0,32.1,31.35,32.0,1933252480.0,
2020-06-01,32.4,32.55,31.6,32.55,332665055.0,
2020-06-02,32.6,33.3,32.6,33.3,304197475.0,
2020-06-03,33.5,36.0,33.45,36.0,601378000.0,
2020-06-04,36.0,37.5,35.1,37.5,677912085.0,
2020-06-05,36.7,38.0,35.7,38.0,470551450.0,
2020-06-08,38.0,38.3,37.1,38.0,317368360.0,
2020-06-09,37.75,38.0,36.65,38.0,454104125.0,
2020-06-10,37.85,37.9,35.6,36.4,364536200.0,
2020-06-11,36.3,37.4,35.2,37.4,305890850.0,
2020-06-15,35.85,36.45,35.1,35.8,477985665.0,
2020-06-16,36.35,37.0,35.2,35.9,373083395.0,
2020-06-17,36.0,36.2,35.8,35.8,208028965.0,
2020-06-18,35.75,36.45,35.05,36.45,213442380.0,
2020-06-19,36.4,36.75,35.75,36.3,738905230.0,
2020-06-22,36.3,36.9,35.8,36.9,265665760.0,
2020-06-23,36.5,36.7,36.05,36.3,166398750.0,
2020-06-24,36.1,36.45,34.05,34.05,596214135.0,
2020-06-25,34.1,34.75,34.1,34.1,245713010.0,
2020-06-26,34.2,34.65,34.0,34.0,164900540.0,
2020-06-29,33.4,34.05,33.2,33.95,248003330.0,
2020-06-30,34.5,34.75,33.8,33.8,265905750.0,
2020-07-01,34.0,34.2,33.75,33.9,199148145.0,
2020-07-02,33.95,35.0,33.75,35.0,306858970.0,
2020-07-03,35.4,35.7,34.9,35.2,164199480.0,
2020-07-06,35.2,35.7,34.0,35.1,455592650.0,
2020-07-07,34.85,35.4,34.6,34.7,137184505.0,
2020-07-08,34.7,34.7,33.3,33.9,286900845.0,
2020-07-09,34.0,34.0,32.7,32.95,323081305.0,
2020-07-10,32.0,32.85,31.25,32.0,448628105.0,
2020-07-13,32.25,32.8,32.0,32.4,237938285.0,
2020-07-14,32.8,33.5,32.55,33.5,184116340.0,
2020-07-15,33.75,33.85,32.0,32.0,380905350.0,
2020-07-16,32.15,32.95,32.15,32.9,172728165.0,
2020-07-17,32.35,32.6,31.6,31.7,449486275.0,
2020-07-20,31.8,33.4,31.7,32.95,238622720.0,
2020-07-21,32.8,33.2,32.3,33.2,152018570.0,
2020-07-22,33.2,33.9,33.0,33.0,303249480.0,
2020-07-23,33.05,33.8,31.8,33.8,207030135.0,
2020-07-24,33.6,33.6,32.1,32.5,171397360.0,
2020-07-27,32.35,32.4,31.75,31.9,127456185.0,
2020-07-28,31.9,33.15,31.75,32.1,168737580.0,
2020-07-29,32.15,33.25,31.5,33.25,192438105.0,
2020-07-30,33.1,33.3,32.65,33.3,167528845.0,
2020-08-03,31.85,32.2,31.3,31.3,336306040.0,
2020-08-04,,,,32.2,,8605500.0
2020-08-05,,,,32.5,,13408100.0
2020-08-06,,,,32.8,,8045800.0
2020-08-07,,,,32.2,,11937600.0
2020-08-10,,,,33.2,,2919000.0
2020-08-11,,,,32.6,,12988900.0
2020-08-12,,,,32.8,,3353100.0
2020-08-13,,,,33.2,,11863300.0
2020-08-14,,,,33.3,,32351800.0
2020-08-17,,,,33.1,,2393500.0
2020-08-18,,,,32.85,,8279900.0
2020-08-19,,,,31.85,,6485700.0
2020-08-20,,,,31.35,,5512600.0
2020-08-24,,,,30.6,,13466000.0
2020-08-25,,,,30.4,,9526100.0
2020-08-26,,,,30.0,,10759800.0
2020-08-27,,,,29.7,,17572500.0
2020-08-28,,,,28.8,,28158300.0
2020-09-01,,,,28.3,,19823000.0
2020-09-02,,,,27.0,,40418800.0
2020-09-03,,,,26.9,,22755600.0
2020-09-04,,,,28.2,,19286500.0
2020-09-07,,,,30.0,,20669400.0
2020-09-08,,,,30.9,,13582100.0
2020-09-09,,,,29.75,,11458000.0
2020-09-10,,,,30.0,,9511500.0
2020-09-11,,,,30.4,,6574200.0
2020-09-14,,,,31.3,,10443900.0
2020-09-15,,,,31.95,,9732400.0
2020-09-16,,,,31.45,,9497600.0
2020-09-17,,,,31.4,,8288900.0
2020-09-18,,,,31.0,,13833700.0
