dt,open,high,low,close,value,volume
2020-03-02,2.01,2.07,1.95,2.0,7961960.0,
2020-03-03,2.0,2.1,2.0,2.09,1219320.0,
2020-03-04,2.1,2.1,2.03,2.1,415010.0,
2020-03-05,2.08,2.27,2.08,2.11,1706030.0,
2020-03-06,2.11,2.18,2.11,2.14,620290.0,
2020-03-09,2.09,2.09,1.92,1.94,2090520.0,
2020-03-10,1.94,2.0,1.9,1.96,959150.0,
2020-03-11,2.0,2.03,1.98,2.0,21558880.0,
2020-03-12,2.0,2.0,1.88,1.88,3305860.0,
2020-03-13,1.84,1.86,1.66,1.82,2097290.0,
2020-03-16,1.62,1.72,1.61,1.7,788800.0,
2020-03-19,1.6,1.6,1.1,1.49,1468120.0,
2020-03-20,1.5,1.5,1.4,1.5,1991310.0,
2020-03-23,1.44,1.44,1.4,1.43,777890.0,
2020-03-24,1.5,1.55,1.45,1.55,391410.0,
2020-03-25,1.56,1.59,1.5,1.58,632800.0,
2020-03-26,1.53,1.7,1.51,1.69,1179890.0,
2020-03-27,1.75,1.94,1.68,1.78,1564410.0,
2020-03-30,1.71,1.83,1.7,1.7,977590.0,
2020-03-31,1.76,1.76,1.75,1.76,238260.0,
2020-04-01,1.76,1.8,1.57,1.62,3205570.0,
2020-04-02,1.63,1.63,1.53,1.56,2138380.0,
2020-04-03,1.66,1.66,1.5,1.5,4758910.0,
2020-04-06,1.54,1.57,1.54,1.55,1896730.0,
2020-04-07,1.56,1.65,1.54,1.55,2786660.0,
2020-04-08,1.57,1.57,1.5,1.5,4422520.0,
2020-04-13,1.51,1.51,1.49,1.49,1554290.0,
2020-04-14,1.57,1.57,1.52,1.52,5397470.0,
2020-04-15,1.58,1.7,1.56,1.58,13235180.0,
2020-04-16,1.6,1.63,1.5,1.5,5412210.0,
2020-04-17,1.51,1.65,1.51,1.65,8290080.0,
2020-04-20,1.68,1.72,1.61,1.71,5671290.0,
2020-04-21,1.72,1.72,1.59,1.6,8676170.0,
2020-04-22,1.61,1.61,1.51,1.59,4377360.0,
2020-04-23,1.63,1.68,1.63,1.68,4079780.0,
2020-04-24,1.73,1.84,1.72,1.83,12510410.0,
2020-04-27,1.89,1.98,1.75,1.8,12928610.0,
2020-04-28,1.84,1.84,1.8,1.82,2112890.0,
2020-04-29,1.81,1.81,1.72,1.8,2994240.0,
2020-04-30,1.81,1.96,1.81,1.96,6542330.0,
2020-05-04,1.96,1.97,1.82,1.94,4159590.0,
2020-05-05,1.97,1.97,1.88,1.92,9203830.0,
2020-05-06,1.92,1.92,1.85,1.88,2915270.0,
2020-05-07,1.87,1.88,1.82,1.83,3246080.0,
2020-05-08,1.85,1.91,1.82,1.91,3474960.0,
2020-05-11,1.92,1.97,1.84,1.85,10535020.0,
2020-05-12,1.87,1.87,1.78,1.79,9783820.0,
2020-05-13,1.79,1.85,1.78,1.8,4520590.0,
2020-05-14,1.8,1.8,1.71,1.74,4897420.0,
2020-05-15,1.74,1.78,1.69,1.69,5445120.0,
2020-05-18,1.69,1.69,1.65,1.65,7654060.0,
2020-05-19,1.69,1.7,1.65,1.65,8211330.0,
