dt,open,high,low,close,value,volume
2020-03-02,7.23,7.23,6.89,7.1,19296554.0,
2020-03-03,7.1,7.2,7.01,7.16,12054746.0,
2020-03-04,7.17,7.17,6.52,6.98,9129959.0,
2020-03-05,6.99,7.19,6.86,7.11,15334881.0,
2020-03-06,7.1,7.1,6.89,7.01,7550054.0,
2020-03-09,6.85,7.1,6.5,6.89,8890276.0,
2020-03-10,6.88,6.9,6.5,6.82,9946892.0,
2020-03-11,6.87,6.87,6.6,6.76,6423451.0,
2020-03-12,6.41,6.88,6.19,6.4,8057751.0,
2020-03-13,6.19,6.5,5.81,6.4,14624925.0,
2020-03-16,6.45,6.45,6.0,6.33,12384215.0,
2020-03-19,6.33,6.43,5.8,6.21,6719294.0,
2020-03-20,6.22,6.85,6.22,6.49,627009.0,
2020-03-23,5.94,6.34,5.6,6.31,1524127.0,
2020-03-24,6.29,6.29,5.66,6.24,1997247.0,
2020-03-25,6.2,6.31,6.04,6.27,978369.0,
2020-03-26,6.31,6.69,6.31,6.6,701789.0,
2020-03-27,6.83,6.83,6.15,6.45,951420.0,
2020-03-30,6.6,6.81,6.04,6.39,627637.0,
2020-03-31,6.57,6.6,6.2,6.3,3524154.0,
2020-04-01,6.31,6.58,6.2,6.25,1618473.0,
2020-04-02,6.25,6.55,6.25,6.48,1369351.0,
2020-04-03,6.49,6.51,6.31,6.48,1009265.0,
2020-04-06,6.47,6.49,6.02,6.49,1093403.0,
2020-04-07,6.46,6.5,6.32,6.5,1086314.0,
2020-04-08,6.49,7.0,6.49,6.99,2585452.0,
2020-04-13,6.98,7.04,6.75,6.92,1780698.0,
2020-04-14,6.93,6.99,6.8,6.86,3550840.0,
2020-04-15,6.85,7.11,6.85,7.11,6855518.0,
2020-04-16,7.12,7.2,7.0,7.19,3113570.0,
2020-04-17,7.27,7.72,7.2,7.6,8682495.0,
2020-04-20,7.78,7.86,7.61,7.86,9270930.0,
2020-04-21,7.8,7.85,7.46,7.78,4531517.0,
2020-04-22,7.6,7.8,7.45,7.6,2742241.0,
2020-04-23,7.7,7.8,7.6,7.68,2248279.0,
2020-04-24,7.68,8.36,7.68,8.31,18644508.0,
2020-04-27,8.42,8.96,8.42,8.61,20031830.0,
2020-04-28,8.62,8.75,8.0,8.4,9510802.0,
2020-04-29,8.36,8.36,8.12,8.2,5866941.0,
2020-04-30,8.24,8.6,8.21,8.43,3359895.0,
2020-05-04,8.42,8.42,8.16,8.28,5860626.0,
2020-05-05,8.5,8.94,8.3,8.41,16031970.0,
2020-05-06,8.75,8.75,8.28,8.36,8983772.0,
2020-05-07,8.35,8.36,7.73,7.87,9026590.0,
2020-05-08,7.82,8.35,7.8,7.97,7821107.0,
2020-05-11,8.15,8.17,7.32,7.4,6080785.0,
2020-05-12,7.3,7.5,7.1,7.43,2078241.0,
2020-05-13,7.43,7.69,7.36,7.48,3042230.0,
2020-05-14,7.6,7.63,7.37,7.43,1462740.0,
2020-05-15,7.58,7.69,7.35,7.43,813340.0,
2020-05-18,7.43,7.5,7.16,7.26,2726666.0,
2020-05-19,7.3,7.44,7.12,7.35,1197400.0,
2020-05-20,7.5,7.55,7.2,7.4,491351.0,
2020-05-21,7.44,7.44,7.16,7.16,4410294.0,
2020-05-22,7.17,7.25,6.9,7.15,3538295.0,
2020-05-26,7.15,7.35,6.9,7.08,2058730.0,
2020-05-27,7.03,7.22,7.0,7.14,2108504.0,
2020-05-28,7.15,7.21,7.02,7.18,1693269.0,
2020-05-29,7.29,7.3,6.98,7.09,3083333.0,
2020-06-01,7.09,7.28,7.0,7.16,1053737.0,
2020-06-02,7.47,7.47,7.13,7.28,2377213.0,
2020-06-03,7.28,7.67,7.28,7.55,5884766.0,
2020-06-04,7.62,7.63,7.4,7.5,3994876.0,
2020-06-05,7.5,7.57,7.4,7.52,1862607.0,
2020-06-08,7.52,7.65,7.4,7.5,3703037.0,
2020-06-09,7.55,7.55,7.01,7.33,3667702.0,
2020-06-10,7.35,7.37,7.1,7.22,2614958.0,
2020-06-11,7.2,7.45,7.2,7.4,2375254.0,
2020-06-15,7.4,7.41,7.05,7.08,1004791.0,
2020-06-16,7.06,7.25,7.04,7.2,643754.0,
2020-06-17,7.2,7.27,7.1,7.27,623019.0,
2020-06-18,7.15,7.28,7.1,7.19,1663427.0,
2020-06-19,7.11,7.23,7.09,7.2,451417.0,
2020-06-22,7.2,7.54,7.2,7.44,2543118.0,
2020-06-23,7.48,7.67,7.48,7.62,4723015.0,
2020-06-24,7.85,8.0,7.71,7.9,7598788.0,
2020-06-25,7.71,7.8,7.51,7.78,2980319.0,
2020-06-26,7.8,7.96,7.6,7.8,1167073.0,
2020-06-29,7.8,7.95,7.2,7.53,2402190.0,
2020-06-30,7.32,7.53,7.32,7.46,3315992.0,
2020-07-01,7.35,7.58,7.34,7.5,467362.0,
2020-07-02,7.5,7.6,7.33,7.48,1411660.0,
2020-07-03,7.48,7.85,7.48,7.62,1407540.0,
2020-07-06,7.61,7.62,7.34,7.45,606124.0,
2020-07-07,7.5,7.52,7.37,7.44,1104414.0,
2020-07-08,7.37,7.54,7.37,7.49,2364518.0,
2020-07-09,7.49,7.49,7.41,7.45,224628.0,
2020-07-10,7.45,7.7,7.45,7.61,858830.0,
2020-07-13,7.6,7.6,7.4,7.54,1237262.0,
2020-07-14,7.55,7.55,7.39,7.5,2959484.0,
2020-07-15,7.6,7.64,7.39,7.49,841387.0,
2020-07-16,7.4,7.6,7.31,7.51,1204704.0,
2020-07-17,7.51,7.89,7.51,7.89,7063564.0,
2020-07-20,7.95,8.3,7.7,8.19,16922682.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,9.0,9.73,7.4,7.75,24007370.0,
2020-07-24,7.7,7.95,7.51,7.75,2806638.0,
2020-07-27,7.75,7.75,7.03,7.18,3830955.0,
2020-07-28,7.22,7.74,7.19,7.4,2740082.0,
2020-07-29,7.43,7.5,7.2,7.28,516463.0,
2020-07-30,7.3,7.49,7.19,7.36,1189788.0,
2020-08-03,7.16,7.18,7.05,7.1,1502898.0,
2020-08-04,,,,7.29,,70600.0
2020-08-05,,,,7.43,,84800.0
2020-08-06,,,,7.38,,36600.0
2020-08-07,,,,7.57,,80100.0
2020-08-10,,,,7.99,,410100.0
2020-08-11,,,,8.07,,230100.0
2020-08-12,,,,8.0,,248300.0
2020-08-13,,,,8.04,,141000.0
2020-08-14,,,,7.9,,101500.0
2020-08-17,,,,8.0,,221200.0
2020-08-18,,,,8.01,,333700.0
2020-08-19,,,,7.92,,730800.0
2020-08-20,,,,7.83,,80700.0
2020-08-24,,,,7.83,,92300.0
2020-08-25,,,,7.73,,59100.0
2020-08-26,,,,7.79,,105500.0
2020-08-27,,,,7.77,,33200.0
2020-08-28,,,,7.65,,88200.0
2020-09-01,,,,8.14,,336800.0
2020-09-02,,,,8.01,,279500.0
2020-09-03,,,,8.05,,87100.0
2020-09-04,,,,8.02,,63500.0
2020-09-07,,,,8.05,,56900.0
2020-09-08,,,,8.04,,93300.0
2020-09-09,,,,7.99,,202100.0
2020-09-10,,,,7.99,,192100.0
2020-09-11,,,,7.97,,9400.0
2020-09-14,,,,8.0,,128000.0
2020-09-15,,,,7.94,,75700.0
2020-09-16,,,,7.98,,45500.0
2020-09-17,,,,7.96,,33000.0
2020-09-18,,,,7.95,,4800.0
2020-09-21,,,,7.9,,53000.0
2020-09-22,,,,7.83,,74000.0
2020-09-23,,,,7.88,,28600.0
2020-09-24,,,,7.9,,64400.0
2020-09-25,,,,7.94,,25700.0
