dt,open,high,low,close,value,volume
2020-03-02,6.1,6.1,6.1,6.1,152500.0,
2020-03-03,,,,,,
2020-03-04,6.1,6.1,6.1,6.1,226920.0,
2020-03-05,6.38,6.38,6.38,6.38,3190.0,
2020-03-06,6.12,6.12,6.1,6.1,197642.0,
2020-03-09,6.1,6.1,6.1,6.1,190930.0,
2020-03-10,6.1,6.71,6.1,6.4,245549.0,
2020-03-11,6.7,6.7,6.7,6.7,670.0,
2020-03-12,6.1,6.1,5.7,5.98,288697.0,
2020-03-13,5.8,6.0,5.7,6.0,112601.0,
2020-03-16,6.6,6.69,6.0,6.0,77511.0,
2020-03-19,6.6,6.6,6.0,6.0,325518.0,
2020-03-20,6.6,6.68,6.0,6.54,90386.0,
2020-03-23,6.3,6.3,6.0,6.0,73824.0,
2020-03-24,6.18,6.26,6.1,6.25,73336.0,
2020-03-25,6.22,6.65,6.2,6.55,868352.0,
2020-03-26,6.29,6.3,5.8,5.98,253993.0,
2020-03-27,6.24,6.24,5.92,6.0,294229.0,
2020-03-30,6.0,6.0,6.0,6.0,10800.0,
2020-03-31,6.35,6.36,6.35,6.36,12714.0,
2020-04-01,6.0,6.0,6.0,6.0,183000.0,
2020-04-02,6.0,6.0,6.0,6.0,148800.0,
2020-04-03,6.0,6.26,6.0,6.0,66026.0,
2020-04-06,6.24,6.24,6.22,6.22,9334.0,
2020-04-07,6.0,6.02,6.0,6.0,252700.0,
2020-04-08,6.04,6.04,5.9,5.9,1784.0,
2020-04-13,5.93,5.93,5.93,5.93,6523.0,
2020-04-14,6.1,6.1,6.0,6.1,90750.0,
2020-04-15,,,,,,
2020-04-16,6.17,6.17,5.96,5.96,19183.0,
2020-04-17,,,,,,
2020-04-20,6.1,6.1,6.0,6.0,235240.0,
2020-04-21,,,,,,
2020-04-22,6.0,6.0,5.93,6.0,102499.0,
2020-04-23,6.0,6.0,6.0,6.0,202200.0,
2020-04-24,6.0,6.0,5.97,5.97,137910.0,
2020-04-27,6.04,6.05,5.97,6.0,273514.0,
2020-04-28,6.0,6.0,5.97,6.0,67740.0,
2020-04-29,6.0,6.08,6.0,6.0,40240.0,
2020-04-30,6.09,6.1,5.97,6.1,12730.0,
2020-05-04,6.0,6.0,6.0,6.0,23400.0,
2020-05-05,,,,,,
2020-05-06,6.08,6.08,6.08,6.08,1216.0,
2020-05-07,6.0,6.0,5.97,6.0,37794.0,
2020-05-08,6.07,6.08,6.0,6.08,86114.0,
2020-05-11,6.08,6.08,5.98,5.98,54498.0,
2020-05-12,6.08,6.1,6.02,6.1,70648.0,
2020-05-13,6.1,6.1,6.1,6.1,162870.0,
2020-05-14,6.21,6.21,6.21,6.21,621.0,
2020-05-15,,,,,,
2020-05-18,6.0,6.0,5.98,6.0,26970.0,
2020-05-19,6.0,6.0,5.98,5.98,62372.0,
2020-05-20,6.0,6.05,6.0,6.05,174250.0,
