dt,open,high,low,close,value,volume
2020-03-02,27.5,28.4,26.2,26.2,69133885.0,
2020-03-03,27.0,27.9,26.85,27.0,62271510.0,
2020-03-04,27.3,27.95,27.0,27.5,62096060.0,
2020-03-05,28.3,28.3,27.3,27.4,68362925.0,
2020-03-06,27.5,27.8,27.1,27.5,13205195.0,
2020-03-09,26.8,27.0,25.5,26.1,32268855.0,
2020-03-10,26.1,26.6,25.9,26.3,51728850.0,
2020-03-11,26.6,26.85,26.0,26.5,50248055.0,
2020-03-12,26.05,26.05,24.9,25.2,77031775.0,
2020-03-13,24.95,27.0,22.25,25.2,130259580.0,
2020-03-16,25.2,27.05,24.0,25.5,84026230.0,
2020-03-19,23.0,26.0,20.15,24.0,76909105.0,
2020-03-20,24.2,24.8,22.9,24.0,48283700.0,
2020-03-23,23.9,25.1,20.5,25.1,62200250.0,
2020-03-24,24.95,25.0,23.45,23.45,32094050.0,
2020-03-25,24.9,26.5,24.5,26.5,100014055.0,
2020-03-26,26.5,30.0,25.95,30.0,78127985.0,
2020-03-27,30.0,30.0,26.0,26.0,124484080.0,
2020-03-30,26.45,26.5,24.0,24.05,56160830.0,
2020-03-31,25.05,27.05,25.0,26.3,75511465.0,
2020-04-01,26.0,29.0,25.3,28.0,64382295.0,
2020-04-02,27.9,27.95,26.6,27.0,56645655.0,
2020-04-03,27.45,28.3,27.0,28.2,19033545.0,
2020-04-06,28.2,28.85,28.05,28.5,49260765.0,
2020-04-07,28.95,29.3,28.05,28.9,88044370.0,
2020-04-08,28.0,28.2,27.0,27.25,67708260.0,
2020-04-13,27.5,27.95,27.25,27.55,29943845.0,
2020-04-14,28.0,28.05,27.5,27.7,53299410.0,
2020-04-15,27.75,28.0,27.7,28.0,57010575.0,
2020-04-16,27.8,27.85,25.9,25.9,51545390.0,
2020-04-17,26.2,27.25,26.15,26.8,79719305.0,
2020-04-20,27.15,27.15,26.2,26.6,27178540.0,
2020-04-21,26.8,26.8,26.0,26.0,21322580.0,
2020-04-22,26.45,27.35,25.7,27.35,45275055.0,
2020-04-23,27.35,27.4,26.7,27.0,28707880.0,
2020-04-24,27.4,27.4,26.35,26.55,23458280.0,
2020-04-27,26.55,27.2,26.05,27.2,13675595.0,
2020-04-28,27.15,27.45,27.0,27.05,9580550.0,
2020-04-29,27.05,27.5,27.0,27.5,17166345.0,
2020-04-30,27.4,27.85,27.2,27.4,44168515.0,
2020-05-04,27.4,27.4,26.05,26.2,25068350.0,
2020-05-05,26.2,26.65,26.05,26.05,24782425.0,
2020-05-06,26.15,26.25,25.5,25.5,64091125.0,
2020-05-07,25.5,26.35,25.5,26.3,37284245.0,
2020-05-08,26.2,26.7,26.0,26.5,43279905.0,
2020-05-11,26.7,27.0,26.6,26.7,18947325.0,
2020-05-12,26.95,27.0,26.1,26.25,31451670.0,
2020-05-13,26.8,26.8,26.2,26.2,23404100.0,
2020-05-14,26.25,26.5,26.05,26.5,16938840.0,
2020-05-15,26.5,26.5,25.65,25.65,43118300.0,
2020-05-18,25.7,25.8,25.55,25.8,19905400.0,
2020-05-19,26.0,26.25,24.6,26.0,54727110.0,
2020-05-20,26.1,26.1,25.5,26.0,27943490.0,
2020-05-21,26.05,26.35,25.55,26.2,25632455.0,
2020-05-22,26.0,26.7,25.8,26.5,22805185.0,
2020-05-26,26.5,26.8,25.6,26.8,19909070.0,
2020-05-27,26.8,26.8,26.0,26.6,8772800.0,
2020-05-28,26.3,26.6,26.1,26.3,10923285.0,
2020-05-29,26.6,27.8,26.15,27.8,86883330.0,
2020-06-01,27.8,28.45,27.2,28.0,46315310.0,
2020-06-02,28.45,29.3,28.4,29.3,108432115.0,
2020-06-03,29.45,30.0,28.6,30.0,63787335.0,
2020-06-04,30.0,30.35,29.35,29.8,36164825.0,
2020-06-05,30.0,30.0,28.0,29.0,50874485.0,
2020-06-08,29.0,29.5,28.55,28.75,44643260.0,
2020-06-09,28.7,29.0,28.5,28.8,43742780.0,
2020-06-10,28.9,29.0,27.9,28.25,26585370.0,
2020-06-11,28.85,28.9,28.0,28.9,25279495.0,
2020-06-15,28.5,28.5,27.2,27.2,23990245.0,
2020-06-16,27.2,28.1,27.2,28.0,14570960.0,
2020-06-17,28.1,28.1,27.5,27.5,22523180.0,
2020-06-18,27.8,28.0,27.5,28.0,13500050.0,
2020-06-19,28.0,28.3,27.45,27.8,52014315.0,
2020-06-22,27.8,28.4,27.5,28.4,16649925.0,
2020-06-23,28.4,28.4,27.6,28.0,9268800.0,
2020-06-24,28.25,28.25,26.7,26.7,48261495.0,
2020-06-25,27.0,27.0,26.55,26.95,18387760.0,
2020-06-26,27.5,27.7,26.5,27.3,11619220.0,
2020-06-29,27.25,27.45,26.3,27.4,20921400.0,
2020-06-30,27.05,27.4,26.65,27.0,19181625.0,
2020-07-01,27.1,27.2,26.5,27.2,8570365.0,
2020-07-02,27.3,28.0,26.65,28.0,39325780.0,
2020-07-03,28.0,28.0,27.7,27.7,8197870.0,
2020-07-06,27.85,28.0,27.3,28.0,9603380.0,
2020-07-07,28.0,28.75,27.95,28.25,62795195.0,
2020-07-08,28.65,28.65,26.85,28.1,20804750.0,
2020-07-09,28.0,28.0,26.75,27.0,29157900.0,
2020-07-10,27.0,27.25,26.7,26.85,13249760.0,
2020-07-13,26.85,27.0,26.55,26.55,14210630.0,
2020-07-14,26.55,26.55,26.25,26.35,54201905.0,
2020-07-15,26.5,26.9,25.6,25.8,21543540.0,
2020-07-16,25.8,26.5,25.8,26.5,18895795.0,
2020-07-17,26.45,27.0,26.0,27.0,21102915.0,
2020-07-20,27.0,27.0,26.0,26.9,16756915.0,
2020-07-21,26.9,26.9,26.5,26.9,16044930.0,
2020-07-22,26.75,27.0,26.6,26.6,26096830.0,
2020-07-23,26.8,26.8,25.85,26.5,8755915.0,
2020-07-24,26.6,26.6,25.55,25.9,18250120.0,
2020-07-27,25.55,25.9,25.1,25.9,19995155.0,
2020-07-28,25.9,26.1,25.5,25.95,21000005.0,
2020-07-29,25.9,26.0,25.4,25.7,17237410.0,
2020-07-30,25.8,26.0,25.55,25.65,42837985.0,
2020-08-03,25.6,25.6,24.75,24.75,30762485.0,
2020-08-04,,,,25.0,,1449600.0
2020-08-05,,,,24.5,,859700.0
2020-08-06,,,,24.3,,2555600.0
2020-08-07,,,,24.85,,703600.0
2020-08-10,,,,25.2,,554100.0
2020-08-11,,,,25.2,,825400.0
