dt,open,high,low,close,value,volume
2020-03-02,0.4,0.4,0.37,0.395,1926150.0,
2020-03-03,0.395,0.43,0.39,0.405,6934200.0,
2020-03-04,0.41,0.43,0.4,0.4,4566800.0,
2020-03-05,0.4,0.42,0.4,0.42,1630350.0,
2020-03-06,0.42,0.425,0.4,0.41,582400.0,
2020-03-09,0.4,0.405,0.37,0.375,1765550.0,
2020-03-10,0.375,0.385,0.37,0.385,1142000.0,
2020-03-11,0.38,0.38,0.37,0.375,368450.0,
2020-03-12,0.38,0.38,0.32,0.33,2095150.0,
2020-03-13,0.32,0.33,0.3,0.31,314700.0,
2020-03-16,0.31,0.35,0.31,0.35,19000.0,
2020-03-19,0.31,0.34,0.27,0.27,352500.0,
2020-03-20,0.29,0.34,0.29,0.31,145700.0,
2020-03-23,0.31,0.31,0.28,0.28,74000.0,
2020-03-24,0.28,0.28,0.27,0.27,1556600.0,
2020-03-25,0.29,0.29,0.25,0.26,1380150.0,
2020-03-26,0.26,0.27,0.25,0.255,1826400.0,
2020-03-27,0.265,0.27,0.245,0.245,980150.0,
2020-03-30,0.255,0.255,0.24,0.245,151950.0,
2020-03-31,0.245,0.245,0.245,0.245,51450.0,
2020-04-01,0.24600000000000002,0.255,0.24600000000000002,0.255,208020.0,
2020-04-02,0.25,0.265,0.25,0.265,421200.0,
2020-04-03,0.265,0.275,0.265,0.275,135550.0,
2020-04-06,0.275,0.275,0.27,0.275,162250.0,
2020-04-07,0.27,0.295,0.27,0.275,378050.0,
2020-04-08,0.28,0.29,0.28,0.285,126200.0,
2020-04-13,0.3,0.3,0.29,0.29,241900.0,
2020-04-14,0.29,0.35,0.29,0.3,459500.0,
2020-04-15,0.32,0.34,0.315,0.32,376450.0,
2020-04-16,0.32,0.325,0.305,0.305,395600.0,
2020-04-17,0.31,0.31,0.305,0.305,94900.0,
2020-04-20,0.325,0.325,0.3,0.315,201550.0,
2020-04-21,0.3,0.32,0.295,0.295,145700.0,
2020-04-22,0.295,0.31,0.295,0.3,104650.0,
2020-04-23,0.29,0.32,0.29,0.32,190850.0,
2020-04-24,0.31,0.32,0.31,0.32,151300.0,
2020-04-27,0.31,0.31,0.31,0.31,6200.0,
2020-04-28,0.31,0.32,0.3,0.3,230900.0,
2020-04-29,0.31,0.31,0.295,0.295,110450.0,
2020-04-30,0.31,0.34,0.31,0.32,937250.0,
2020-05-04,0.31,0.325,0.31,0.325,121400.0,
2020-05-05,0.325,0.325,0.31,0.32,392350.0,
2020-05-06,0.305,0.31,0.305,0.31,33900.0,
2020-05-07,0.315,0.315,0.305,0.305,52250.0,
2020-05-08,0.31,0.31,0.3,0.3,120200.0,
2020-05-11,0.31,0.31,0.29,0.29,242150.0,
2020-05-12,0.29,0.3,0.29,0.295,47250.0,
2020-05-13,0.295,0.3,0.29,0.295,97100.0,
2020-05-14,0.295,0.295,0.295,0.295,73750.0,
2020-05-15,0.295,0.3,0.295,0.3,50950.0,
2020-05-18,0.295,0.295,0.29,0.29,40700.0,
2020-05-19,0.28,0.31,0.28,0.3,182400.0,
2020-05-20,0.31,0.31,0.305,0.305,131400.0,
2020-05-21,0.305,0.32,0.305,0.305,214150.0,
2020-05-22,0.305,0.305,0.3,0.3,18050.0,
2020-05-26,0.295,0.295,0.29,0.29,104650.0,
2020-05-27,0.3,0.3,0.29,0.3,64000.0,
2020-05-28,0.29,0.295,0.29,0.295,95750.0,
2020-05-29,0.29,0.29,0.285,0.285,89500.0,
2020-06-01,0.285,0.3,0.285,0.29,78750.0,
2020-06-02,0.295,0.3,0.295,0.3,80900.0,
2020-06-03,0.295,0.295,0.295,0.295,67850.0,
2020-06-04,0.295,0.305,0.295,0.305,372750.0,
2020-06-05,0.305,0.315,0.3,0.31,250650.0,
2020-06-08,0.31,0.35,0.3,0.35,3075350.0,
2020-06-09,0.35,0.355,0.34,0.355,1593750.0,
2020-06-10,0.345,0.36,0.345,0.36,813250.0,
