dt,open,high,low,close,value,volume
2020-03-02,0.043,0.045,0.042,0.045,281700.0,
2020-03-03,0.044000000000000004,0.045,0.044000000000000004,0.045,31000.0,
2020-03-04,0.045,0.046,0.044000000000000004,0.046,142800.0,
2020-03-05,0.046,0.046,0.045,0.046,32000.0,
2020-03-06,0.046,0.046,0.045,0.045,261600.0,
2020-03-09,0.046,0.046,0.043,0.044000000000000004,507400.0,
2020-03-10,0.042,0.042,0.040999999999999995,0.042,484100.0,
2020-03-11,0.044000000000000004,0.046,0.044000000000000004,0.046,167400.0,
2020-03-12,0.039,0.039,0.037000000000000005,0.039,1291200.0,
2020-03-13,0.037000000000000005,0.043,0.037000000000000005,0.04,156300.0,
2020-03-16,0.034,0.040999999999999995,0.034,0.040999999999999995,7500.0,
2020-03-19,0.04,0.040999999999999995,0.04,0.04,68500.0,
2020-03-20,0.034,0.04,0.034,0.04,102600.0,
2020-03-23,0.04,0.04,0.039,0.039,171900.0,
2020-03-24,0.032,0.039,0.032,0.039,18100.0,
2020-03-25,0.035,0.039,0.035,0.039,115800.0,
2020-03-26,0.034,0.039,0.034,0.039,63500.0,
2020-03-27,0.039,0.039,0.037000000000000005,0.039,291800.0,
2020-03-30,0.036000000000000004,0.038,0.034,0.038,133200.0,
2020-03-31,0.039,0.04,0.038,0.039,389500.0,
2020-04-01,0.04,0.04,0.038,0.039,111600.0,
2020-04-02,0.038,0.039,0.038,0.039,57500.0,
2020-04-03,,,,,,
2020-04-06,0.038,0.039,0.038,0.038,858900.0,
2020-04-07,0.038,0.039,0.037000000000000005,0.039,164200.0,
2020-04-08,0.038,0.039,0.038,0.038,126600.0,
2020-04-13,0.04,0.04,0.038,0.038,205600.0,
2020-04-14,0.038,0.040999999999999995,0.038,0.040999999999999995,448800.0,
2020-04-15,0.04,0.04,0.04,0.04,188000.0,
2020-04-16,0.04,0.04,0.04,0.04,4000.0,
2020-04-17,0.04,0.04,0.039,0.039,179000.0,
2020-04-20,0.04,0.04,0.04,0.04,24000.0,
2020-04-21,0.038,0.039,0.037000000000000005,0.039,317800.0,
2020-04-22,0.037000000000000005,0.039,0.037000000000000005,0.038,327600.0,
2020-04-23,0.039,0.039,0.039,0.039,19500.0,
2020-04-24,0.039,0.039,0.038,0.039,57600.0,
2020-04-27,0.037000000000000005,0.039,0.036000000000000004,0.036000000000000004,399500.0,
2020-04-28,0.039,0.040999999999999995,0.039,0.040999999999999995,1279500.0,
2020-04-29,0.042,0.042,0.04,0.042,736700.0,
2020-04-30,0.043,0.044000000000000004,0.040999999999999995,0.043,1308500.0,
2020-05-04,0.042,0.042,0.038,0.04,1329900.0,
2020-05-05,0.039,0.040999999999999995,0.039,0.040999999999999995,795900.0,
2020-05-06,0.04,0.04,0.04,0.04,264000.0,
2020-05-07,0.04,0.04,0.04,0.04,68000.0,
2020-05-08,0.04,0.04,0.039,0.04,111200.0,
2020-05-11,0.04,0.042,0.04,0.042,290000.0,
2020-05-12,,,,,,
2020-05-13,0.04,0.040999999999999995,0.04,0.040999999999999995,548300.0,
2020-05-14,,,,,,
2020-05-15,0.04,0.042,0.04,0.042,48400.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,0.04,0.04,0.039,0.04,211000.0,
2020-05-27,0.038,0.04,0.038,0.04,289000.0,
2020-05-28,,,,,,
2020-05-29,0.04,0.040999999999999995,0.04,0.040999999999999995,325200.0,
2020-06-01,0.042,0.049,0.042,0.049,2494400.0,
2020-06-02,0.049,0.049,0.045,0.049,1004300.0,
2020-06-03,0.049,0.051,0.047,0.049,2099000.0,
2020-06-04,0.05,0.054000000000000006,0.05,0.052000000000000005,4381900.0,
