dt,open,high,low,close,value,volume
2020-03-02,0.65,0.65,0.65,0.65,50700.0,
2020-03-03,0.65,0.66,0.65,0.66,12480.0,
2020-03-04,0.64,0.69,0.64,0.69,47950.0,
2020-03-05,,,,,,
2020-03-06,0.68,0.74,0.68,0.7,924060.0,
2020-03-09,0.69,0.69,0.6,0.6,355500.0,
2020-03-10,0.6,0.64,0.6,0.61,122100.0,
2020-03-11,0.64,0.64,0.58,0.61,73870.0,
2020-03-12,0.6,0.6,0.55,0.55,108180.0,
2020-03-13,0.55,0.55,0.55,0.55,34650.0,
2020-03-16,0.56,0.59,0.55,0.56,75580.0,
2020-03-19,,,,,,
2020-03-20,0.54,0.54,0.54,0.54,14040.0,
2020-03-23,0.54,0.54,0.54,0.54,12420.0,
2020-03-24,0.54,0.54,0.5,0.52,116210.0,
2020-03-25,,,,,,
2020-03-26,0.5,0.52,0.5,0.51,191020.0,
2020-03-27,0.52,0.55,0.51,0.55,93930.0,
2020-03-30,0.57,0.57,0.53,0.53,84320.0,
2020-03-31,0.51,0.54,0.5,0.54,30060.0,
2020-04-01,0.53,0.53,0.52,0.52,81000.0,
2020-04-02,0.5,0.5,0.45,0.49,17640.0,
2020-04-03,,,,,,
2020-04-06,0.5,0.5,0.5,0.5,50000.0,
2020-04-07,0.495,0.51,0.495,0.51,18275.0,
2020-04-08,0.51,0.54,0.51,0.53,161150.0,
2020-04-13,0.54,0.54,0.51,0.52,47700.0,
2020-04-14,0.54,0.55,0.52,0.54,158620.0,
2020-04-15,0.54,0.58,0.53,0.57,660180.0,
2020-04-16,0.55,0.56,0.53,0.55,38510.0,
2020-04-17,0.53,0.55,0.53,0.55,42950.0,
2020-04-20,0.55,0.55,0.53,0.55,8230.0,
2020-04-21,0.55,0.55,0.53,0.55,89340.0,
2020-04-22,0.52,0.55,0.52,0.55,32150.0,
2020-04-23,0.53,0.56,0.53,0.56,2150.0,
2020-04-24,0.53,0.56,0.53,0.56,7520.0,
2020-04-27,0.53,0.53,0.53,0.53,16430.0,
2020-04-28,0.55,0.55,0.54,0.55,29110.0,
2020-04-29,0.53,0.53,0.53,0.53,3180.0,
2020-04-30,0.54,0.54,0.54,0.54,540.0,
2020-05-04,0.54,0.54,0.54,0.54,41040.0,
2020-05-05,,,,,,
2020-05-06,0.51,0.51,0.51,0.51,18360.0,
2020-05-07,0.51,0.51,0.5,0.5,107400.0,
2020-05-08,0.5,0.54,0.5,0.53,3680.0,
2020-05-11,0.55,0.55,0.54,0.54,16950.0,
2020-05-12,,,,,,
2020-05-13,0.54,0.54,0.52,0.52,89220.0,
