dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,,,,,,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,40.0,240.0,17.0,18.5,230856408.0,
2020-06-29,20.0,27.75,20.0,27.75,239319880.0,
2020-06-30,34.0,41.6,31.6,41.6,469407235.0,
2020-07-01,36.0,59.8,33.5,42.1,1138207310.0,
2020-07-02,45.0,48.15,36.35,39.5,308455655.0,
2020-07-03,37.65,39.3,28.3,30.0,263560060.0,
2020-07-06,31.0,32.8,26.5,28.0,199141940.0,
2020-07-07,28.0,28.95,24.65,25.5,146443570.0,
2020-07-08,24.65,28.45,22.9,27.9,198280580.0,
2020-07-09,26.5,27.9,24.5,24.5,102271045.0,
2020-07-10,25.0,25.0,22.0,22.1,97881695.0,
2020-07-13,21.2,21.6,20.15,20.25,48013640.0,
2020-07-14,19.9,19.9,17.32,17.36,40763652.0,
2020-07-15,17.0,20.4,16.1,17.26,101543341.0,
2020-07-16,17.6,18.9,17.6,18.7,39147728.0,
2020-07-17,18.92,18.92,17.18,17.28,23624880.0,
2020-07-20,17.24,17.24,14.8,14.8,39018456.0,
2020-07-21,14.0,15.2,13.54,14.5,29932462.0,
2020-07-22,15.0,15.88,14.74,15.36,25927498.0,
2020-07-23,15.4,15.4,13.72,13.72,12938870.0,
2020-07-24,13.5,14.0,13.0,13.44,11316436.0,
2020-07-27,13.1,13.6,12.22,12.66,8312068.0,
2020-07-28,12.98,13.54,12.62,12.9,7105242.0,
2020-07-29,12.98,13.56,12.7,13.1,14295268.0,
2020-07-30,13.6,14.3,13.28,14.3,13692236.0,
2020-08-03,13.62,13.96,12.82,12.96,16301856.0,
2020-08-04,,,,13.1,,341400.0
2020-08-05,,,,12.92,,1304200.0
2020-08-06,,,,12.52,,832900.0
2020-08-07,,,,12.54,,319700.0
2020-08-10,,,,13.3,,918300.0
2020-08-11,,,,14.18,,1166200.0
2020-08-12,,,,13.3,,1798800.0
2020-08-13,,,,13.4,,406700.0
2020-08-14,,,,13.48,,635600.0
2020-08-17,,,,13.22,,593100.0
2020-08-18,,,,13.42,,212300.0
2020-08-19,,,,13.7,,812100.0
2020-08-20,,,,13.5,,429700.0
2020-08-24,,,,13.04,,597300.0
2020-08-25,,,,13.1,,546900.0
2020-08-26,,,,13.1,,87300.0
2020-08-27,,,,12.62,,520900.0
2020-08-28,,,,12.5,,514800.0
2020-09-01,,,,12.5,,288800.0
2020-09-02,,,,12.1,,591600.0
2020-09-03,,,,11.54,,635900.0
2020-09-04,,,,10.74,,756300.0
2020-09-07,,,,10.5,,655900.0
2020-09-08,,,,11.04,,1319700.0
2020-09-09,,,,10.68,,600400.0
2020-09-10,,,,10.58,,232800.0
2020-09-11,,,,10.46,,238600.0
2020-09-14,,,,10.36,,179900.0
2020-09-15,,,,10.3,,291600.0
2020-09-16,,,,10.5,,169100.0
2020-09-17,,,,10.48,,82700.0
2020-09-18,,,,10.52,,509100.0
2020-09-21,,,,10.34,,321200.0
2020-09-22,,,,10.4,,458700.0
2020-09-23,,,,10.4,,209900.0
2020-09-24,,,,10.12,,417500.0
2020-09-25,,,,10.1,,218000.0
