dt,open,high,low,close,value,volume
2020-03-02,0.99,1.0,0.95,0.98,3342830.0,
2020-03-03,0.98,1.03,0.97,1.02,1673260.0,
2020-03-04,1.02,1.03,0.99,1.01,873220.0,
2020-03-05,1.01,1.01,0.99,1.0,659600.0,
2020-03-06,1.03,1.05,0.99,0.99,2962320.0,
2020-03-09,1.03,1.05,0.89,0.93,3673260.0,
2020-03-10,0.9,0.92,0.82,0.89,2224060.0,
2020-03-11,0.95,0.95,0.86,0.88,489260.0,
2020-03-12,0.87,0.87,0.75,0.77,3082160.0,
2020-03-13,0.7,0.75,0.65,0.75,2012450.0,
2020-03-16,0.76,0.76,0.65,0.68,1197070.0,
2020-03-19,0.59,0.65,0.55,0.56,1326230.0,
2020-03-20,0.58,0.65,0.58,0.58,682730.0,
2020-03-23,0.59,0.59,0.57,0.57,252760.0,
2020-03-24,0.58,0.66,0.58,0.65,856340.0,
2020-03-25,0.68,0.77,0.68,0.71,1144100.0,
2020-03-26,0.74,0.76,0.72,0.74,823850.0,
2020-03-27,0.75,0.77,0.71,0.72,723770.0,
2020-03-30,0.73,0.73,0.68,0.71,356170.0,
2020-03-31,0.74,0.74,0.71,0.72,221150.0,
2020-04-01,0.71,0.71,0.7,0.71,252260.0,
2020-04-02,0.7,0.7,0.68,0.69,52220.0,
2020-04-03,0.7,0.74,0.7,0.73,133180.0,
2020-04-06,0.73,0.73,0.7,0.71,970130.0,
2020-04-07,0.75,0.78,0.74,0.76,961950.0,
2020-04-08,0.76,0.76,0.72,0.75,116590.0,
2020-04-13,0.78,0.83,0.77,0.82,1570690.0,
2020-04-14,0.86,0.99,0.85,0.94,3571210.0,
2020-04-15,0.96,0.96,0.91,0.93,557720.0,
2020-04-16,0.92,0.96,0.89,0.92,2031910.0,
2020-04-17,0.93,0.94,0.91,0.93,535220.0,
2020-04-20,0.9,0.93,0.89,0.91,987630.0,
2020-04-21,0.9,0.98,0.9,0.93,2203830.0,
2020-04-22,0.92,0.94,0.9,0.92,854150.0,
2020-04-23,0.92,1.03,0.92,1.02,4666430.0,
2020-04-24,1.03,1.05,1.0,1.02,3827380.0,
2020-04-27,1.04,1.04,0.95,1.0,1619350.0,
2020-04-28,0.99,1.0,0.94,0.95,2885410.0,
2020-04-29,0.97,0.97,0.92,0.94,1492620.0,
2020-04-30,0.95,0.96,0.94,0.95,689950.0,
2020-05-04,0.94,0.94,0.9,0.92,827500.0,
2020-05-05,0.93,0.93,0.89,0.89,2373300.0,
2020-05-06,0.9,0.92,0.89,0.9,422940.0,
2020-05-07,0.89,0.89,0.85,0.88,2563940.0,
2020-05-08,0.9,0.93,0.89,0.9,1017190.0,
2020-05-11,0.92,0.92,0.9,0.92,1187930.0,
2020-05-12,0.92,0.94,0.92,0.94,1070600.0,
2020-05-13,0.94,0.95,0.91,0.93,972540.0,
2020-05-14,0.93,0.95,0.93,0.93,1144930.0,
2020-05-15,0.95,0.96,0.92,0.92,1356380.0,
2020-05-18,0.94,0.99,0.94,0.96,3992090.0,
2020-05-19,0.97,0.97,0.91,0.93,1260550.0,
2020-05-20,0.93,0.97,0.93,0.95,1882380.0,
2020-05-21,0.95,0.96,0.91,0.92,1090280.0,
2020-05-22,0.91,0.92,0.9,0.91,2160000.0,
2020-05-26,0.9,0.93,0.9,0.93,1220160.0,
2020-05-27,0.9,0.91,0.9,0.91,267350.0,
2020-05-28,0.9,0.9,0.88,0.9,419310.0,
2020-05-29,0.9,0.91,0.89,0.89,644970.0,
2020-06-01,0.91,0.95,0.9,0.94,2162060.0,
2020-06-02,0.94,1.02,0.94,0.99,5904950.0,
2020-06-03,1.0,1.02,0.98,0.99,2869470.0,
2020-06-04,0.97,1.01,0.97,0.97,2449470.0,
2020-06-05,0.98,1.04,0.98,1.02,3789990.0,
2020-06-08,1.01,1.07,1.0,1.05,3468680.0,
2020-06-09,1.07,1.11,1.07,1.08,3367790.0,
2020-06-10,1.1,1.1,1.02,1.05,4456570.0,
2020-06-11,1.03,1.08,1.03,1.08,2240330.0,
2020-06-15,1.06,1.06,1.0,1.04,5271580.0,
2020-06-16,1.04,1.06,1.03,1.06,1956900.0,
2020-06-17,1.06,1.06,1.0,1.04,2932390.0,
2020-06-18,1.04,1.04,0.99,1.01,2278070.0,
2020-06-19,1.01,1.06,1.01,1.04,3844510.0,
2020-06-22,1.05,1.12,1.05,1.11,10166540.0,
2020-06-23,1.15,1.21,1.14,1.2,33572850.0,
2020-06-24,1.24,1.28,1.16,1.16,26533180.0,
2020-06-25,1.15,1.21,1.14,1.19,3740780.0,
2020-06-26,1.2,1.25,1.19,1.22,8845010.0,
2020-06-29,1.23,1.33,1.22,1.3,29895850.0,
2020-06-30,1.3,1.33,1.28,1.29,7400340.0,
2020-07-01,1.35,1.37,1.31,1.33,18530220.0,
2020-07-02,1.32,1.32,1.26,1.27,7996010.0,
2020-07-03,1.27,1.29,1.23,1.24,5112500.0,
2020-07-06,1.24,1.29,1.24,1.28,8482870.0,
2020-07-07,1.3,1.35,1.28,1.33,13752230.0,
2020-07-08,1.34,1.35,1.3,1.33,8979100.0,
2020-07-09,1.35,1.37,1.32,1.32,13777380.0,
2020-07-10,1.32,1.33,1.28,1.31,6910490.0,
2020-07-13,1.3,1.3,1.26,1.27,4436100.0,
2020-07-14,1.27,1.27,1.24,1.25,6836420.0,
