dt,open,high,low,close,value,volume
2020-03-02,0.0012,0.0013,0.0012,0.0013,230800.0,
2020-03-03,0.0012,0.0013,0.0012,0.0013,94100.0,
2020-03-04,0.0013,0.0013,0.0012,0.0012,27900.0,
2020-03-05,0.0012,0.0013,0.0012,0.0013,19000.0,
2020-03-06,0.0013,0.0013,0.0012,0.0013,42600.0,
2020-03-09,0.0012,0.0013,0.0011,0.0011,433600.0,
2020-03-10,0.0012,0.0012,0.0011,0.0012,148500.0,
2020-03-11,0.0012,0.0013,0.0011,0.0013,162200.0,
2020-03-12,0.0012,0.0012,0.0011,0.0011,206200.0,
2020-03-13,0.0011,0.0012,0.0011,0.0012,103100.0,
2020-03-16,0.0011,0.0012,0.0011,0.0011,122200.0,
2020-03-19,0.0011,0.0011,0.0009,0.001,512700.0,
2020-03-20,0.001,0.0011,0.001,0.001,163200.0,
2020-03-23,0.001,0.001,0.001,0.001,9000.0,
2020-03-24,0.001,0.001,0.001,0.001,64000.0,
2020-03-25,0.0011,0.0011,0.001,0.0011,60900.0,
2020-03-26,0.001,0.0011,0.001,0.0011,35500.0,
2020-03-27,0.001,0.0011,0.001,0.0011,23200.0,
2020-03-30,0.0011,0.0011,0.001,0.0011,4300.0,
2020-03-31,0.0011,0.0011,0.0011,0.0011,4400.0,
2020-04-01,0.001,0.0011,0.001,0.0011,13900.0,
2020-04-02,0.001,0.0011,0.001,0.001,11200.0,
2020-04-03,0.001,0.001,0.001,0.001,10000.0,
2020-04-06,0.0011,0.0011,0.001,0.001,54300.0,
2020-04-07,0.0011,0.0011,0.001,0.001,319300.0,
2020-04-08,0.001,0.0011,0.001,0.0011,24100.0,
2020-04-13,0.0011,0.0011,0.001,0.0011,16700.0,
2020-04-14,0.001,0.0011,0.001,0.001,140600.0,
2020-04-15,0.001,0.0011,0.001,0.0011,57600.0,
2020-04-16,0.001,0.0011,0.001,0.0011,14200.0,
2020-04-17,0.001,0.0011,0.001,0.001,91100.0,
2020-04-20,0.001,0.0011,0.001,0.001,41800.0,
2020-04-21,0.001,0.0011,0.001,0.0011,21300.0,
2020-04-22,0.0011,0.0011,0.001,0.0011,12800.0,
2020-04-23,0.001,0.0011,0.001,0.0011,77300.0,
2020-04-24,0.001,0.0011,0.001,0.0011,145000.0,
2020-04-27,0.001,0.0011,0.001,0.0011,59700.0,
2020-04-28,0.0011,0.0011,0.001,0.0011,33900.0,
2020-04-29,0.0011,0.0011,0.001,0.0011,30500.0,
2020-04-30,0.0011,0.0011,0.001,0.001,22100.0,
2020-05-04,0.0011,0.0011,0.0011,0.0011,13200.0,
2020-05-05,0.001,0.0011,0.001,0.0011,12200.0,
2020-05-06,0.0011,0.0011,0.0011,0.0011,2200.0,
2020-05-07,0.0011,0.0011,0.001,0.001,21400.0,
2020-05-08,0.0011,0.0011,0.001,0.0011,63100.0,
2020-05-11,0.001,0.0011,0.001,0.0011,39500.0,
2020-05-12,0.001,0.0011,0.001,0.0011,28500.0,
2020-05-13,0.001,0.0011,0.001,0.0011,14700.0,
2020-05-14,0.0011,0.0011,0.001,0.0011,700900.0,
2020-05-15,0.001,0.0011,0.0009,0.001,335100.0,
2020-05-18,0.001,0.001,0.0009,0.001,34900.0,
2020-05-19,0.001,0.001,0.001,0.001,113000.0,
2020-05-20,0.001,0.001,0.001,0.001,19000.0,
2020-05-21,0.001,0.001,0.001,0.001,88000.0,
2020-05-22,0.001,0.001,0.0009,0.001,60400.0,
2020-05-26,0.001,0.001,0.0009,0.0009,831900.0,
2020-05-27,0.0009,0.001,0.0008,0.0009,958100.0,
2020-05-28,0.0009,0.0011,0.0009,0.001,2383300.0,
2020-05-29,0.001,0.0011,0.001,0.0011,1158000.0,
2020-06-01,0.0011,0.0011,0.001,0.0011,241400.0,
2020-06-02,0.001,0.0011,0.001,0.001,411300.0,
2020-06-03,0.001,0.0011,0.001,0.0011,220400.0,
2020-06-04,0.001,0.0011,0.001,0.001,1251300.0,
2020-06-05,0.001,0.0011,0.001,0.001,12400.0,
2020-06-08,0.001,0.001,0.001,0.001,111000.0,
2020-06-09,0.0011,0.0011,0.001,0.0011,61600.0,
2020-06-10,0.0011,0.0011,0.001,0.001,39500.0,
2020-06-11,0.001,0.0011,0.0009,0.001,1145000.0,
2020-06-15,0.001,0.001,0.0009,0.001,18600.0,
2020-06-16,0.001,0.001,0.001,0.001,111000.0,
2020-06-17,0.001,0.001,0.0009,0.001,55700.0,
2020-06-18,0.001,0.001,0.0009,0.001,19300.0,
2020-06-19,0.001,0.001,0.0009,0.001,37700.0,
2020-06-22,0.001,0.001,0.0009,0.001,15500.0,
2020-06-23,0.0009,0.001,0.0009,0.001,9600.0,
2020-06-24,0.001,0.001,0.0009,0.0009,2480200.0,
2020-06-25,0.0009,0.001,0.0009,0.0009,397900.0,
2020-06-26,0.0009,0.0009,0.0009,0.0009,189900.0,
2020-06-29,0.0008,0.001,0.0008,0.001,112700.0,
2020-06-30,0.0009,0.001,0.0009,0.001,142600.0,
2020-07-01,0.0009,0.001,0.0009,0.0009,26300.0,
2020-07-02,0.0009,0.001,0.0009,0.0009,19700.0,
2020-07-03,0.0009,0.001,0.0008,0.0009,1575700.0,
2020-07-06,0.0008,0.0009,0.0008,0.0009,166100.0,
2020-07-07,0.0009,0.001,0.0009,0.001,463200.0,
2020-07-08,0.001,0.001,0.0008,0.0009,1148800.0,
2020-07-09,0.0009,0.001,0.0009,0.0009,440000.0,
2020-07-10,0.0009,0.001,0.0009,0.0009,270200.0,
2020-07-13,0.0008,0.0009,0.0008,0.0009,81700.0,
2020-07-14,0.0009,0.0009,0.0008,0.0008,3231100.0,
2020-07-15,0.0009,0.0009,0.0007,0.0007,672700.0,
2020-07-16,0.0008,0.0009,0.0007,0.0009,3352000.0,
2020-07-17,0.0008,0.0009,0.0007,0.0008,862500.0,
2020-07-20,0.0008,0.0008,0.0007,0.0008,360900.0,
2020-07-21,0.0008,0.0008,0.0007,0.0008,249300.0,
2020-07-22,0.0008,0.0009,0.0008,0.0009,1132600.0,
2020-07-23,0.0009,0.0009,0.0007,0.0009,427100.0,
2020-07-24,0.0008,0.0009,0.0008,0.0009,425000.0,
2020-07-27,0.0008,0.0009,0.0008,0.0009,640800.0,
2020-07-28,0.0009,0.0009,0.0008,0.0009,125800.0,
2020-07-29,0.0008,0.0009,0.0008,0.0008,43600.0,
2020-07-30,0.0008,0.0009,0.0008,0.0008,191800.0,
2020-08-03,0.0008,0.0008,0.0008,0.0008,230400.0,
2020-08-04,,,,0.0008,,80000000.0
2020-08-05,,,,0.0008,,256000000.0
2020-08-06,,,,0.0009,,6153000000.0
2020-08-07,,,,0.0009,,3360000000.0
2020-08-10,,,,0.0011,,73267000000.0
2020-08-11,,,,0.001,,4353000000.0
2020-08-12,,,,0.001,,4661000000.0
2020-08-13,,,,0.001,,383000000.0
2020-08-14,,,,0.0009,,5729000000.0
2020-08-17,,,,0.0009,,2162000000.0
2020-08-18,,,,0.001,,8759000000.0
2020-08-19,,,,0.0009,,402000000.0
2020-08-20,,,,0.001,,806000000.0
2020-08-24,,,,0.001,,687000000.0
2020-08-25,,,,0.0009,,367000000.0
2020-08-26,,,,0.0009,,630000000.0
2020-08-27,,,,0.0009,,4324000000.0
2020-08-28,,,,0.0009,,2916000000.0
2020-09-01,,,,0.0009,,1099000000.0
2020-09-02,,,,0.0009,,683000000.0
2020-09-03,,,,0.0009,,238000000.0
2020-09-04,,,,0.0009,,87000000.0
2020-09-07,,,,0.0008,,924000000.0
2020-09-08,,,,0.0009,,256000000.0
2020-09-09,,,,0.0009,,105000000.0
2020-09-10,,,,0.0009,,169000000.0
2020-09-11,,,,0.0009,,515000000.0
2020-09-14,,,,0.0009,,233000000.0
2020-09-15,,,,0.0009,,72000000.0
2020-09-16,,,,0.0009,,120000000.0
2020-09-17,,,,0.0009,,91000000.0
2020-09-18,,,,0.0009,,110000000.0
2020-09-21,,,,0.0009,,890000000.0
2020-09-22,,,,0.0008,,3409000000.0
2020-09-23,,,,0.0008,,675000000.0
2020-09-24,,,,0.0008,,419000000.0
2020-09-25,,,,0.0008,,725000000.0
