dt,open,high,low,close,value,volume
2020-03-02,1.5,1.69,1.5,1.69,29850.0,
2020-03-03,1.34,1.53,1.33,1.53,241520.0,
2020-03-04,1.39,1.4,1.26,1.35,693700.0,
2020-03-05,1.35,1.36,1.35,1.35,52720.0,
2020-03-06,1.35,1.35,1.32,1.33,246570.0,
2020-03-09,1.32,1.32,1.25,1.3,334950.0,
2020-03-10,1.25,1.26,1.2,1.2,570170.0,
2020-03-11,1.29,1.29,1.29,1.29,2580.0,
2020-03-12,1.34,1.34,1.29,1.29,52600.0,
2020-03-13,,,,,,
2020-03-16,1.28,1.28,1.28,1.28,8960.0,
2020-03-19,,,,,,
2020-03-20,1.05,1.42,1.03,1.3,952420.0,
2020-03-23,1.44,1.44,1.36,1.36,2800.0,
2020-03-24,1.04,1.2,1.04,1.2,123240.0,
2020-03-25,1.2,1.2,1.2,1.2,25200.0,
2020-03-26,1.1,1.15,1.02,1.15,260860.0,
2020-03-27,1.05,1.1,1.04,1.08,95840.0,
2020-03-30,1.04,1.04,1.04,1.04,11440.0,
2020-03-31,,,,,,
2020-04-01,1.02,1.02,1.02,1.02,3060.0,
2020-04-02,1.09,1.09,1.09,1.09,43600.0,
2020-04-03,1.1,1.1,1.01,1.01,420820.0,
2020-04-06,1.01,1.07,0.95,1.07,2212310.0,
2020-04-07,1.05,1.05,1.04,1.04,45890.0,
2020-04-08,1.03,1.11,1.01,1.1,124810.0,
2020-04-13,1.1,1.1,1.1,1.1,22000.0,
2020-04-14,1.1,1.13,1.05,1.1,76120.0,
2020-04-15,1.15,1.15,1.02,1.02,271310.0,
2020-04-16,1.03,1.05,1.03,1.05,62450.0,
2020-04-17,1.03,1.04,1.03,1.04,39390.0,
2020-04-20,1.06,1.06,1.04,1.05,78930.0,
2020-04-21,1.05,1.05,1.05,1.05,11550.0,
2020-04-22,,,,,,
2020-04-23,1.08,1.08,1.04,1.04,56200.0,
2020-04-24,1.03,1.08,1.0,1.02,88580.0,
2020-04-27,1.0,1.01,1.0,1.01,116150.0,
2020-04-28,1.05,1.05,1.05,1.05,6300.0,
2020-04-29,1.05,1.05,0.99,1.01,76890.0,
2020-04-30,1.04,1.05,1.04,1.05,280820.0,
2020-05-04,1.12,1.3,1.12,1.16,1779480.0,
2020-05-05,1.22,1.25,1.12,1.2,330100.0,
2020-05-06,1.18,1.18,1.09,1.15,224880.0,
2020-05-07,1.09,1.11,1.05,1.05,173190.0,
2020-05-08,1.01,1.05,1.01,1.04,135910.0,
2020-05-11,1.05,1.06,1.02,1.06,123960.0,
2020-05-12,1.07,1.07,1.03,1.05,60800.0,
2020-05-13,1.07,1.07,1.07,1.07,21400.0,
2020-05-14,,,,,,
2020-05-15,1.05,1.07,1.02,1.05,37950.0,
2020-05-18,1.02,1.02,1.02,1.02,28560.0,
2020-05-19,1.02,1.06,1.02,1.02,127840.0,
2020-05-20,1.09,1.09,1.03,1.07,44200.0,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,1.03,1.03,1.02,1.02,20490.0,
2020-05-27,1.02,1.02,1.01,1.01,17260.0,
2020-05-28,,,,,,
2020-05-29,1.0,1.05,1.0,1.0,123260.0,
2020-06-01,1.01,1.01,1.01,1.01,14140.0,
2020-06-02,1.01,1.01,1.01,1.01,21210.0,
2020-06-03,1.01,1.05,1.01,1.05,71840.0,
2020-06-04,1.05,1.05,1.05,1.05,2100.0,
2020-06-05,1.03,1.05,1.0,1.05,739290.0,
2020-06-08,1.02,1.08,1.02,1.08,50140.0,
2020-06-09,1.08,1.08,1.05,1.07,158750.0,
2020-06-10,1.07,1.07,1.02,1.04,62770.0,
2020-06-11,1.03,1.03,1.01,1.03,43110.0,
2020-06-15,1.03,1.03,1.03,1.03,12360.0,
2020-06-16,1.02,1.06,1.01,1.05,59830.0,
2020-06-17,1.06,1.06,1.02,1.05,58970.0,
2020-06-18,1.05,1.06,1.0,1.05,73460.0,
2020-06-19,1.02,1.06,1.01,1.06,36790.0,
2020-06-22,1.05,1.05,1.05,1.05,54600.0,
2020-06-23,1.02,1.03,1.01,1.03,47780.0,
2020-06-24,1.03,1.03,1.02,1.02,32690.0,
2020-06-25,1.0,1.0,1.0,1.0,192000.0,
2020-06-26,1.05,1.05,1.0,1.0,7050.0,
2020-06-29,1.0,1.0,1.0,1.0,4000.0,
2020-06-30,1.02,1.02,1.0,1.0,41160.0,
2020-07-01,,,,,,
2020-07-02,0.99,0.99,0.99,0.99,39600.0,
2020-07-03,0.99,0.99,0.97,0.99,58770.0,
2020-07-06,0.97,1.06,0.97,1.05,140190.0,
2020-07-07,1.0,1.05,1.0,1.05,6050.0,
2020-07-08,1.0,1.03,1.0,1.03,3060.0,
2020-07-09,1.03,1.03,0.99,1.02,74390.0,
2020-07-10,,,,,,
2020-07-13,0.99,1.0,0.99,1.0,13940.0,
2020-07-14,0.99,1.0,0.98,0.98,11840.0,
2020-07-15,1.0,1.1,0.97,1.0,879540.0,
2020-07-16,1.0,1.09,0.98,0.99,226330.0,
2020-07-17,0.99,1.04,0.98,1.02,51460.0,
2020-07-20,0.99,1.02,0.99,1.02,14190.0,
2020-07-21,1.04,1.04,1.04,1.04,1040.0,
2020-07-22,,,,,,
2020-07-23,1.0,1.02,0.99,1.02,44860.0,
2020-07-24,0.99,1.03,0.98,1.03,85650.0,
2020-07-27,1.03,1.05,0.98,1.03,18310.0,
2020-07-28,1.0,1.03,0.99,1.02,22040.0,
2020-07-29,0.99,0.99,0.99,0.99,56430.0,
2020-07-30,1.01,1.05,1.0,1.04,115910.0,
2020-08-03,1.04,1.06,1.04,1.04,118580.0,
2020-08-05,,,,1.0,,138000.0
2020-08-06,,,,1.03,,304000.0
2020-08-07,,,,0.98,,3000.0
2020-08-10,,,,0.99,,36000.0
2020-08-11,,,,1.03,,4000.0
2020-08-13,,,,0.99,,3000.0
2020-08-14,,,,1.03,,4000.0
2020-08-17,,,,1.02,,78000.0
2020-08-18,,,,1.03,,4000.0
2020-08-19,,,,1.02,,3000.0
2020-08-20,,,,0.98,,240000.0
2020-08-24,,,,1.0,,59000.0
2020-08-25,,,,1.0,,51000.0
2020-08-26,,,,1.01,,414000.0
2020-08-27,,,,1.01,,8000.0
2020-08-28,,,,1.0,,429000.0
2020-09-02,,,,0.99,,64000.0
2020-09-03,,,,0.99,,300000.0
2020-09-04,,,,1.0,,1000.0
2020-09-07,,,,0.97,,31000.0
2020-09-08,,,,1.02,,327000.0
2020-09-09,,,,1.02,,183000.0
2020-09-10,,,,1.02,,1000.0
2020-09-11,,,,1.02,,1000.0
2020-09-14,,,,1.01,,15000.0
2020-09-15,,,,1.0,,203000.0
2020-09-16,,,,1.0,,58000.0
2020-09-17,,,,0.99,,5000.0
2020-09-18,,,,1.0,,144000.0
2020-09-21,,,,1.0,,272000.0
2020-09-22,,,,1.0,,2000.0
2020-09-24,,,,0.99,,49000.0
2020-09-25,,,,0.99,,50000.0
