dt,open,high,low,close,value,volume
2020-03-02,2.3,2.3,2.3,2.3,46000.0,
2020-03-03,2.39,2.39,2.3,2.3,232390.0,
2020-03-04,2.19,2.19,2.19,2.19,6570.0,
2020-03-05,2.3,2.3,2.3,2.3,236900.0,
2020-03-06,,,,,,
2020-03-09,2.29,2.3,2.1,2.1,196750.0,
2020-03-10,,,,,,
2020-03-11,2.0,2.02,2.0,2.0,160400.0,
2020-03-12,2.02,2.02,2.0,2.0,650310.0,
2020-03-13,1.9,1.9,1.8,1.8,45500.0,
2020-03-16,1.8,1.81,1.8,1.81,54200.0,
2020-03-19,1.8,1.8,1.5,1.75,22510.0,
2020-03-20,,,,,,
2020-03-23,1.75,1.76,1.75,1.75,89260.0,
2020-03-24,,,,,,
2020-03-25,1.9,1.9,1.8,1.81,96240.0,
2020-03-26,,,,,,
2020-03-27,1.82,1.82,1.82,1.82,145600.0,
2020-03-30,1.8,1.86,1.8,1.86,50460.0,
2020-03-31,1.89,1.89,1.89,1.89,1890.0,
2020-04-01,1.9,1.9,1.9,1.9,115900.0,
2020-04-02,1.9,1.9,1.9,1.9,9500.0,
2020-04-03,,,,,,
2020-04-06,1.85,1.85,1.7,1.7,93840.0,
2020-04-07,1.71,1.71,1.71,1.71,100890.0,
2020-04-08,1.71,1.71,1.7,1.7,153350.0,
2020-04-13,1.75,1.87,1.75,1.87,14120.0,
2020-04-14,1.9,1.9,1.9,1.9,20900.0,
2020-04-15,1.98,1.98,1.98,1.98,1980.0,
2020-04-16,1.98,1.98,1.98,1.98,39600.0,
2020-04-17,1.99,2.01,1.99,1.99,364910.0,
2020-04-20,1.9,1.9,1.9,1.9,9500.0,
2020-04-21,1.94,1.94,1.94,1.94,1940.0,
2020-04-22,1.85,1.9,1.85,1.9,39350.0,
2020-04-23,1.9,1.9,1.9,1.9,15200.0,
2020-04-24,1.9,1.9,1.9,1.9,5700.0,
2020-04-27,1.9,1.9,1.9,1.9,19000.0,
2020-04-28,1.79,1.85,1.72,1.85,1074190.0,
2020-04-29,1.85,1.85,1.85,1.85,64750.0,
2020-04-30,1.9,1.9,1.9,1.9,3800.0,
2020-05-04,1.8,1.81,1.8,1.8,66620.0,
2020-05-05,1.8,1.8,1.75,1.75,22900.0,
2020-05-06,1.85,1.85,1.8,1.8,34960.0,
2020-05-07,1.89,1.89,1.89,1.89,3780.0,
2020-05-08,1.9,1.9,1.85,1.88,7500.0,
2020-05-11,1.8,1.8,1.8,1.8,3600.0,
2020-05-12,,,,,,
2020-05-13,1.9,1.91,1.9,1.91,619430.0,
2020-05-14,,,,,,
2020-05-15,1.93,1.93,1.93,1.93,1930.0,
2020-05-18,1.94,1.94,1.9,1.91,492450.0,
2020-05-19,1.9,1.9,1.85,1.85,52200.0,
2020-05-20,1.93,1.93,1.8,1.8,254050.0,
2020-05-21,1.8,1.8,1.8,1.8,102600.0,
2020-05-22,,,,,,
2020-05-26,1.8,1.8,1.8,1.8,241200.0,
2020-05-27,1.8,1.8,1.8,1.8,540000.0,
2020-05-28,1.92,1.92,1.92,1.92,1920.0,
2020-05-29,,,,,,
2020-06-01,1.89,1.89,1.84,1.84,35110.0,
2020-06-02,1.84,1.89,1.84,1.84,121490.0,
2020-06-03,1.84,1.91,1.73,1.91,454850.0,
2020-06-04,1.87,1.9,1.87,1.89,13250.0,
2020-06-05,1.9,1.93,1.9,1.93,280390.0,
