dt,open,high,low,close,value,volume
2020-03-02,0.88,0.9,0.86,0.89,412280.0,
2020-03-03,0.88,0.9,0.88,0.9,488920.0,
2020-03-04,0.89,0.89,0.88,0.88,976620.0,
2020-03-05,0.89,0.9,0.88,0.9,706110.0,
2020-03-06,0.88,0.9,0.88,0.89,363110.0,
2020-03-09,0.88,0.88,0.8,0.84,1948830.0,
2020-03-10,0.77,0.86,0.77,0.86,182580.0,
2020-03-11,0.87,0.87,0.79,0.8,1257570.0,
2020-03-12,0.83,0.83,0.68,0.68,2860890.0,
2020-03-13,0.68,0.7,0.65,0.69,1989790.0,
2020-03-16,0.65,0.65,0.6,0.6,300270.0,
2020-03-19,0.55,0.55,0.5,0.51,291440.0,
2020-03-20,0.41,0.51,0.41,0.5,491475.0,
2020-03-23,0.53,0.53,0.52,0.52,15770.0,
2020-03-24,0.52,0.53,0.5,0.5,18050.0,
2020-03-25,0.52,0.54,0.45,0.495,1833625.0,
2020-03-26,0.51,0.57,0.51,0.56,375700.0,
2020-03-27,0.55,0.55,0.5,0.53,840000.0,
2020-03-30,0.53,0.53,0.495,0.52,198645.0,
2020-03-31,0.52,0.53,0.52,0.52,111810.0,
2020-04-01,0.52,0.52,0.52,0.52,6760.0,
2020-04-02,0.5,0.5,0.495,0.5,349940.0,
2020-04-03,0.5,0.51,0.495,0.51,69650.0,
2020-04-06,0.5,0.5,0.39,0.43,19499595.0,
2020-04-07,0.45,0.45,0.42,0.42,2270200.0,
2020-04-08,0.425,0.455,0.415,0.455,5118900.0,
2020-04-13,0.455,0.455,0.43,0.43,1021050.0,
2020-04-14,0.44,0.45,0.43,0.45,1028100.0,
2020-04-15,0.455,0.48,0.455,0.47,1374900.0,
2020-04-16,0.49,0.49,0.435,0.46,1231700.0,
2020-04-17,0.45,0.465,0.445,0.46,521500.0,
2020-04-20,0.47,0.47,0.455,0.465,402850.0,
2020-04-21,0.47,0.47,0.45,0.45,615550.0,
2020-04-22,0.45,0.455,0.44,0.45,542000.0,
2020-04-23,0.455,0.54,0.455,0.53,5026250.0,
2020-04-24,0.53,0.57,0.5,0.53,4608030.0,
2020-04-27,0.53,0.53,0.5,0.52,1472640.0,
2020-04-28,0.51,0.53,0.5,0.51,1554910.0,
2020-04-29,0.51,0.53,0.5,0.53,1459700.0,
2020-04-30,0.54,0.59,0.53,0.57,5486380.0,
2020-05-04,0.57,0.58,0.52,0.52,2777720.0,
2020-05-05,0.52,0.54,0.52,0.53,658110.0,
2020-05-06,0.54,0.54,0.51,0.53,826030.0,
2020-05-07,0.53,0.54,0.51,0.51,343040.0,
2020-05-08,0.53,0.54,0.51,0.51,520000.0,
2020-05-11,0.51,0.53,0.51,0.51,381610.0,
2020-05-12,0.52,0.54,0.51,0.54,855890.0,
2020-05-13,0.54,0.54,0.51,0.53,514240.0,
2020-05-14,0.52,0.53,0.5,0.53,679070.0,
2020-05-15,0.52,0.53,0.52,0.53,418230.0,
2020-05-18,0.51,0.53,0.51,0.51,497980.0,
2020-05-19,0.51,0.54,0.51,0.51,508500.0,
2020-05-20,0.53,0.53,0.5,0.52,392810.0,
2020-05-21,0.5,0.52,0.5,0.51,280000.0,
2020-05-22,0.51,0.52,0.51,0.51,345360.0,
2020-05-26,0.52,0.52,0.51,0.52,1164050.0,
2020-05-27,0.53,0.56,0.52,0.56,3143630.0,
2020-05-28,0.56,0.58,0.55,0.57,3331390.0,
2020-05-29,0.58,0.58,0.56,0.58,1217620.0,
2020-06-01,0.58,0.58,0.54,0.55,2147330.0,
2020-06-02,0.55,0.56,0.54,0.55,882640.0,
2020-06-03,0.55,0.57,0.54,0.57,932620.0,
2020-06-04,0.57,0.58,0.56,0.58,802580.0,
2020-06-05,0.58,0.62,0.58,0.62,2226410.0,
2020-06-08,0.64,0.65,0.61,0.63,2173020.0,
2020-06-09,0.62,0.63,0.6,0.62,2725550.0,
2020-06-10,0.62,0.62,0.6,0.61,1338670.0,
2020-06-11,0.6,0.61,0.58,0.61,663620.0,
2020-06-15,0.6,0.6,0.58,0.58,687980.0,
2020-06-16,0.59,0.6,0.59,0.6,292500.0,
2020-06-17,0.59,0.59,0.55,0.58,1640040.0,
2020-06-18,0.57,0.57,0.55,0.56,1686460.0,
2020-06-19,0.56,0.57,0.54,0.57,758740.0,
