dt,open,high,low,close,value,volume
2020-03-02,49.5,50.0,49.5,50.0,1698275.0,
2020-03-03,51.0,51.0,50.0,51.0,66275.5,
2020-03-04,,,,,,
2020-03-05,51.0,51.0,51.0,51.0,1020.0,
2020-03-06,50.95,50.95,50.95,50.95,509.5,
2020-03-09,49.75,49.9,43.15,49.9,844936.5,
2020-03-10,46.05,46.05,46.05,46.05,13815.0,
2020-03-11,48.5,48.5,48.0,48.0,9650.0,
2020-03-12,43.65,44.0,43.65,44.0,48365.0,
2020-03-13,43.5,48.0,41.8,48.0,863455.0,
2020-03-16,41.85,44.0,40.0,43.8,220450.0,
2020-03-19,40.05,43.5,40.05,43.5,436280.0,
2020-03-20,41.75,44.0,41.75,44.0,117225.0,
2020-03-23,41.75,43.95,40.0,40.0,244305.0,
2020-03-24,43.5,43.5,40.0,43.0,399365.0,
2020-03-25,43.0,44.0,43.0,44.0,235550.0,
2020-03-26,,,,,,
2020-03-27,44.0,44.5,44.0,44.5,190750.0,
2020-03-30,44.65,44.65,44.5,44.5,17830.0,
2020-03-31,44.45,44.9,44.45,44.9,120545.0,
2020-04-01,44.95,45.5,44.5,45.5,337900.0,
2020-04-02,45.0,45.5,45.0,45.5,230050.0,
2020-04-03,46.0,46.0,45.8,46.0,252800.0,
2020-04-06,46.0,47.0,44.05,47.0,1203530.0,
2020-04-07,47.5,47.5,47.4,47.5,246850.0,
2020-04-08,47.0,47.0,47.0,47.0,470000.0,
2020-04-13,47.7,47.7,47.7,47.7,4770.0,
2020-04-14,47.8,48.0,47.7,48.0,296560.0,
2020-04-15,49.0,49.0,49.0,49.0,161700.0,
2020-04-16,48.5,48.5,48.5,48.5,150350.0,
2020-04-17,48.8,48.9,48.5,48.9,583900.0,
2020-04-20,48.9,48.9,48.5,48.5,72915.0,
2020-04-21,48.7,48.7,47.0,48.5,76030.0,
2020-04-22,45.25,48.3,45.0,48.3,585720.0,
2020-04-23,48.2,48.7,48.1,48.7,188860.0,
2020-04-24,48.5,48.5,48.0,48.0,63000.0,
2020-04-27,48.0,48.0,48.0,48.0,336000.0,
2020-04-28,48.0,48.3,47.5,48.0,248650.0,
2020-04-29,48.5,48.5,48.5,48.5,242500.0,
2020-04-30,48.7,48.7,48.7,48.7,97400.0,
2020-05-04,45.55,47.5,45.55,47.5,182800.0,
2020-05-05,48.0,48.25,48.0,48.25,321850.0,
2020-05-06,48.0,48.0,48.0,48.0,244800.0,
2020-05-07,48.25,48.25,48.25,48.25,48250.0,
2020-05-08,48.0,48.0,48.0,48.0,4800.0,
2020-05-11,,,,,,
2020-05-12,48.2,48.2,48.2,48.2,115680.0,
2020-05-13,47.9,48.0,47.9,48.0,119900.0,
2020-05-14,48.0,48.0,48.0,48.0,14400.0,
2020-05-15,48.0,48.0,48.0,48.0,96000.0,
2020-05-18,,,,,,
2020-05-19,48.0,48.25,48.0,48.25,530040.0,
2020-05-20,48.0,48.0,48.0,48.0,240000.0,
2020-05-21,48.25,48.25,48.25,48.25,120625.0,
2020-05-22,,,,,,
2020-05-26,47.0,47.9,47.0,47.9,282900.0,
2020-05-27,48.0,48.0,48.0,48.0,288000.0,
2020-05-28,45.6,47.85,44.0,47.0,1426700.0,
2020-05-29,45.55,47.5,45.2,47.45,877020.0,
2020-06-01,45.7,47.3,45.7,47.0,385740.0,
2020-06-02,46.05,46.05,45.5,45.5,96600.0,
2020-06-03,45.5,47.0,45.3,47.0,508575.0,
2020-06-04,45.65,47.0,45.65,47.0,577655.0,
2020-06-05,47.0,47.0,46.0,46.0,41800.0,
2020-06-08,46.0,47.0,46.0,47.0,396600.0,
2020-06-09,46.2,47.4,46.2,47.4,390380.0,
2020-06-10,46.5,47.5,46.5,47.5,121500.0,
2020-06-11,47.5,47.5,45.9,45.9,110890.0,
2020-06-15,46.0,46.0,45.9,45.9,50590.0,
2020-06-16,47.0,47.0,46.0,46.0,295400.0,
2020-06-17,47.0,47.15,46.65,46.65,3740930.0,
2020-06-18,47.0,47.0,46.7,47.0,444580.0,
2020-06-19,47.4,47.4,45.65,47.0,615530.0,
2020-06-22,45.65,46.95,45.65,46.95,382480.0,
2020-06-23,45.65,47.1,45.65,47.1,196840.0,
2020-06-24,47.0,47.0,47.0,47.0,14100.0,
2020-06-25,46.0,46.9,46.0,46.9,660200.0,
2020-06-26,46.9,47.0,46.5,47.0,398160.0,
2020-06-29,47.0,47.0,47.0,47.0,122200.0,
2020-06-30,47.4,47.4,46.0,47.4,432940.0,
2020-07-01,47.85,47.85,46.0,47.5,4326335.0,
2020-07-02,,,,,,
2020-07-03,47.85,47.85,46.0,46.0,368910.0,
2020-07-06,46.75,46.75,46.05,46.05,277200.0,
2020-07-07,47.0,47.0,46.0,47.0,735190.0,
2020-07-08,46.55,47.0,46.05,46.05,166825.0,
2020-07-09,46.9,46.9,46.8,46.8,65560.0,
2020-07-10,43.1,46.75,43.1,46.75,528315.0,
2020-07-13,44.7,45.05,44.7,45.0,171065.0,
2020-07-14,46.8,46.8,46.0,46.3,392550.0,
2020-07-15,45.0,46.5,44.15,46.5,583695.0,
2020-07-16,46.7,46.7,46.0,46.7,176560.0,
2020-07-17,46.0,46.5,46.0,46.5,401450.0,
2020-07-20,46.7,46.7,46.6,46.6,125840.0,
2020-07-21,44.55,46.05,44.55,46.05,1173050.0,
2020-07-22,44.1,46.45,44.1,46.45,2114310.0,
2020-07-23,44.85,45.4,44.85,45.4,1387245.0,
2020-07-24,46.0,46.0,45.5,45.5,2043850.0,
2020-07-27,44.55,45.5,44.55,45.5,592115.0,
2020-07-28,45.0,45.5,45.0,45.5,472985.0,
2020-07-29,45.05,46.0,45.05,46.0,178095.0,
2020-07-30,46.2,46.2,46.2,46.2,46200.0,
2020-08-03,45.5,46.0,45.0,45.9,145100.0,
2020-08-04,,,,45.95,,7700.0
2020-08-05,,,,46.15,,2200.0
2020-08-06,,,,46.65,,6000.0
2020-08-07,,,,46.65,,6000.0
2020-08-10,,,,45.05,,5300.0
2020-08-11,,,,46.0,,4700.0
2020-08-12,,,,45.05,,1624400.0
2020-08-13,,,,45.95,,13500.0
2020-08-14,,,,45.8,,1000.0
2020-08-17,,,,45.7,,6100.0
2020-08-18,,,,45.0,,8500.0
2020-08-19,,,,45.05,,12500.0
2020-08-20,,,,45.0,,356700.0
2020-08-24,,,,45.0,,5200.0
2020-08-25,,,,45.0,,2000.0
2020-08-26,,,,45.0,,5600.0
2020-08-27,,,,45.45,,1100.0
2020-08-28,,,,45.5,,2500.0
2020-09-01,,,,46.0,,1400.0
2020-09-02,,,,46.0,,1000.0
2020-09-03,,,,46.0,,1000.0
2020-09-04,,,,45.0,,1200.0
2020-09-07,,,,46.0,,1400.0
2020-09-08,,,,46.25,,2600.0
2020-09-09,,,,46.0,,3100.0
2020-09-10,,,,46.3,,2400.0
2020-09-11,,,,45.0,,17900.0
2020-09-14,,,,45.25,,6700.0
2020-09-15,,,,45.0,,14700.0
2020-09-16,,,,45.05,,2700.0
2020-09-17,,,,45.05,,300.0
2020-09-18,,,,45.25,,2400.0
2020-09-21,,,,45.25,,1800.0
2020-09-22,,,,44.3,,700.0
2020-09-23,,,,45.0,,3800.0
2020-09-24,,,,44.5,,9400.0
2020-09-25,,,,45.1,,300.0
2020-09-28,,,,44.2,,1700.0
