dt,open,high,low,close,value,volume
2020-03-02,2.65,2.65,2.34,2.42,20157720.0,
2020-03-03,2.48,2.54,2.44,2.44,6188730.0,
2020-03-04,2.44,2.48,2.31,2.32,8396980.0,
2020-03-05,2.38,2.41,2.3,2.4,6485880.0,
2020-03-06,2.39,2.42,2.32,2.34,3288830.0,
2020-03-09,2.27,2.27,1.92,1.94,10364760.0,
2020-03-10,1.94,2.13,1.8,2.13,7524130.0,
2020-03-11,2.15,2.26,2.14,2.25,6713550.0,
2020-03-12,2.26,2.3,2.0,2.05,9193940.0,
2020-03-13,1.97,2.04,1.85,2.02,5685720.0,
2020-03-16,2.0,2.0,1.81,1.9,2516860.0,
2020-03-19,1.91,1.95,1.75,1.9,2440300.0,
2020-03-20,1.9,1.98,1.9,1.95,843680.0,
2020-03-23,1.94,1.94,1.88,1.89,1232270.0,
2020-03-24,1.93,1.98,1.89,1.93,1140880.0,
2020-03-25,1.95,2.04,1.95,2.04,1748610.0,
2020-03-26,2.05,2.15,2.05,2.11,1758450.0,
2020-03-27,2.13,2.24,2.0,2.03,2789560.0,
2020-03-30,2.0,2.08,1.94,2.08,1859400.0,
2020-03-31,2.11,2.19,2.11,2.19,2611350.0,
2020-04-01,2.19,2.4,2.13,2.29,4074200.0,
2020-04-02,2.29,2.4,2.23,2.4,3147860.0,
2020-04-03,2.45,2.5,2.4,2.5,5574760.0,
2020-04-06,2.55,2.64,2.51,2.51,9682900.0,
2020-04-07,2.55,2.64,2.51,2.53,6684890.0,
2020-04-08,2.53,2.63,2.49,2.58,4091080.0,
2020-04-13,2.56,2.62,2.5,2.51,2329520.0,
2020-04-14,2.51,2.57,2.5,2.5,3008220.0,
2020-04-15,2.51,2.58,2.49,2.5,4690260.0,
2020-04-16,2.5,2.5,2.45,2.47,4796180.0,
2020-04-17,2.46,2.52,2.45,2.52,4214710.0,
2020-04-20,2.55,2.76,2.54,2.64,13219530.0,
2020-04-21,2.66,2.74,2.59,2.6,81912160.0,
2020-04-22,2.63,2.88,2.61,2.65,20604340.0,
2020-04-23,2.67,2.75,2.61,2.61,10553400.0,
2020-04-24,2.61,2.72,2.6,2.67,5222020.0,
2020-04-27,2.9,3.04,2.82,2.92,29657240.0,
2020-04-28,2.92,3.05,2.89,3.0,14912710.0,
2020-04-29,3.04,3.08,2.95,3.0,10706920.0,
2020-04-30,3.02,3.06,2.93,2.96,5070540.0,
2020-05-04,2.94,3.04,2.83,3.02,9699340.0,
2020-05-05,3.04,3.12,2.99,3.05,15328770.0,
2020-05-06,3.03,3.03,2.89,2.95,6445670.0,
2020-05-07,2.95,3.0,2.82,2.82,5573630.0,
2020-05-08,2.84,2.89,2.79,2.87,4406210.0,
2020-05-11,2.88,2.97,2.86,2.95,2616540.0,
2020-05-12,2.94,2.94,2.87,2.87,2149910.0,
2020-05-13,2.9,2.93,2.9,2.91,3401760.0,
2020-05-14,2.9,2.93,2.84,2.91,2368550.0,
2020-05-15,2.92,2.93,2.9,2.9,839530.0,
2020-05-18,2.94,2.94,2.68,2.7,4306910.0,
2020-05-19,2.7,2.75,2.66,2.72,2491410.0,
2020-05-20,2.72,2.78,2.71,2.75,780950.0,
2020-05-21,2.77,2.77,2.69,2.7,671590.0,
2020-05-22,2.69,2.75,2.69,2.75,2568920.0,
2020-05-26,2.75,2.76,2.54,2.57,2379740.0,
2020-05-27,2.57,2.62,2.57,2.59,511940.0,
2020-05-28,2.58,2.58,2.56,2.58,555170.0,
2020-05-29,2.58,2.58,2.54,2.54,1685920.0,
2020-06-01,2.54,2.58,2.5,2.56,2831570.0,
2020-06-02,2.55,2.7,2.55,2.65,2795470.0,
2020-06-03,2.7,2.74,2.66,2.74,2317000.0,
2020-06-04,2.8,2.9,2.76,2.8,3440140.0,
2020-06-05,2.82,2.87,2.8,2.83,2109680.0,
2020-06-08,2.83,2.9,2.83,2.9,5368620.0,
2020-06-09,2.9,2.9,2.77,2.86,3757410.0,
2020-06-10,2.84,2.86,2.73,2.73,3436140.0,
2020-06-11,2.73,2.79,2.65,2.77,3564640.0,
2020-06-15,2.76,2.76,2.56,2.63,2326150.0,
2020-06-16,2.63,2.7,2.57,2.68,2587840.0,
2020-06-17,2.68,2.68,2.63,2.67,2442660.0,
2020-06-18,2.64,2.65,2.55,2.61,75641060.0,
2020-06-19,2.6,2.77,2.58,2.75,4211040.0,
2020-06-22,2.78,2.85,2.67,2.7,4872620.0,
2020-06-23,2.73,2.73,2.59,2.63,3179940.0,
2020-06-24,2.63,2.65,2.59,2.6,2232700.0,
2020-06-25,2.6,2.64,2.59,2.59,1950060.0,
2020-06-26,2.6,2.66,2.58,2.65,2057990.0,
2020-06-29,2.59,2.59,2.5,2.54,3302320.0,
2020-06-30,2.58,2.63,2.57,2.58,1258390.0,
2020-07-01,2.58,2.59,2.53,2.53,687700.0,
2020-07-02,2.53,2.58,2.53,2.55,705860.0,
2020-07-03,2.55,2.59,2.55,2.57,627590.0,
2020-07-06,2.59,2.59,2.54,2.54,1615100.0,
2020-07-07,2.58,2.58,2.55,2.56,1454360.0,
2020-07-08,2.56,2.56,2.5,2.51,2454600.0,
2020-07-09,2.51,2.55,2.4,2.4,4994810.0,
2020-07-10,2.36,2.45,2.36,2.4,1360570.0,
2020-07-13,2.37,2.48,2.35,2.48,1150080.0,
2020-07-14,2.52,2.54,2.46,2.46,1599690.0,
2020-07-15,2.44,2.44,2.3,2.35,2558280.0,
2020-07-16,2.35,2.35,2.2,2.29,2286440.0,
2020-07-17,2.33,2.33,2.28,2.28,519210.0,
2020-07-20,2.32,2.32,2.26,2.28,1188450.0,
2020-07-21,2.32,2.32,2.18,2.23,3099770.0,
2020-07-22,2.23,2.24,2.18,2.2,4310750.0,
2020-07-23,2.24,2.24,2.02,2.15,6367470.0,
2020-07-24,2.2,2.2,2.05,2.05,2209040.0,
2020-07-27,2.05,2.05,1.88,1.88,6317230.0,
2020-07-28,1.96,2.0,1.89,1.89,20045510.0,
2020-07-29,1.93,2.07,1.85,2.06,9088120.0,
2020-07-30,2.1,2.1,1.99,2.07,6989020.0,
2020-08-03,1.93,1.97,1.85,1.91,6619710.0,
2020-08-04,,,,2.05,,4121000.0
2020-08-05,,,,2.15,,11852000.0
2020-08-06,,,,2.13,,13676000.0
2020-08-07,,,,2.17,,20986000.0
2020-08-10,,,,2.34,,23083000.0
2020-08-11,,,,2.4,,16374000.0
2020-08-12,,,,2.35,,1123000.0
2020-08-13,,,,2.37,,608000.0
2020-08-14,,,,2.35,,1601000.0
2020-08-17,,,,2.38,,1681000.0
2020-08-18,,,,2.36,,373000.0
2020-08-19,,,,2.48,,211040000.0
2020-08-20,,,,2.42,,2090000.0
2020-08-24,,,,2.37,,1627000.0
2020-08-25,,,,2.36,,1790000.0
2020-08-26,,,,2.37,,1094000.0
2020-08-27,,,,2.45,,4639000.0
2020-08-28,,,,2.49,,19564000.0
2020-09-01,,,,2.45,,11468000.0
2020-09-02,,,,2.39,,17725000.0
2020-09-03,,,,2.56,,13548000.0
2020-09-04,,,,2.51,,1482000.0
2020-09-07,,,,2.44,,11007000.0
2020-09-08,,,,2.38,,19905000.0
2020-09-09,,,,2.32,,1643000.0
2020-09-10,,,,2.34,,406000.0
2020-09-11,,,,2.38,,489000.0
2020-09-14,,,,2.41,,1142000.0
2020-09-15,,,,2.35,,3614000.0
2020-09-16,,,,2.43,,21691000.0
2020-09-17,,,,2.43,,656000.0
2020-09-18,,,,2.57,,3864000.0
2020-09-21,,,,2.46,,1861000.0
2020-09-22,,,,2.54,,2654000.0
2020-09-23,,,,2.54,,1635000.0
2020-09-24,,,,2.55,,826000.0
2020-09-25,,,,2.67,,4041000.0
2020-09-28,,,,2.71,,3115000.0
