dt,open,high,low,close,value,volume
2020-03-02,1.15,1.15,1.15,1.15,33350.0,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,1.15,1.15,1.15,1.15,115000.0,
2020-03-06,,,,,,
2020-03-09,1.17,1.17,1.17,1.17,58500.0,
2020-03-10,1.14,1.17,1.14,1.17,195900.0,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,0.96,0.96,0.96,0.96,4800.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,1.05,1.05,1.05,1.05,7350.0,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.78,0.78,0.78,0.78,14040.0,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,0.78,0.78,0.78,0.78,3900.0,
2020-04-14,1.1,1.17,1.0,1.14,68440.0,
2020-04-15,1.16,1.16,1.14,1.14,75260.0,
2020-04-16,1.16,1.16,1.16,1.16,1160.0,
2020-04-17,1.15,1.15,1.15,1.15,1150.0,
2020-04-20,0.95,1.12,0.95,1.1,52610.0,
2020-04-21,,,,,,
2020-04-22,0.95,0.95,0.95,0.95,950.0,
2020-04-23,,,,,,
2020-04-24,1.03,1.03,1.03,1.03,10300.0,
2020-04-27,1.1,1.1,1.1,1.1,1100.0,
2020-04-28,,,,,,
2020-04-29,1.02,1.1,1.02,1.1,3140.0,
2020-04-30,1.02,1.02,1.02,1.02,40800.0,
2020-05-04,0.98,0.98,0.98,0.98,4900.0,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,0.98,0.98,0.91,0.98,12530.0,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,0.7,0.7,0.7,0.7,7000.0,
2020-05-15,0.96,1.05,0.96,1.05,21430.0,
2020-05-18,1.05,1.05,1.05,1.05,5250.0,
2020-05-19,1.14,1.14,1.12,1.12,9040.0,
2020-05-20,1.12,1.12,1.12,1.12,1120.0,
2020-05-21,1.14,1.14,1.12,1.12,2260.0,
2020-05-22,1.12,1.12,1.12,1.12,1120.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,1.12,1.12,1.12,1.12,8960.0,
2020-05-29,1.09,1.24,0.92,1.24,105950.0,
2020-06-01,1.23,1.23,1.23,1.23,61500.0,
2020-06-02,,,,,,
2020-06-03,1.22,1.46,1.19,1.41,666200.0,
2020-06-04,1.4,1.44,1.22,1.44,172360.0,
2020-06-05,1.42,1.46,1.42,1.45,208710.0,
2020-06-08,1.26,1.4,1.26,1.4,10500.0,
2020-06-09,1.37,1.44,1.37,1.4,42650.0,
2020-06-10,,,,,,
2020-06-11,1.27,1.4,1.1,1.18,810610.0,
2020-06-15,1.18,1.19,1.05,1.05,29330.0,
2020-06-16,1.16,1.21,1.16,1.16,276280.0,
2020-06-17,1.2,1.21,1.2,1.2,96380.0,
2020-06-18,,,,,,
2020-06-19,1.16,1.16,1.16,1.16,25520.0,
2020-06-22,1.16,1.2,1.16,1.16,24400.0,
2020-06-23,,,,,,
2020-06-24,1.16,1.17,1.01,1.01,27190.0,
2020-06-25,1.03,1.03,1.03,1.03,1030.0,
2020-06-26,1.03,1.03,1.03,1.03,3090.0,
2020-06-29,1.03,1.12,1.01,1.12,11250.0,
2020-06-30,1.18,1.18,1.18,1.18,20060.0,
2020-07-01,1.12,1.18,1.09,1.18,76290.0,
2020-07-02,1.19,1.19,1.19,1.19,1190.0,
2020-07-03,1.19,1.57,1.19,1.4,1632230.0,
2020-07-06,1.4,1.4,1.31,1.34,299390.0,
2020-07-07,1.35,1.58,1.35,1.45,532370.0,
2020-07-08,1.57,2.05,1.57,1.88,5292320.0,
2020-07-09,1.88,2.26,1.88,2.05,5704250.0,
2020-07-10,2.06,2.1,1.75,1.84,2030980.0,
2020-07-13,1.75,1.79,1.52,1.6,901830.0,
2020-07-14,1.72,1.72,1.54,1.63,506560.0,
2020-07-15,1.62,1.62,1.5,1.52,397120.0,
2020-07-16,1.52,1.57,1.5,1.56,85190.0,
2020-07-17,1.53,1.56,1.48,1.54,256090.0,
2020-07-20,1.47,1.59,1.46,1.55,165970.0,
2020-07-21,1.58,1.88,1.56,1.72,802960.0,
2020-07-22,1.87,1.98,1.75,1.88,1701220.0,
2020-07-23,1.9,1.98,1.81,1.89,379130.0,
2020-07-24,1.93,2.05,1.89,1.97,1208020.0,
2020-07-27,2.05,2.05,1.84,1.97,1022040.0,
2020-07-28,2.0,2.0,1.91,1.98,539400.0,
2020-07-29,2.04,2.04,1.8,1.97,236290.0,
2020-07-30,1.95,2.0,1.85,1.99,213310.0,
2020-08-03,2.0,2.0,1.82,1.97,68610.0,
2020-08-04,,,,1.99,,25000.0
2020-08-05,,,,2.21,,1436000.0
2020-08-06,,,,2.1,,549000.0
2020-08-07,,,,2.2,,159000.0
2020-08-10,,,,2.3,,285000.0
2020-08-11,,,,2.27,,81000.0
2020-08-12,,,,2.09,,282000.0
2020-08-13,,,,2.1,,34000.0
2020-08-14,,,,2.1,,22000.0
2020-08-17,,,,1.95,,129000.0
2020-08-18,,,,2.17,,184000.0
2020-08-19,,,,2.2,,159000.0
2020-08-20,,,,2.26,,290000.0
2020-08-24,,,,2.34,,413000.0
2020-08-25,,,,2.49,,659000.0
2020-08-26,,,,2.78,,1201000.0
2020-08-27,,,,2.9,,698000.0
2020-08-28,,,,2.7,,471000.0
2020-09-01,,,,2.83,,307000.0
2020-09-02,,,,2.88,,487000.0
2020-09-03,,,,2.89,,226000.0
