dt,open,high,low,close,value,volume
2020-03-02,2.49,2.5,2.48,2.5,478340.0,
2020-03-03,2.52,2.52,2.48,2.48,350140.0,
2020-03-04,2.48,2.48,2.44,2.44,289160.0,
2020-03-05,2.45,2.5,2.44,2.47,177830.0,
2020-03-06,2.47,2.47,2.45,2.46,95760.0,
2020-03-09,2.45,2.45,2.21,2.3,493570.0,
2020-03-10,2.21,2.21,2.0,2.19,561090.0,
2020-03-11,2.2,2.38,2.2,2.2,73910.0,
2020-03-12,2.2,2.4,1.99,2.29,450500.0,
2020-03-13,1.8,2.35,1.5,2.2,154070.0,
2020-03-16,,,,,,
2020-03-19,2.1,2.2,1.9,2.1,147790.0,
2020-03-20,1.9,2.1,1.9,2.1,85700.0,
2020-03-23,1.8,2.0,1.8,2.0,107400.0,
2020-03-24,2.08,2.08,2.07,2.07,10360.0,
2020-03-25,2.04,2.1,2.04,2.1,55560.0,
2020-03-26,2.1,2.33,2.07,2.3,108840.0,
2020-03-27,2.3,2.3,2.1,2.3,136600.0,
2020-03-30,2.0,2.28,2.0,2.28,31160.0,
2020-03-31,2.1,2.28,2.1,2.28,4380.0,
2020-04-01,2.2,2.28,2.2,2.28,8880.0,
2020-04-02,2.06,2.2,2.02,2.14,339640.0,
2020-04-03,2.14,2.28,2.1,2.25,95340.0,
2020-04-06,2.1,2.28,2.1,2.27,66200.0,
2020-04-07,2.24,2.24,2.1,2.24,138040.0,
2020-04-08,2.11,2.29,2.1,2.26,450420.0,
2020-04-13,2.29,2.48,2.29,2.41,238180.0,
2020-04-14,2.4,2.45,2.25,2.35,300980.0,
2020-04-15,2.4,2.4,2.19,2.35,75680.0,
2020-04-16,2.19,2.39,2.19,2.39,176610.0,
2020-04-17,2.21,2.37,2.21,2.37,16210.0,
2020-04-20,2.21,2.38,2.21,2.37,108960.0,
2020-04-21,2.14,2.36,2.14,2.36,13720.0,
2020-04-22,2.37,2.37,2.15,2.3,85790.0,
2020-04-23,2.25,2.25,2.15,2.25,450650.0,
2020-04-24,2.27,2.6,2.27,2.49,2827990.0,
2020-04-27,2.65,2.79,2.43,2.5,3863670.0,
2020-04-28,2.59,2.59,2.3,2.32,1978040.0,
2020-04-29,2.35,2.42,2.31,2.35,352000.0,
2020-04-30,2.41,2.42,2.32,2.32,851910.0,
2020-05-04,2.36,2.58,2.36,2.4,1936790.0,
2020-05-05,2.49,2.49,2.31,2.35,554420.0,
2020-05-06,2.3,2.4,2.18,2.21,1131090.0,
2020-05-07,2.21,2.21,2.12,2.16,487070.0,
2020-05-08,2.16,2.27,2.16,2.2,163430.0,
2020-05-11,2.19,2.19,2.1,2.15,795630.0,
2020-05-12,2.16,2.16,2.15,2.16,94880.0,
2020-05-13,2.16,2.17,2.15,2.17,99510.0,
2020-05-14,2.12,2.18,2.05,2.05,200990.0,
2020-05-15,2.05,2.18,2.05,2.15,144970.0,
2020-05-18,2.06,2.14,2.05,2.12,106900.0,
2020-05-19,2.14,2.14,2.03,2.1,48290.0,
2020-05-20,2.04,2.09,2.0,2.08,274840.0,
2020-05-21,2.07,2.08,2.02,2.07,78360.0,
2020-05-22,2.07,2.1,2.05,2.09,148720.0,
2020-05-26,2.05,2.09,2.0,2.05,422180.0,
2020-05-27,2.0,2.07,2.0,2.07,200920.0,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,2.02,2.07,2.02,2.07,197200.0,
2020-06-02,2.04,2.07,2.04,2.07,55230.0,
2020-06-03,2.02,2.17,2.02,2.16,436080.0,
2020-06-04,2.09,2.16,2.07,2.16,165870.0,
2020-06-05,2.17,2.17,2.14,2.17,73550.0,
2020-06-08,2.18,2.37,2.18,2.33,1391100.0,
2020-06-09,2.32,2.37,2.3,2.33,315130.0,
2020-06-10,2.33,2.36,2.25,2.27,233920.0,
2020-06-11,2.19,2.27,2.17,2.25,235280.0,
2020-06-15,2.16,2.24,2.08,2.23,269220.0,
2020-06-16,2.11,2.24,2.11,2.21,122180.0,
2020-06-17,2.11,2.2,2.11,2.19,73330.0,
2020-06-18,2.1,2.19,2.07,2.18,103000.0,
2020-06-19,2.08,2.18,2.08,2.16,403150.0,
2020-06-22,2.16,2.16,2.08,2.12,226310.0,
2020-06-23,2.12,2.14,2.05,2.14,413300.0,
2020-06-24,2.08,2.16,2.08,2.08,161810.0,
2020-06-25,2.07,2.1,2.06,2.1,68650.0,
2020-06-26,2.1,2.15,2.07,2.13,120840.0,
2020-06-29,2.07,2.23,2.07,2.2,603460.0,
2020-06-30,2.24,2.25,2.08,2.2,502220.0,
2020-07-01,2.14,2.23,2.11,2.2,151700.0,
2020-07-02,2.12,2.22,2.1,2.2,125900.0,
2020-07-03,2.12,2.2,2.11,2.19,207690.0,
2020-07-06,2.1,2.18,2.1,2.16,143470.0,
2020-07-07,2.1,2.16,2.1,2.16,19110.0,
2020-07-08,2.13,2.16,2.13,2.15,42670.0,
2020-07-09,2.11,2.15,2.1,2.14,160620.0,
2020-07-10,2.1,2.19,2.1,2.17,320820.0,
2020-07-13,2.15,2.17,2.1,2.13,185950.0,
2020-07-14,2.09,2.2,2.09,2.19,552660.0,
2020-07-15,2.18,2.18,2.14,2.18,19420.0,
2020-07-16,,,,,,
2020-07-17,2.19,2.25,2.19,2.24,605530.0,
2020-07-20,2.24,2.24,2.15,2.21,200650.0,
2020-07-21,2.12,2.2,2.12,2.2,38600.0,
2020-07-22,2.12,2.2,2.12,2.19,109590.0,
2020-07-23,2.19,2.24,2.13,2.2,425170.0,
2020-07-24,2.15,2.19,2.13,2.18,40810.0,
2020-07-27,2.13,2.19,2.13,2.18,120080.0,
2020-07-28,2.14,2.19,2.11,2.18,248500.0,
2020-07-29,2.12,2.18,2.12,2.17,61990.0,
2020-07-30,2.11,2.18,2.11,2.17,27790.0,
2020-08-03,2.17,2.18,2.1,2.18,101800.0,
2020-08-04,,,,2.18,,15000.0
2020-08-05,,,,2.16,,141000.0
2020-08-06,,,,2.17,,12000.0
2020-08-07,,,,2.16,,32000.0
2020-08-10,,,,2.16,,30000.0
2020-08-11,,,,2.17,,34000.0
2020-08-12,,,,2.17,,13000.0
2020-08-13,,,,2.16,,46000.0
2020-08-14,,,,2.16,,43000.0
2020-08-17,,,,2.17,,84000.0
2020-08-18,,,,2.17,,32000.0
2020-08-19,,,,2.17,,12000.0
2020-08-20,,,,2.17,,3000.0
2020-08-24,,,,2.17,,2000.0
2020-08-25,,,,2.33,,548000.0
2020-08-26,,,,2.31,,410000.0
2020-08-27,,,,2.25,,213000.0
2020-08-28,,,,2.24,,20000.0
2020-09-01,,,,2.24,,31000.0
2020-09-02,,,,2.23,,167000.0
2020-09-03,,,,2.44,,764000.0
2020-09-04,,,,2.4,,167000.0
2020-09-07,,,,2.62,,1229000.0
2020-09-08,,,,2.6,,512000.0
2020-09-09,,,,2.62,,473000.0
2020-09-10,,,,2.95,,2120000.0
2020-09-11,,,,2.93,,1427000.0
2020-09-14,,,,3.33,,2944000.0
2020-09-15,,,,3.3,,4359000.0
2020-09-16,,,,3.2,,2700000.0
2020-09-17,,,,3.37,,1715000.0
2020-09-18,,,,3.35,,1474000.0
2020-09-21,,,,3.12,,2333000.0
2020-09-22,,,,3.2,,2001000.0
2020-09-23,,,,3.07,,957000.0
2020-09-24,,,,2.96,,1997000.0
2020-09-25,,,,3.0,,1639000.0
2020-09-28,,,,2.9,,875000.0
