dt,open,high,low,close,value,volume
2020-03-02,138.0,138.4,132.1,132.1,592639803.0,
2020-03-03,137.0,138.1,136.1,137.2,319861699.0,
2020-03-04,136.7,137.9,135.1,136.8,324994874.0,
2020-03-05,137.8,142.2,137.0,141.0,206405159.0,
2020-03-06,140.9,141.5,138.2,141.5,211571470.0,
2020-03-09,136.5,137.7,131.0,131.0,358373263.0,
2020-03-10,126.1,139.0,125.0,139.0,520782744.0,
2020-03-11,139.0,141.8,133.3,136.0,545057653.0,
2020-03-12,132.1,132.1,120.0,120.0,537339057.0,
2020-03-13,112.8,129.6,99.0,127.0,604011766.5,
2020-03-16,117.0,120.0,110.0,110.0,396970118.0,
2020-03-19,92.1,99.8,75.0,85.0,974410349.5,
2020-03-20,91.0,97.0,88.2,97.0,470636099.0,
2020-03-23,90.0,95.3,88.0,94.7,368471799.5,
2020-03-24,94.7,96.0,92.35,94.0,411011062.5,
2020-03-25,98.3,100.5,96.8,100.0,322367856.0,
2020-03-26,101.8,115.7,101.4,115.7,515572562.0,
2020-03-27,110.0,115.7,102.1,102.1,428807807.0,
2020-03-30,102.1,102.3,97.05,99.2,256171382.5,
2020-03-31,103.5,106.0,102.5,103.5,383650219.0,
2020-04-01,103.5,107.2,99.6,105.2,378147144.0,
2020-04-02,100.0,101.8,99.6,100.0,318512053.0,
2020-04-03,101.7,101.7,98.3,99.3,232086617.5,
2020-04-06,100.0,102.6,99.6,102.5,223829474.0,
2020-04-07,105.3,106.0,100.0,101.5,347976610.0,
2020-04-08,101.6,101.8,97.5,98.5,548979329.0,
2020-04-13,100.8,103.5,98.4,98.5,724364321.0,
2020-04-14,100.0,102.5,97.85,102.5,576585845.0,
2020-04-15,103.5,109.0,103.3,108.5,622094094.0,
2020-04-16,107.0,107.0,103.0,103.0,552345642.0,
2020-04-17,106.9,108.3,103.8,105.0,411909575.0,
2020-04-20,105.0,107.0,102.5,102.5,218149811.0,
2020-04-21,102.5,102.5,100.4,100.6,284565074.0,
2020-04-22,100.0,102.0,99.65,100.5,278088657.0,
2020-04-23,101.5,104.9,100.0,100.0,232922096.0,
2020-04-24,101.9,101.9,99.6,100.0,209750110.5,
2020-04-27,100.0,100.1,97.0,97.0,332861505.5,
2020-04-28,97.8,99.9,97.6,98.9,187141119.0,
2020-04-29,98.9,99.5,98.5,98.7,201859496.0,
2020-04-30,100.1,101.0,98.6,101.0,271723034.5,
2020-05-04,100.0,100.7,98.0,98.9,246138284.5,
2020-05-05,99.9,100.7,98.3,98.3,564577390.5,
2020-05-06,99.5,99.5,96.1,96.1,444930258.5,
2020-05-07,96.7,97.75,96.2,97.4,275902871.0,
2020-05-08,98.0,98.75,97.0,97.0,125853801.0,
2020-05-11,98.0,98.45,97.9,98.0,473651212.0,
2020-05-12,98.4,99.95,98.0,98.75,276269508.0,
2020-05-13,99.0,99.0,97.1,99.0,57012273.5,
2020-05-14,98.85,98.85,96.3,96.8,244530285.5,
2020-05-15,97.1,97.85,93.0,93.0,516026961.0,
2020-05-18,93.0,93.0,90.0,90.0,324189449.0,
2020-05-19,92.0,93.95,92.0,93.0,164613127.5,
2020-05-20,93.2,93.75,92.0,93.0,92944927.5,
2020-05-21,93.1,93.2,92.0,92.0,267893253.5,
2020-05-22,92.25,92.4,89.3,89.6,513962809.5,
2020-05-26,89.0,89.4,85.6,85.9,504689927.0,
2020-05-27,86.1,87.5,86.1,87.0,307998406.0,
2020-05-28,87.35,91.0,87.25,90.35,204828696.0,
2020-05-29,92.0,100.4,92.0,100.4,1702089067.5,
2020-06-01,99.0,99.6,96.1,99.0,428729938.5,
2020-06-02,98.5,99.8,97.5,98.0,305656399.0,
2020-06-03,98.25,102.7,98.25,102.4,359900502.0,
2020-06-04,103.1,109.5,103.1,109.0,617360850.0,
