dt,open,high,low,close,value,volume
2020-03-02,1.54,1.57,1.5,1.56,3640870.0,
2020-03-03,1.57,1.6,1.57,1.59,1342440.0,
2020-03-04,1.58,1.6,1.58,1.59,1180770.0,
2020-03-05,1.6,1.61,1.59,1.6,1711360.0,
2020-03-06,1.62,1.62,1.6,1.6,485320.0,
2020-03-09,1.6,1.6,1.53,1.58,5244730.0,
2020-03-10,1.51,1.51,1.38,1.45,1501760.0,
2020-03-11,1.45,1.47,1.43,1.46,206240.0,
2020-03-12,1.42,1.42,1.32,1.33,1240360.0,
2020-03-13,1.32,1.35,1.2,1.34,1253040.0,
2020-03-16,1.25,1.32,1.25,1.29,953470.0,
2020-03-19,1.2,1.25,1.0,1.12,2066280.0,
2020-03-20,1.12,1.2,1.12,1.2,117040.0,
2020-03-23,1.12,1.21,1.03,1.18,196690.0,
2020-03-24,1.18,1.22,1.17,1.21,260250.0,
2020-03-25,1.21,1.31,1.21,1.31,1125910.0,
2020-03-26,1.31,1.31,1.29,1.31,1132240.0,
2020-03-27,1.32,1.34,1.3,1.31,4780880.0,
2020-03-30,1.39,1.39,1.27,1.31,498650.0,
2020-03-31,1.34,1.34,1.3,1.31,1282490.0,
2020-04-01,1.33,1.34,1.3,1.31,331980.0,
2020-04-02,1.3,1.3,1.2,1.3,723330.0,
2020-04-03,1.3,1.33,1.3,1.33,261280.0,
2020-04-06,1.33,1.33,1.32,1.33,176790.0,
2020-04-07,1.33,1.38,1.32,1.33,164650.0,
2020-04-08,1.35,1.35,1.35,1.35,2700.0,
2020-04-13,1.35,1.38,1.35,1.36,296030.0,
2020-04-14,1.37,1.41,1.37,1.41,151770.0,
2020-04-15,1.41,1.44,1.41,1.44,248230.0,
2020-04-16,1.44,1.44,1.37,1.38,184740.0,
2020-04-17,1.39,1.4,1.38,1.38,98300.0,
2020-04-20,1.37,1.37,1.35,1.35,98490.0,
2020-04-21,1.36,1.37,1.35,1.36,154380.0,
2020-04-22,1.33,1.33,1.3,1.31,421950.0,
2020-04-23,1.31,1.34,1.3,1.31,156140.0,
2020-04-24,1.31,1.32,1.31,1.31,95750.0,
2020-04-27,1.34,1.34,1.32,1.32,22700.0,
2020-04-28,1.33,1.34,1.32,1.34,421360.0,
2020-04-29,1.4,1.4,1.37,1.38,398550.0,
2020-04-30,1.35,1.44,1.35,1.37,263940.0,
2020-05-04,1.38,1.4,1.38,1.38,194600.0,
2020-05-05,1.38,1.38,1.36,1.36,233000.0,
2020-05-06,1.36,1.36,1.33,1.35,54960.0,
2020-05-07,1.33,1.35,1.33,1.34,196290.0,
2020-05-08,1.34,1.36,1.32,1.35,111990.0,
2020-05-11,1.32,1.38,1.32,1.36,70060.0,
2020-05-12,1.35,1.37,1.35,1.37,976310.0,
2020-05-13,1.39,1.4,1.35,1.35,276300.0,
2020-05-14,1.38,1.38,1.35,1.35,98810.0,
2020-05-15,1.35,1.4,1.35,1.35,126420.0,
2020-05-18,1.35,1.37,1.33,1.33,375330.0,
2020-05-19,1.35,1.35,1.33,1.33,97310.0,
2020-05-20,1.33,1.35,1.32,1.35,1186670.0,
2020-05-21,1.37,1.38,1.35,1.35,176900.0,
2020-05-22,1.33,1.35,1.32,1.35,47610.0,
2020-05-26,1.35,1.35,1.32,1.35,275880.0,
2020-05-27,1.32,1.36,1.31,1.36,529130.0,
2020-05-28,1.33,1.33,1.31,1.31,112000.0,
2020-05-29,1.35,1.38,1.32,1.35,793700.0,
2020-06-01,1.33,1.37,1.33,1.37,98900.0,
2020-06-02,1.39,1.39,1.38,1.39,105590.0,
2020-06-03,1.4,1.42,1.39,1.42,99040.0,
2020-06-04,1.39,1.42,1.39,1.4,305360.0,
2020-06-05,1.4,1.46,1.4,1.45,604190.0,
2020-06-08,1.47,1.48,1.45,1.48,1064560.0,
2020-06-09,1.48,1.49,1.44,1.44,643770.0,
2020-06-10,1.44,1.45,1.43,1.44,295270.0,
2020-06-11,1.43,1.47,1.4,1.44,410280.0,
2020-06-15,1.42,1.42,1.4,1.42,270140.0,
2020-06-16,1.43,1.47,1.41,1.41,834460.0,
2020-06-17,1.41,1.45,1.41,1.42,241570.0,
2020-06-18,1.4,1.42,1.4,1.4,98530.0,
2020-06-19,1.4,1.42,1.4,1.42,578580.0,
2020-06-22,1.42,1.42,1.41,1.41,1038530.0,
2020-06-23,1.41,1.43,1.41,1.43,9890.0,
2020-06-24,1.42,1.42,1.41,1.42,355880.0,
2020-06-25,1.42,1.45,1.41,1.45,2723420.0,
2020-06-26,1.45,1.47,1.43,1.43,219620.0,
2020-06-29,1.42,1.42,1.4,1.41,715210.0,
2020-06-30,1.42,1.42,1.41,1.41,194680.0,
2020-07-01,1.42,1.42,1.39,1.42,12392560.0,
2020-07-02,1.39,1.45,1.39,1.45,87940.0,
2020-07-03,1.44,1.44,1.43,1.43,136190.0,
2020-07-06,1.43,1.43,1.4,1.41,175550.0,
2020-07-07,1.41,1.46,1.41,1.42,184510.0,
2020-07-08,1.42,1.42,1.41,1.41,575590.0,
2020-07-09,1.42,1.43,1.42,1.43,17100.0,
2020-07-10,1.43,1.46,1.41,1.46,685710.0,
2020-07-13,1.41,1.45,1.41,1.45,111240.0,
2020-07-14,1.42,1.42,1.39,1.4,453550.0,
2020-07-15,1.38,1.42,1.35,1.39,768980.0,
2020-07-16,1.38,1.38,1.35,1.37,236070.0,
2020-07-17,1.36,1.38,1.36,1.37,105530.0,
2020-07-20,1.37,1.39,1.37,1.37,198330.0,
2020-07-21,1.37,1.37,1.37,1.37,1370.0,
2020-07-22,1.37,1.43,1.35,1.36,122400.0,
2020-07-23,1.36,1.37,1.35,1.35,3489480.0,
2020-07-24,1.35,1.36,1.35,1.36,115090.0,
2020-07-27,1.36,1.36,1.34,1.34,272980.0,
2020-07-28,1.34,1.37,1.34,1.37,9440.0,
2020-07-29,1.37,1.37,1.37,1.37,8220.0,
2020-07-30,1.34,1.37,1.34,1.37,29990.0,
2020-08-03,1.35,1.38,1.35,1.35,87980.0,
2020-08-04,,,,1.34,,41000.0
2020-08-05,,,,1.36,,11000.0
2020-08-06,,,,1.37,,64000.0
2020-08-07,,,,1.37,,34000.0
2020-08-10,,,,1.39,,114000.0
2020-08-11,,,,1.39,,8000.0
2020-08-12,,,,1.37,,77000.0
2020-08-13,,,,1.37,,56000.0
2020-08-14,,,,1.34,,133000.0
2020-08-17,,,,1.34,,1000.0
2020-08-18,,,,1.38,,73000.0
2020-08-19,,,,1.35,,126000.0
2020-08-20,,,,1.34,,45000.0
2020-08-24,,,,1.37,,304000.0
2020-08-25,,,,1.34,,79000.0
2020-08-26,,,,1.34,,415000.0
2020-08-27,,,,1.33,,193000.0
2020-08-28,,,,1.33,,143000.0
2020-09-01,,,,1.35,,141000.0
2020-09-02,,,,1.35,,30000.0
2020-09-03,,,,1.37,,257000.0
2020-09-04,,,,1.35,,170000.0
2020-09-07,,,,1.34,,380000.0
2020-09-08,,,,1.36,,839000.0
2020-09-09,,,,1.37,,66000.0
2020-09-10,,,,1.36,,300000.0
2020-09-11,,,,1.36,,28000.0
2020-09-14,,,,1.37,,299000.0
2020-09-15,,,,1.37,,106000.0
2020-09-16,,,,1.37,,39000.0
2020-09-17,,,,1.36,,49000.0
2020-09-18,,,,1.36,,185000.0
2020-09-21,,,,1.36,,652000.0
2020-09-22,,,,1.34,,1008000.0
2020-09-23,,,,1.35,,599000.0
2020-09-25,,,,1.37,,37000.0
2020-09-28,,,,1.34,,864000.0
