dt,open,high,low,close,value,volume
2020-03-02,0.84,0.84,0.8,0.8,82800.0,
2020-03-03,,,,,,
2020-03-04,0.79,0.79,0.79,0.79,39500.0,
2020-03-05,,,,,,
2020-03-06,0.78,0.78,0.78,0.78,7800.0,
2020-03-09,,,,,,
2020-03-10,,,,,,
2020-03-11,,,,,,
2020-03-12,0.7,0.76,0.59,0.76,71660.0,
2020-03-13,0.75,0.76,0.75,0.76,12820.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,0.51,0.66,0.51,0.66,28290.0,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,0.87,0.87,0.54,0.6,89720.0,
2020-03-27,0.61,0.61,0.56,0.6,40130.0,
2020-03-30,,,,,,
2020-03-31,0.6,0.6,0.6,0.6,5400.0,
2020-04-01,0.59,0.59,0.59,0.59,8260.0,
2020-04-02,0.59,0.59,0.52,0.52,43480.0,
2020-04-03,,,,,,
2020-04-06,0.56,0.56,0.55,0.55,5510.0,
2020-04-07,0.56,0.61,0.56,0.61,31010.0,
2020-04-08,0.6,0.6,0.6,0.6,1200.0,
2020-04-13,,,,,,
2020-04-14,0.6,0.6,0.6,0.6,6000.0,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,0.55,0.78,0.55,0.78,208690.0,
2020-04-20,0.78,0.88,0.77,0.88,232870.0,
2020-04-21,0.9,0.9,0.89,0.89,527340.0,
2020-04-22,,,,,,
2020-04-23,0.88,0.88,0.88,0.88,880.0,
2020-04-24,0.88,0.88,0.88,0.88,880.0,
2020-04-27,0.63,0.87,0.63,0.87,6810.0,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,,,,,,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,0.87,0.88,0.87,0.88,4370.0,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,0.82,0.82,0.82,0.82,22140.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,0.82,0.82,0.82,0.82,1640.0,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,0.69,0.8,0.69,0.8,167540.0,
2020-05-28,0.7,0.7,0.67,0.67,64430.0,
2020-05-29,0.67,0.67,0.67,0.67,17420.0,
2020-06-01,0.67,0.67,0.67,0.67,22780.0,
2020-06-02,0.68,0.68,0.68,0.68,8160.0,
2020-06-03,0.68,0.68,0.68,0.68,10200.0,
2020-06-04,0.68,0.72,0.68,0.68,4800.0,
2020-06-05,0.78,0.78,0.78,0.78,780.0,
2020-06-08,,,,,,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,0.69,0.69,0.69,0.69,690.0,
2020-06-15,0.69,0.74,0.69,0.74,54470.0,
2020-06-16,0.75,0.75,0.75,0.75,14250.0,
2020-06-17,0.68,0.77,0.68,0.77,23650.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,0.71,0.74,0.69,0.71,105590.0,
2020-06-23,0.71,0.71,0.7,0.7,11990.0,
2020-06-24,0.7,0.77,0.69,0.77,156670.0,
2020-06-25,0.72,0.72,0.71,0.72,15060.0,
2020-06-26,0.72,0.72,0.72,0.72,2880.0,
2020-06-29,,,,,,
2020-06-30,0.68,0.71,0.68,0.71,9700.0,
2020-07-01,0.71,0.75,0.71,0.75,17200.0,
2020-07-02,,,,,,
2020-07-03,0.77,0.77,0.76,0.76,1530.0,
2020-07-06,0.72,0.79,0.72,0.77,48330.0,
2020-07-07,0.78,0.85,0.75,0.78,199650.0,
2020-07-08,0.78,0.83,0.78,0.83,1610.0,
2020-07-09,,,,,,
2020-07-10,0.72,0.81,0.72,0.81,14580.0,
2020-07-13,0.8,0.8,0.8,0.8,800.0,
2020-07-14,0.72,0.79,0.72,0.79,1510.0,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,0.68,0.68,0.68,0.68,16320.0,
2020-07-20,,,,,,
2020-07-21,0.79,0.79,0.79,0.79,790.0,
2020-07-22,,,,,,
2020-07-23,0.77,0.82,0.76,0.82,107350.0,
2020-07-24,0.81,0.81,0.8,0.8,5610.0,
2020-07-27,,,,,,
2020-07-28,,,,,,
2020-07-29,0.68,0.77,0.68,0.77,6950.0,
2020-07-30,0.77,0.77,0.77,0.77,3850.0,
2020-08-03,0.66,0.75,0.66,0.75,2070.0,
2020-08-04,,,,0.73,,17000.0
2020-08-05,,,,0.75,,11000.0
2020-08-07,,,,0.84,,1185000.0
2020-08-10,,,,0.87,,127000.0
2020-08-11,,,,0.82,,174000.0
2020-08-12,,,,0.84,,233000.0
2020-08-13,,,,0.85,,130000.0
2020-08-14,,,,0.85,,317000.0
2020-08-17,,,,0.83,,77000.0
2020-08-18,,,,0.84,,22000.0
2020-08-19,,,,0.84,,6000.0
2020-08-20,,,,0.85,,223000.0
2020-08-24,,,,0.84,,291000.0
2020-08-25,,,,0.83,,20000.0
2020-08-26,,,,0.84,,105000.0
2020-08-27,,,,0.85,,178000.0
2020-08-28,,,,0.82,,139000.0
2020-09-01,,,,0.84,,17000.0
2020-09-02,,,,0.77,,87000.0
2020-09-03,,,,0.79,,24000.0
2020-09-04,,,,0.83,,15000.0
2020-09-08,,,,0.81,,1000.0
2020-09-09,,,,0.81,,4000.0
2020-09-10,,,,0.78,,15000.0
2020-09-11,,,,0.8,,23000.0
2020-09-14,,,,0.8,,188000.0
2020-09-15,,,,0.8,,28000.0
2020-09-16,,,,0.79,,82000.0
2020-09-17,,,,0.8,,4000.0
2020-09-18,,,,0.8,,1000.0
2020-09-23,,,,0.8,,19000.0
2020-09-25,,,,0.75,,5000.0
2020-09-28,,,,0.81,,3000.0
