dt,open,high,low,close,value,volume
2020-03-02,8.1,8.1,7.91,8.02,16070351.0,
2020-03-03,8.03,8.17,7.65,8.0,46325698.0,
2020-03-04,8.0,8.0,7.52,7.63,58746998.0,
2020-03-05,7.89,8.0,7.15,7.32,76845953.0,
2020-03-06,7.34,7.66,7.23,7.54,57579712.0,
2020-03-09,7.34,7.46,6.87,7.11,37998614.0,
2020-03-10,6.95,7.15,6.55,6.55,42194829.0,
2020-03-11,6.7,7.2,6.7,7.01,34022264.0,
2020-03-12,6.9,6.9,6.35,6.35,56681933.0,
2020-03-13,5.97,6.3,5.7,6.2,88194161.0,
2020-03-16,5.8,6.0,5.6,5.6,41032176.0,
2020-03-19,4.9,4.9,4.03,4.36,80037707.0,
2020-03-20,4.5,5.3,4.4,4.59,19657580.0,
2020-03-23,4.4,4.59,4.26,4.3,25478110.0,
2020-03-24,4.31,4.55,4.31,4.47,27881670.0,
2020-03-25,4.89,4.89,4.5,4.67,46446920.0,
2020-03-26,5.09,5.65,5.09,5.3,85462440.0,
2020-03-27,5.75,6.48,5.31,5.7,46402340.0,
2020-03-30,5.86,5.87,5.1,5.87,13245478.0,
2020-03-31,5.8,6.0,5.8,6.0,13596174.0,
2020-04-01,5.9,6.05,5.78,6.0,10751388.0,
2020-04-02,5.92,6.04,5.87,6.0,23072255.0,
2020-04-03,6.0,6.0,5.68,5.98,12358090.0,
2020-04-06,5.84,5.9,5.76,5.89,17646133.0,
2020-04-07,5.94,6.02,5.78,5.9,54275733.0,
2020-04-08,5.98,5.98,5.65,5.68,12275618.0,
2020-04-13,5.84,5.84,5.69,5.78,31310802.0,
2020-04-14,5.84,6.2,5.84,6.0,53264746.0,
2020-04-15,6.0,6.1,5.91,5.92,73769686.0,
2020-04-16,5.95,5.97,5.7,5.77,34547001.0,
2020-04-17,5.92,6.02,5.8,5.92,24872816.0,
2020-04-20,6.0,6.08,5.94,5.99,104182444.0,
2020-04-21,5.99,6.0,5.76,5.8,26460965.0,
2020-04-22,5.79,5.8,5.4,5.66,43884369.0,
2020-04-23,5.76,5.85,5.69,5.7,51298101.0,
2020-04-24,5.71,5.71,5.46,5.5,25917961.0,
2020-04-27,5.48,5.55,5.28,5.35,20920639.0,
2020-04-28,5.35,5.74,5.34,5.64,70373669.0,
2020-04-29,5.73,5.73,5.53,5.53,37383361.0,
2020-04-30,5.6,5.65,5.36,5.6,28717231.0,
2020-05-04,5.52,5.53,5.38,5.41,53269166.0,
2020-05-05,5.42,5.43,5.36,5.37,23463378.0,
2020-05-06,5.45,5.48,5.17,5.17,34958025.0,
2020-05-07,5.37,5.39,5.16,5.18,47579606.0,
2020-05-08,5.18,5.34,5.17,5.28,78654098.0,
2020-05-11,5.28,5.54,5.22,5.5,48984565.0,
2020-05-12,5.51,5.56,5.39,5.48,9652760.0,
2020-05-13,5.48,5.48,5.32,5.35,42642208.0,
2020-05-14,5.35,5.5,5.2,5.5,9442091.0,
2020-05-15,5.4,5.45,5.3,5.36,13677289.0,
2020-05-18,5.33,5.34,5.17,5.2,14260994.0,
2020-05-19,5.2,5.45,5.19,5.25,105278285.0,
2020-05-20,5.4,5.43,5.21,5.21,32972881.0,
2020-05-21,5.39,5.39,5.23,5.33,46411728.0,
2020-05-22,5.26,5.37,5.26,5.34,171331589.0,
2020-05-26,5.34,5.35,5.27,5.31,15443769.0,
2020-05-27,5.4,5.47,5.36,5.44,27743349.0,
2020-05-28,5.5,5.87,5.45,5.8,50396594.0,
2020-05-29,5.9,6.32,5.88,6.2,126013296.0,
2020-06-01,6.2,6.54,6.05,6.5,47497601.0,
2020-06-02,6.47,6.51,6.25,6.49,53643572.0,
2020-06-03,6.52,6.76,6.52,6.6,87866698.0,
2020-06-04,6.59,6.9,6.52,6.75,41196108.0,
2020-06-05,6.75,7.44,6.75,7.11,72462910.0,
2020-06-08,7.3,7.59,7.3,7.55,75513581.0,
2020-06-09,7.56,8.0,7.4,8.0,155694906.0,
2020-06-10,7.95,8.0,7.6,7.88,78583000.0,
2020-06-11,7.8,7.8,7.28,7.72,71248492.0,
2020-06-15,7.3,7.48,7.21,7.32,49237318.0,
2020-06-16,7.32,7.64,7.32,7.6,55218761.0,
2020-06-17,7.7,7.7,7.2,7.5,28031762.0,
2020-06-18,7.49,7.5,7.12,7.3,38033128.0,
2020-06-19,7.47,7.66,7.25,7.66,47550450.0,
2020-06-22,7.71,7.75,7.31,7.6,10651966.0,
2020-06-23,7.47,7.5,7.33,7.39,52566567.0,
2020-06-24,7.39,7.5,7.25,7.4,14084613.0,
2020-06-25,7.32,7.66,7.25,7.6,89103970.0,
2020-06-26,7.6,7.6,7.32,7.58,23742621.0,
2020-06-29,7.3,7.3,6.9,7.0,64572931.0,
2020-06-30,7.05,7.43,7.05,7.43,63301168.0,
2020-07-01,7.43,7.45,7.28,7.41,52087231.0,
2020-07-02,7.41,7.81,7.41,7.7,95684126.0,
2020-07-03,7.78,7.91,7.7,7.88,53786845.0,
2020-07-06,7.88,8.2,7.31,8.2,28885761.0,
2020-07-07,8.2,8.21,8.03,8.14,26839219.0,
2020-07-08,8.14,8.2,7.8,8.2,46282854.0,
2020-07-09,8.15,8.15,8.0,8.04,19632468.0,
2020-07-10,8.08,8.08,7.66,7.8,49141070.0,
2020-07-13,7.7,8.0,7.49,8.0,16480331.0,
2020-07-14,7.9,7.99,7.61,7.61,30914907.0,
2020-07-15,7.6,7.6,6.62,6.65,58746354.0,
2020-07-16,6.95,7.49,6.85,7.48,33884617.0,
2020-07-17,7.45,7.45,7.05,7.4,9698700.0,
2020-07-20,7.4,7.4,7.19,7.35,12499864.0,
2020-07-21,7.35,7.35,7.21,7.28,3709055.0,
2020-07-22,7.24,7.24,7.02,7.1,57050388.0,
2020-07-23,7.1,7.1,6.93,7.0,39668479.0,
2020-07-24,6.99,6.99,6.74,6.8,9410516.0,
2020-07-27,6.8,6.8,6.18,6.25,31410404.0,
2020-07-28,6.25,6.4,6.2,6.29,10376518.0,
2020-07-29,6.29,6.39,6.2,6.3,80043345.0,
2020-07-30,6.45,6.59,6.3,6.3,63098083.0,
2020-08-03,6.19,6.19,6.0,6.12,33263206.0,
2020-08-04,,,,6.12,,6718100.0
2020-08-05,,,,6.28,,7378200.0
2020-08-06,,,,6.3,,5996600.0
2020-08-07,,,,6.2,,2857200.0
2020-08-10,,,,6.13,,3688100.0
2020-08-11,,,,6.16,,5432300.0
2020-08-12,,,,6.3,,7306000.0
2020-08-13,,,,6.15,,5348500.0
2020-08-14,,,,6.28,,4829400.0
2020-08-17,,,,6.23,,3428500.0
2020-08-18,,,,6.0,,12907000.0
2020-08-19,,,,6.15,,5782900.0
2020-08-20,,,,6.22,,2130800.0
2020-08-24,,,,6.08,,3333700.0
2020-08-25,,,,6.15,,1021000.0
2020-08-26,,,,6.19,,1078200.0
2020-08-27,,,,6.01,,5677900.0
2020-08-28,,,,6.12,,1739200.0
2020-09-01,,,,6.28,,10975300.0
2020-09-02,,,,6.6,,13343000.0
2020-09-03,,,,7.05,,24481200.0
2020-09-04,,,,7.0,,9818300.0
2020-09-07,,,,6.96,,8282900.0
2020-09-08,,,,7.16,,11448900.0
2020-09-09,,,,7.0,,7949700.0
2020-09-10,,,,6.82,,10910700.0
2020-09-11,,,,6.7,,9625200.0
2020-09-14,,,,6.8,,4179500.0
2020-09-15,,,,6.99,,2505500.0
2020-09-16,,,,7.03,,4353300.0
2020-09-17,,,,6.96,,5606400.0
2020-09-18,,,,6.75,,6853900.0
2020-09-21,,,,6.76,,1780200.0
2020-09-22,,,,6.63,,6613900.0
2020-09-23,,,,6.72,,2169700.0
2020-09-24,,,,6.9,,2276600.0
2020-09-25,,,,7.08,,5954100.0
2020-09-28,,,,7.13,,6667500.0
