dt,open,high,low,close,value,volume
2020-03-02,75.5,76.25,74.1,75.5,284762537.5,
2020-03-03,76.5,78.5,76.5,77.95,190572563.5,
2020-03-04,78.0,78.3,76.45,77.75,140200244.0,
2020-03-05,78.45,78.95,75.75,77.0,132346235.5,
2020-03-06,77.0,77.0,74.1,74.5,136340558.5,
2020-03-09,72.0,72.0,67.0,67.0,177543506.5,
2020-03-10,66.0,74.0,64.0,71.5,214028002.5,
2020-03-11,72.1,73.45,71.5,72.8,194733026.5,
2020-03-12,71.0,71.1,65.1,65.5,196707344.5,
2020-03-13,61.6,68.0,59.0,68.0,218573856.5,
2020-03-16,65.0,66.0,60.15,62.3,118737965.5,
2020-03-19,58.0,58.25,48.0,55.5,226637079.0,
2020-03-20,56.5,59.0,52.0,55.0,214445825.0,
2020-03-23,50.0,54.2,49.7,51.4,215175638.0,
2020-03-24,52.1,54.0,51.55,52.0,198377027.5,
2020-03-25,55.8,56.9,54.6,55.4,252717414.5,
2020-03-26,56.5,61.9,56.5,60.5,210488793.5,
2020-03-27,62.9,64.95,60.9,63.95,497157303.5,
2020-03-30,63.9,63.9,59.15,60.1,214139792.0,
2020-03-31,62.8,63.9,60.7,61.8,230418157.0,
2020-04-01,61.5,62.45,61.0,62.05,190170708.5,
2020-04-02,60.5,62.0,60.0,60.55,189618895.5,
2020-04-03,61.0,61.1,60.1,60.6,97749159.0,
2020-04-06,61.4,62.15,60.5,62.0,236301832.0,
2020-04-07,62.95,63.4,59.7,61.0,197443250.5,
2020-04-08,61.85,61.85,57.0,57.05,380909892.5,
2020-04-13,58.1,58.85,57.7,58.0,113935893.0,
2020-04-14,58.7,61.0,58.45,61.0,173361807.5,
2020-04-15,62.85,64.15,62.5,63.1,232212762.5,
2020-04-16,63.0,63.0,57.5,57.5,250130948.0,
2020-04-17,59.4,61.85,59.4,60.9,207434114.5,
2020-04-20,61.6,61.8,60.05,60.75,96301102.5,
2020-04-21,60.75,61.45,59.8,60.0,123494007.5,
2020-04-22,59.8,60.15,59.2,60.0,193446203.0,
2020-04-23,60.4,60.85,59.85,60.0,99929926.0,
2020-04-24,60.0,61.5,59.2,59.5,75838087.0,
2020-04-27,59.5,59.6,58.35,58.95,211055131.5,
2020-04-28,58.95,59.15,58.0,58.4,288275972.0,
2020-04-29,58.4,59.05,58.3,58.5,108054930.5,
2020-04-30,59.0,59.15,58.5,58.5,155180668.5,
2020-05-04,58.5,58.5,57.8,58.0,198354607.5,
2020-05-05,58.7,58.95,58.2,58.7,126484277.5,
2020-05-06,59.0,59.5,58.5,58.85,256125917.0,
2020-05-07,58.95,59.0,58.75,58.8,64284971.0,
2020-05-08,59.65,59.65,56.75,57.0,357256374.0,
2020-05-11,58.0,58.75,57.75,58.6,31309902.5,
2020-05-12,58.8,61.0,58.75,61.0,210634121.0,
2020-05-13,61.0,61.0,60.45,60.8,76245871.5,
2020-05-14,60.7,61.0,58.55,61.0,99418978.5,
2020-05-15,61.0,61.0,60.5,60.85,357703394.5,
2020-05-18,60.95,61.0,59.45,61.0,79730170.0,
2020-05-19,61.15,62.0,61.05,62.0,95924407.0,
2020-05-20,62.0,63.95,61.25,63.95,204872598.0,
2020-05-21,64.0,64.05,62.5,62.7,138077274.5,
2020-05-22,63.0,63.0,61.3,62.3,84531586.5,
2020-05-26,61.9,63.0,60.0,63.0,161817672.0,
2020-05-27,62.45,63.0,60.6,63.0,93639587.5,
2020-05-28,63.05,63.95,62.55,63.95,97010967.5,
2020-05-29,63.95,66.3,63.05,66.3,649420715.0,
2020-06-01,66.3,68.45,65.55,67.4,105782705.5,
2020-06-02,67.5,68.9,67.2,67.75,134832991.5,
2020-06-03,68.85,72.0,67.95,72.0,192674808.5,
2020-06-04,69.8,78.0,69.8,77.0,691777761.0,
2020-06-05,76.9,78.8,75.05,78.0,591614892.0,
2020-06-08,78.0,78.0,75.05,77.0,402287229.0,
2020-06-09,77.0,77.4,76.5,77.3,118261233.5,
2020-06-10,76.95,76.95,74.2,75.7,160795503.5,
2020-06-11,75.0,75.0,73.0,73.5,165893282.0,
2020-06-15,72.0,72.45,68.1,68.1,213594821.0,
2020-06-16,69.5,72.45,69.5,71.0,166792604.0,
2020-06-17,72.6,73.1,72.4,73.0,132173835.5,
2020-06-18,73.0,73.95,70.95,73.95,43568766.0,
2020-06-19,73.85,73.85,72.0,72.6,381656576.5,
2020-06-22,72.3,73.0,70.5,73.0,152231714.5,
2020-06-23,72.3,72.95,70.8,72.5,84436759.5,
2020-06-24,72.5,72.6,71.15,72.0,107035516.0,
2020-06-25,71.75,71.8,70.2,70.55,76167665.0,
2020-06-26,71.9,71.9,70.5,70.85,120501597.0,
2020-06-29,70.0,70.1,69.2,69.5,159781382.0,
2020-06-30,69.95,72.0,69.2,72.0,408076116.5,
2020-07-01,71.9,71.9,69.6,71.5,87735846.5,
2020-07-02,71.5,75.0,70.6,75.0,240672287.0,
2020-07-03,74.9,74.95,72.35,73.4,126066471.5,
2020-07-06,73.4,73.4,71.55,72.0,188861569.5,
2020-07-07,72.0,72.45,71.0,72.0,237516285.5,
2020-07-08,72.0,74.5,71.65,74.5,209228107.0,
2020-07-09,74.4,74.4,72.05,72.2,51868824.5,
2020-07-10,72.5,73.95,71.5,73.2,114076981.0,
2020-07-13,72.1,74.5,72.0,74.5,48059786.5,
2020-07-14,73.5,73.5,71.0,71.3,118376307.0,
2020-07-15,71.25,71.45,69.2,70.0,226724853.5,
2020-07-16,70.0,71.5,69.5,70.85,102948394.0,
2020-07-17,71.0,71.05,69.8,70.35,64575601.0,
2020-07-20,70.45,71.05,70.2,71.0,59960638.5,
2020-07-21,71.1,72.0,70.5,70.7,556545194.0,
2020-07-22,70.7,70.7,69.6,69.7,161122778.5,
2020-07-23,69.7,70.45,69.2,69.45,118947052.0,
2020-07-24,69.5,70.6,69.25,69.5,64829092.0,
2020-07-27,69.45,69.5,65.0,65.0,171407632.5,
2020-07-28,65.55,68.2,64.55,68.2,147753852.5,
2020-07-29,68.1,69.0,67.8,69.0,35609844.0,
2020-07-30,68.5,68.6,68.0,68.2,246440494.5,
2020-08-03,67.0,67.0,64.1,64.7,217998789.0,
2020-08-04,,,,64.5,,2609650.0
2020-08-05,,,,65.5,,2970940.0
2020-08-06,,,,65.5,,5591900.0
2020-08-07,,,,62.55,,3395250.0
2020-08-10,,,,62.05,,3411440.0
2020-08-11,,,,61.0,,4843930.0
2020-08-12,,,,62.5,,2782780.0
2020-08-13,,,,64.85,,2949740.0
2020-08-14,,,,65.5,,2688520.0
2020-08-17,,,,65.15,,837530.0
2020-08-18,,,,65.7,,2551420.0
2020-08-19,,,,62.5,,2625430.0
2020-08-20,,,,63.5,,1785050.0
2020-08-24,,,,64.0,,1479170.0
2020-08-25,,,,63.0,,2285890.0
2020-08-26,,,,63.0,,907770.0
2020-08-27,,,,65.7,,2793950.0
2020-08-28,,,,67.0,,2366520.0
2020-09-01,,,,67.3,,2667940.0
2020-09-02,,,,65.95,,840580.0
2020-09-03,,,,67.6,,2027830.0
2020-09-04,,,,65.0,,1978600.0
2020-09-07,,,,65.8,,1044140.0
2020-09-08,,,,66.4,,1036950.0
2020-09-09,,,,65.25,,1606510.0
2020-09-10,,,,65.0,,4658090.0
