dt,open,high,low,close,value,volume
2020-03-02,0.56,0.56,0.55,0.56,224000.0,
2020-03-03,0.55,0.84,0.55,0.76,16525300.0,
2020-03-04,0.74,0.87,0.7,0.74,53244690.0,
2020-03-05,0.75,0.9,0.75,0.88,63605620.0,
2020-03-06,0.88,0.88,0.81,0.82,16717250.0,
2020-03-09,0.8,0.8,0.7,0.7,14825210.0,
2020-03-10,0.65,0.74,0.62,0.74,8536220.0,
2020-03-11,0.74,0.82,0.72,0.75,13583780.0,
2020-03-12,0.72,0.74,0.6,0.63,6811770.0,
2020-03-13,0.56,0.66,0.51,0.64,4933130.0,
2020-03-16,0.62,0.62,0.52,0.57,1829840.0,
2020-03-19,0.54,0.55,0.47,0.49,2001645.0,
2020-03-20,0.5,0.53,0.49,0.51,1048100.0,
2020-03-23,0.5,0.5,0.455,0.475,353455.0,
2020-03-24,0.49,0.52,0.475,0.5,694850.0,
2020-03-25,0.52,0.54,0.5,0.51,1555080.0,
2020-03-26,0.51,0.57,0.51,0.55,2414350.0,
2020-03-27,0.56,0.58,0.52,0.54,1850540.0,
2020-03-30,0.52,0.52,0.5,0.51,512480.0,
2020-03-31,0.51,0.54,0.51,0.51,1080250.0,
2020-04-01,0.51,0.53,0.51,0.53,198640.0,
2020-04-02,0.51,0.53,0.51,0.52,223080.0,
2020-04-03,0.53,0.53,0.5,0.51,552910.0,
2020-04-06,0.52,0.53,0.52,0.53,276410.0,
2020-04-07,0.54,0.57,0.52,0.55,1801480.0,
2020-04-08,0.56,0.56,0.53,0.55,228960.0,
2020-04-13,0.54,0.56,0.53,0.55,472830.0,
2020-04-14,0.54,0.6,0.54,0.58,1690550.0,
2020-04-15,0.61,0.61,0.55,0.58,570680.0,
2020-04-16,0.59,0.59,0.54,0.54,951360.0,
2020-04-17,0.55,0.57,0.54,0.55,851580.0,
2020-04-20,0.55,0.56,0.54,0.55,1599560.0,
2020-04-21,0.55,0.55,0.53,0.54,995930.0,
2020-04-22,0.54,0.54,0.52,0.53,1115070.0,
2020-04-23,0.54,0.57,0.53,0.55,914090.0,
2020-04-24,0.55,0.56,0.54,0.56,880440.0,
2020-04-27,0.56,0.58,0.56,0.56,870980.0,
2020-04-28,0.56,0.59,0.56,0.58,1155880.0,
2020-04-29,0.58,0.59,0.56,0.58,1699660.0,
2020-04-30,0.58,0.59,0.56,0.58,916650.0,
2020-05-04,0.56,0.58,0.55,0.57,304920.0,
2020-05-05,0.57,0.57,0.55,0.56,351590.0,
2020-05-06,0.57,0.58,0.56,0.56,361100.0,
2020-05-07,0.56,0.57,0.56,0.57,162630.0,
2020-05-08,0.57,0.58,0.56,0.57,171930.0,
2020-05-11,0.56,0.57,0.55,0.55,908170.0,
2020-05-12,0.55,0.56,0.54,0.56,337430.0,
2020-05-13,0.57,0.57,0.54,0.55,474600.0,
2020-05-14,0.56,0.56,0.54,0.55,140250.0,
2020-05-15,0.55,0.55,0.54,0.55,357720.0,
2020-05-18,0.55,0.55,0.52,0.53,1569310.0,
2020-05-19,0.53,0.54,0.52,0.53,292030.0,
2020-05-20,0.53,0.54,0.52,0.54,477500.0,
2020-05-21,0.52,0.54,0.51,0.53,147050.0,
2020-05-22,0.52,0.54,0.52,0.54,183690.0,
2020-05-26,0.54,0.54,0.52,0.54,109030.0,
2020-05-27,0.54,0.55,0.52,0.53,214310.0,
2020-05-28,0.52,0.54,0.52,0.54,5820.0,
2020-05-29,0.54,0.56,0.54,0.54,539570.0,
2020-06-01,0.54,0.55,0.54,0.54,326170.0,
2020-06-02,0.55,0.59,0.55,0.57,930400.0,
2020-06-03,0.58,0.6,0.57,0.58,1424270.0,
2020-06-04,0.59,0.6,0.56,0.57,1114720.0,
2020-06-05,0.58,0.58,0.57,0.58,538650.0,
2020-06-08,0.58,0.62,0.58,0.6,2537600.0,
2020-06-09,0.62,0.63,0.62,0.63,2553310.0,
2020-06-10,0.63,0.64,0.59,0.6,1758980.0,
2020-06-11,0.61,0.61,0.59,0.6,394970.0,
2020-06-15,0.61,0.61,0.57,0.57,794520.0,
2020-06-16,0.57,0.59,0.56,0.58,491260.0,
2020-06-17,0.59,0.59,0.56,0.59,797140.0,
2020-06-18,0.59,0.65,0.56,0.63,3943500.0,
2020-06-19,0.64,0.69,0.62,0.63,5964540.0,
2020-06-22,0.63,0.72,0.63,0.7,4947530.0,
2020-06-23,0.72,0.75,0.66,0.69,7364150.0,
2020-06-24,0.69,0.74,0.69,0.72,4626990.0,
2020-06-25,0.7,0.72,0.68,0.71,2702270.0,
2020-06-26,0.72,0.75,0.72,0.74,4937360.0,
2020-06-29,0.73,0.79,0.72,0.77,7350680.0,
2020-06-30,0.79,0.81,0.75,0.75,8835450.0,
2020-07-01,0.75,0.75,0.68,0.7,4951520.0,
2020-07-02,0.69,0.74,0.68,0.72,4388940.0,
2020-07-03,0.72,0.74,0.72,0.73,814150.0,
2020-07-06,0.73,0.73,0.7,0.71,1066030.0,
2020-07-07,0.72,0.74,0.71,0.71,1470290.0,
2020-07-08,0.72,0.73,0.71,0.72,1025370.0,
2020-07-09,0.71,0.76,0.71,0.76,3250810.0,
2020-07-10,0.76,0.76,0.73,0.73,1070120.0,
2020-07-13,0.72,0.73,0.7,0.73,719140.0,
2020-07-14,0.72,0.75,0.71,0.74,805330.0,
2020-07-15,0.75,0.75,0.72,0.72,1489550.0,
2020-07-16,0.72,0.74,0.72,0.74,121870.0,
2020-07-17,0.74,0.74,0.71,0.72,743530.0,
2020-07-20,0.71,0.72,0.7,0.7,705100.0,
2020-07-21,0.71,0.73,0.71,0.73,396910.0,
2020-07-22,0.72,0.76,0.72,0.76,2940450.0,
2020-07-23,0.75,0.75,0.73,0.73,374460.0,
2020-07-24,0.73,0.76,0.72,0.74,535660.0,
2020-07-27,0.76,0.79,0.73,0.74,5737910.0,
2020-07-28,0.74,0.74,0.71,0.71,1756790.0,
2020-07-29,0.71,0.77,0.71,0.76,1031030.0,
2020-07-30,0.77,0.77,0.74,0.75,485320.0,
2020-08-03,0.73,0.77,0.73,0.76,1872230.0,
2020-08-04,,,,0.78,,8628000.0
2020-08-05,,,,0.76,,5459000.0
2020-08-06,,,,0.75,,1805000.0
2020-08-07,,,,0.76,,956000.0
2020-08-10,,,,0.8,,4479000.0
2020-08-11,,,,0.82,,3823000.0
2020-08-12,,,,0.8,,2280000.0
2020-08-13,,,,0.82,,1826000.0
2020-08-14,,,,0.84,,5164000.0
2020-08-17,,,,0.84,,9892000.0
2020-08-18,,,,0.87,,1776000.0
