dt,open,high,low,close,value,volume
2020-03-02,0.20800000000000002,0.213,0.20600000000000002,0.213,31010.0,
2020-03-03,0.207,0.213,0.201,0.209,556880.0,
2020-03-04,0.20199999999999999,0.209,0.2,0.20800000000000002,515480.0,
2020-03-05,0.2,0.20800000000000002,0.2,0.20800000000000002,36670.0,
2020-03-06,0.209,0.209,0.201,0.209,123210.0,
2020-03-09,0.201,0.207,0.19,0.2,173680.0,
2020-03-10,0.2,0.2,0.19,0.2,269000.0,
2020-03-11,0.2,0.21,0.19,0.19899999999999998,152550.0,
2020-03-12,0.122,0.19,0.122,0.185,321900.0,
2020-03-13,0.17,0.17,0.152,0.16899999999999998,2492540.0,
2020-03-16,0.16899999999999998,0.16899999999999998,0.152,0.16,24980.0,
2020-03-19,0.168,0.177,0.168,0.168,35370.0,
2020-03-20,0.165,0.165,0.16,0.16,52250.0,
2020-03-23,0.16,0.171,0.15,0.171,450280.0,
2020-03-24,0.165,0.16899999999999998,0.138,0.16899999999999998,190640.0,
2020-03-25,0.16899999999999998,0.174,0.16899999999999998,0.172,359750.0,
2020-03-26,0.156,0.17,0.156,0.17,179810.0,
2020-03-27,0.157,0.17,0.156,0.16899999999999998,19600.0,
2020-03-30,0.166,0.166,0.156,0.16399999999999998,98600.0,
2020-03-31,0.16399999999999998,0.16399999999999998,0.155,0.162,176450.0,
2020-04-01,,,,,,
2020-04-02,0.163,0.166,0.163,0.166,19830.0,
2020-04-03,0.14,0.165,0.14,0.16399999999999998,37560.0,
2020-04-06,0.16,0.16899999999999998,0.16,0.16899999999999998,323290.0,
2020-04-07,0.165,0.179,0.165,0.179,117260.0,
2020-04-08,0.179,0.179,0.16899999999999998,0.172,37680.0,
2020-04-13,0.166,0.171,0.166,0.171,10010.0,
2020-04-14,0.166,0.18899999999999997,0.166,0.188,201970.0,
2020-04-15,0.179,0.179,0.179,0.179,1790.0,
2020-04-16,0.18100000000000002,0.18100000000000002,0.18100000000000002,0.18100000000000002,1810.0,
2020-04-17,0.18100000000000002,0.185,0.18100000000000002,0.185,12720.0,
2020-04-20,0.185,0.188,0.172,0.185,248620.0,
2020-04-21,,,,,,
