dt,open,high,low,close,value,volume
2020-03-02,3.55,3.55,3.25,3.39,2190580.0,
2020-03-03,3.39,3.5,3.39,3.41,1235340.0,
2020-03-04,3.4,3.43,3.32,3.4,846000.0,
2020-03-05,3.4,3.58,3.4,3.52,644560.0,
2020-03-06,3.51,3.58,3.45,3.52,1468000.0,
2020-03-09,3.51,3.51,2.98,3.0,6352760.0,
2020-03-10,2.98,2.99,2.75,2.94,2046160.0,
2020-03-11,2.95,3.08,2.95,2.97,1175790.0,
2020-03-12,2.95,2.95,2.7,2.7,1734530.0,
2020-03-13,2.4,2.69,2.0,2.68,3597470.0,
2020-03-16,2.5,2.6,2.2,2.41,1007090.0,
2020-03-19,2.25,2.25,1.91,2.01,2717370.0,
2020-03-20,2.0,2.15,1.96,2.08,1321860.0,
2020-03-23,2.04,2.07,1.98,2.0,1614870.0,
2020-03-24,2.0,2.07,1.98,2.06,941860.0,
2020-03-25,2.11,2.16,2.08,2.11,3925800.0,
2020-03-26,2.16,2.67,2.16,2.67,6378660.0,
2020-03-27,2.79,2.95,2.41,2.65,12594580.0,
2020-03-30,2.61,2.61,2.42,2.53,2879280.0,
2020-03-31,2.56,2.89,2.56,2.85,7026790.0,
2020-04-01,2.9,2.91,2.7,2.7,6587730.0,
2020-04-02,2.68,2.68,2.49,2.57,10570470.0,
2020-04-03,2.57,2.6,2.54,2.56,2804660.0,
2020-04-06,2.56,2.65,2.56,2.65,2286640.0,
2020-04-07,2.68,2.74,2.58,2.58,3169650.0,
2020-04-08,2.59,2.63,2.5,2.61,1553080.0,
2020-04-13,2.6,2.72,2.55,2.72,4257780.0,
2020-04-14,2.78,2.85,2.75,2.84,4869850.0,
2020-04-15,2.88,2.99,2.86,2.98,2673070.0,
2020-04-16,2.95,2.95,2.74,2.84,2897430.0,
2020-04-17,2.94,2.95,2.85,2.92,2753640.0,
2020-04-20,2.96,3.2,2.96,3.2,8999690.0,
2020-04-21,3.22,3.22,3.0,3.09,6097830.0,
2020-04-22,3.09,3.12,3.01,3.05,2495010.0,
2020-04-23,3.12,3.69,3.1,3.46,15265760.0,
2020-04-24,3.6,3.68,3.42,3.42,12240010.0,
2020-04-27,3.55,3.55,3.21,3.29,3494370.0,
2020-04-28,3.27,3.27,3.13,3.25,4331270.0,
2020-04-29,3.27,3.35,3.24,3.34,2457950.0,
2020-04-30,3.35,3.35,3.3,3.34,1830530.0,
2020-05-04,3.3,3.34,3.15,3.16,2722920.0,
2020-05-05,3.16,3.3,3.15,3.3,970850.0,
2020-05-06,3.31,3.39,3.27,3.27,1142040.0,
2020-05-07,3.27,3.27,3.21,3.24,995020.0,
2020-05-08,3.24,3.27,3.19,3.2,2019930.0,
2020-05-11,3.2,3.25,3.1,3.2,1427070.0,
2020-05-12,3.17,3.25,3.15,3.22,876220.0,
2020-05-13,3.2,3.22,3.17,3.18,614870.0,
2020-05-14,3.18,3.18,3.03,3.07,1960030.0,
2020-05-15,3.07,3.08,3.03,3.05,393810.0,
2020-05-18,3.07,3.19,3.04,3.12,833060.0,
2020-05-19,3.16,3.18,3.1,3.1,211860.0,
2020-05-20,3.17,3.17,3.08,3.08,126910.0,
2020-05-21,3.08,3.15,3.06,3.08,704970.0,
2020-05-22,3.08,3.1,3.0,3.0,3504120.0,
2020-05-26,3.0,3.02,2.87,2.88,2107030.0,
2020-05-27,2.88,3.09,2.87,3.05,580740.0,
2020-05-28,2.92,3.08,2.92,3.08,833990.0,
2020-05-29,3.08,3.11,3.02,3.11,1055760.0,
2020-06-01,3.12,3.14,3.08,3.13,1369170.0,
2020-06-02,3.14,3.22,3.13,3.2,3403510.0,
2020-06-03,3.21,3.26,3.18,3.24,3482900.0,
2020-06-04,3.27,3.28,3.18,3.21,3149470.0,
2020-06-05,3.18,3.25,3.11,3.25,2328180.0,
2020-06-08,3.3,3.4,3.3,3.4,5506420.0,
2020-06-09,3.6,3.82,3.45,3.82,16711250.0,
2020-06-10,3.83,4.2,3.7,3.9,21908450.0,
2020-06-11,3.9,3.91,3.64,3.76,6593770.0,
2020-06-15,3.68,3.68,3.43,3.59,7433310.0,
