dt,open,high,low,close,value,volume
2020-03-02,58.9,58.9,58.85,58.85,11775.5,
2020-03-03,58.9,58.9,58.85,58.85,20607.0,
2020-03-04,58.85,58.85,58.85,58.85,11770.0,
2020-03-05,,,,,,
2020-03-06,59.0,62.0,58.85,58.85,36789.0,
2020-03-09,58.85,58.85,56.0,56.0,46203.0,
2020-03-10,56.0,56.0,55.0,56.0,19030.0,
2020-03-11,,,,,,
2020-03-12,50.0,50.0,50.0,50.0,15000.0,
2020-03-13,49.95,49.95,49.95,49.95,31468.5,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,60.0,60.0,60.0,60.0,12000.0,
2020-03-26,,,,,,
2020-03-27,60.0,60.0,60.0,60.0,12000.0,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,45.5,45.8,45.5,45.8,5008.0,
2020-04-02,,,,,,
2020-04-03,46.2,46.2,46.0,46.0,36830.0,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,48.0,48.0,48.0,48.0,4800.0,
2020-04-14,50.0,52.0,50.0,50.0,100400.0,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,53.0,53.0,53.0,53.0,7950.0,
2020-04-20,,,,,,
2020-04-21,,,,,,
2020-04-22,53.05,53.05,53.05,53.05,12732.0,
2020-04-23,54.0,64.0,54.0,59.95,40845.5,
2020-04-24,59.9,59.9,49.05,50.5,22099.0,
2020-04-27,51.0,51.0,51.0,51.0,510.0,
2020-04-28,59.9,59.9,59.9,59.9,30549.0,
2020-04-29,58.5,60.0,58.5,60.0,193695.0,
2020-04-30,60.0,60.0,55.0,60.0,18450.0,
2020-05-04,55.2,60.0,55.2,58.0,32332.0,
2020-05-05,55.6,60.0,55.6,60.0,39448.0,
2020-05-06,58.0,58.0,58.0,58.0,21460.0,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,57.9,57.9,57.9,57.9,1158.0,
2020-05-14,,,,,,
2020-05-15,57.9,57.9,57.9,57.9,4053.0,
2020-05-18,,,,,,
2020-05-19,57.9,57.9,57.9,57.9,1158.0,
2020-05-20,,,,,,
2020-05-21,57.9,57.9,57.9,57.9,579.0,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,57.85,57.85,57.85,57.85,578.5,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,57.8,57.8,57.8,57.8,509796.0,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,55.0,57.85,55.0,57.85,285119.0,
2020-06-08,,,,,,
2020-06-09,59.9,59.9,59.8,59.85,16156.0,
2020-06-10,59.85,59.85,59.85,59.85,12568.5,
2020-06-11,,,,,,
2020-06-15,59.9,59.9,59.9,59.9,599.0,
2020-06-16,50.9,59.45,50.9,59.45,3905.0,
2020-06-17,59.0,59.8,59.0,59.8,41922.0,
2020-06-18,,,,,,
2020-06-19,59.8,59.8,59.8,59.8,598.0,
2020-06-22,,,,,,
2020-06-23,,,,,,
2020-06-24,58.6,58.6,58.5,58.5,17568.0,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,52.3,52.35,52.25,52.25,3221238.5,
