dt,open,high,low,close,value,volume
2020-03-02,15.0,15.88,15.0,15.88,19940.0,
2020-03-03,14.22,15.62,14.22,15.62,10094.0,
2020-03-04,14.4,15.6,14.4,15.6,3000.0,
2020-03-05,15.8,15.9,15.8,15.9,31660.0,
2020-03-06,,,,,,
2020-03-09,14.4,15.44,14.22,14.22,12992.0,
2020-03-10,14.22,14.22,14.0,14.0,50532.0,
2020-03-11,13.04,14.3,13.04,14.3,2734.0,
2020-03-12,,,,,,
2020-03-13,13.22,14.52,13.04,14.52,8125774.0,
2020-03-16,14.46,14.46,14.46,14.46,7230.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,13.8,13.8,13.8,13.8,2760.0,
2020-04-07,13.7,13.8,13.12,13.12,45140.0,
2020-04-08,13.2,13.2,13.2,13.2,26400.0,
2020-04-13,,,,,,
2020-04-14,13.2,13.2,13.2,13.2,7920.0,
2020-04-15,13.2,14.0,13.2,14.0,45340.0,
2020-04-16,13.98,13.98,12.64,13.98,18892.0,
2020-04-17,13.6,13.6,13.6,13.6,27200.0,
2020-04-20,12.64,12.64,12.64,12.64,3792.0,
2020-04-21,12.68,13.28,12.68,13.28,21856.0,
2020-04-22,12.8,13.3,12.8,13.3,14130.0,
2020-04-23,12.66,13.28,12.64,13.28,131394.0,
2020-04-24,13.96,13.96,13.96,13.96,1396.0,
2020-04-27,13.8,13.8,13.8,13.8,13800.0,
2020-04-28,,,,,,
2020-04-29,,,,,,
2020-04-30,11.0,13.48,11.0,13.0,41894.0,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,11.16,13.0,11.16,13.0,15742.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,13.44,13.44,13.44,13.44,1344.0,
2020-05-22,,,,,,
2020-05-26,12.14,12.96,12.12,12.94,35358.0,
2020-05-27,,,,,,
2020-05-28,12.94,12.94,12.94,12.94,3882.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,13.4,13.4,13.0,13.0,5240.0,
2020-06-03,13.1,13.1,12.5,12.98,38104.0,
2020-06-04,12.98,12.98,12.5,12.98,25180.0,
2020-06-05,11.26,13.0,11.26,13.0,11528.0,
2020-06-08,13.08,13.08,13.0,13.0,3908.0,
2020-06-09,12.0,13.38,12.0,13.38,98672.0,
2020-06-10,13.0,13.36,13.0,13.36,50998.0,
2020-06-11,12.6,13.2,12.5,12.5,16394.0,
2020-06-15,12.04,12.8,12.04,12.8,3688.0,
2020-06-16,12.5,12.52,12.5,12.52,22516.0,
2020-06-17,13.0,13.58,13.0,13.5,6724.0,
2020-06-18,12.06,12.88,12.06,12.5,17128.0,
2020-06-19,12.5,12.6,12.5,12.6,26260.0,
2020-06-22,12.24,12.5,12.24,12.5,24974.0,
2020-06-23,13.48,13.48,12.14,12.16,48042.0,
2020-06-24,12.5,12.5,12.12,12.14,54654.0,
2020-06-25,12.14,12.2,12.1,12.2,48516.0,
2020-06-26,12.04,12.04,12.02,12.02,3608.0,
2020-06-29,,,,,,
2020-06-30,12.02,12.02,12.02,12.02,12020.0,
2020-07-01,,,,,,
2020-07-02,13.44,13.44,12.3,12.3,16798.0,
2020-07-03,,,,,,
2020-07-06,12.1,12.1,12.0,12.0,33630.0,
2020-07-07,12.5,12.5,12.5,12.5,5000.0,
2020-07-08,,,,,,
2020-07-09,11.6,12.0,11.6,12.0,366800.0,
2020-07-10,11.98,11.98,11.98,11.98,2396.0,
2020-07-13,11.02,11.98,11.02,11.98,53638.0,
2020-07-14,11.5,11.5,11.02,11.12,22194.0,
2020-07-15,11.5,11.5,11.5,11.5,31050.0,
2020-07-16,11.5,11.5,11.14,11.14,22352.0,
2020-07-17,11.12,11.14,11.12,11.14,23378.0,
2020-07-20,11.12,11.12,11.1,11.12,25556.0,
