dt,open,high,low,close,value,volume
2020-03-02,0.77,0.78,0.77,0.78,53020.0,
2020-03-03,0.78,0.78,0.77,0.78,104510.0,
2020-03-04,0.79,0.79,0.79,0.79,3160.0,
2020-03-05,0.79,0.79,0.79,0.79,790.0,
2020-03-06,,,,,,
2020-03-09,,,,,,
2020-03-10,0.77,0.77,0.76,0.77,46870.0,
2020-03-11,0.76,0.77,0.76,0.77,90450.0,
2020-03-12,0.75,0.75,0.72,0.72,40350.0,
2020-03-13,0.73,0.75,0.68,0.75,92790.0,
2020-03-16,0.75,0.75,0.75,0.75,1500.0,
2020-03-19,0.65,0.65,0.65,0.65,6500.0,
2020-03-20,0.65,0.75,0.65,0.75,10500.0,
2020-03-23,0.74,0.74,0.74,0.74,740.0,
2020-03-24,0.73,0.73,0.73,0.73,730.0,
2020-03-25,,,,,,
2020-03-26,0.74,0.79,0.74,0.79,49100.0,
2020-03-27,0.72,0.79,0.71,0.74,145010.0,
2020-03-30,0.74,0.74,0.7,0.72,60200.0,
2020-03-31,0.79,0.79,0.79,0.79,790.0,
2020-04-01,0.79,0.79,0.77,0.77,6950.0,
2020-04-02,,,,,,
2020-04-03,0.79,0.79,0.79,0.79,790.0,
2020-04-06,0.8,0.8,0.71,0.71,391640.0,
2020-04-07,0.71,0.72,0.7,0.72,120560.0,
2020-04-08,0.71,0.74,0.71,0.74,9260.0,
2020-04-13,0.71,0.73,0.71,0.71,18480.0,
2020-04-14,0.74,0.74,0.73,0.73,10230.0,
2020-04-15,0.74,0.74,0.72,0.73,108130.0,
2020-04-16,0.73,0.73,0.73,0.73,730.0,
2020-04-17,0.71,0.75,0.71,0.75,2880.0,
2020-04-20,0.71,0.74,0.71,0.74,11040.0,
2020-04-21,0.73,0.74,0.73,0.74,24400.0,
2020-04-22,0.74,0.74,0.74,0.74,8880.0,
2020-04-23,0.75,0.75,0.74,0.74,8890.0,
2020-04-24,0.72,0.74,0.72,0.74,22720.0,
2020-04-27,0.72,0.75,0.72,0.72,7950.0,
2020-04-28,,,,,,
2020-04-29,0.75,0.77,0.75,0.77,99230.0,
2020-04-30,0.73,0.77,0.73,0.77,2270.0,
2020-05-04,0.75,0.75,0.73,0.75,10460.0,
2020-05-05,0.74,0.76,0.7,0.76,300760.0,
2020-05-06,0.77,0.77,0.77,0.77,46970.0,
2020-05-07,0.77,0.77,0.77,0.77,770.0,
2020-05-08,0.72,0.75,0.72,0.75,17160.0,
2020-05-11,,,,,,
2020-05-12,0.75,0.75,0.75,0.75,750.0,
2020-05-13,0.75,0.75,0.74,0.75,22420.0,
2020-05-14,0.74,0.74,0.74,0.74,7400.0,
2020-05-15,0.74,0.75,0.74,0.75,2230.0,
2020-05-18,0.74,0.74,0.73,0.73,38390.0,
2020-05-19,0.73,0.75,0.73,0.75,13890.0,
2020-05-20,,,,,,
2020-05-21,,,,,,
2020-05-22,0.73,0.73,0.73,0.73,1460.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,0.76,0.76,0.76,0.76,760.0,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,0.75,0.75,0.75,0.75,4500.0,
2020-06-03,0.74,0.74,0.73,0.73,10240.0,
2020-06-04,0.73,0.74,0.71,0.74,43570.0,
2020-06-05,0.72,0.72,0.71,0.72,99330.0,
2020-06-08,0.74,0.74,0.74,0.74,21460.0,
2020-06-09,0.75,0.75,0.74,0.74,22430.0,
2020-06-10,0.74,0.74,0.74,0.74,40700.0,
2020-06-11,,,,,,
2020-06-15,0.75,0.75,0.71,0.71,92740.0,
2020-06-16,0.72,0.72,0.72,0.72,1440.0,
2020-06-17,0.74,0.74,0.72,0.72,190140.0,
2020-06-18,0.75,0.75,0.73,0.75,29560.0,
2020-06-19,0.76,0.76,0.76,0.76,14440.0,
2020-06-22,0.76,0.76,0.74,0.74,5240.0,
2020-06-23,0.74,0.74,0.74,0.74,7400.0,
2020-06-24,0.74,0.74,0.74,0.74,34040.0,
2020-06-25,,,,,,
2020-06-26,0.74,0.74,0.74,0.74,82880.0,
2020-06-29,0.76,0.76,0.76,0.76,83600.0,
2020-06-30,0.77,0.77,0.77,0.77,15400.0,
2020-07-01,,,,,,
2020-07-02,0.77,0.77,0.77,0.77,3850.0,
2020-07-03,0.77,0.77,0.77,0.77,770.0,
2020-07-06,0.77,0.77,0.77,0.77,10780.0,
2020-07-07,0.77,0.78,0.77,0.78,19490.0,
2020-07-08,0.74,0.79,0.74,0.79,131170.0,
2020-07-09,,,,,,
2020-07-10,0.76,0.76,0.76,0.76,4560.0,
2020-07-13,0.75,0.79,0.74,0.75,75070.0,
2020-07-14,,,,,,
2020-07-15,0.75,0.75,0.75,0.75,750.0,
2020-07-16,0.75,0.75,0.75,0.75,15000.0,
2020-07-17,0.78,0.78,0.78,0.78,3120.0,
2020-07-20,0.77,0.77,0.77,0.77,8470.0,
2020-07-21,0.77,0.77,0.77,0.77,24640.0,
2020-07-22,,,,,,
2020-07-23,0.75,0.75,0.74,0.75,49020.0,
2020-07-24,,,,,,
2020-07-27,0.74,0.74,0.74,0.74,910200.0,
2020-07-28,0.75,0.75,0.75,0.75,3000.0,
2020-07-29,0.74,0.74,0.74,0.74,19240.0,
2020-07-30,,,,,,
2020-08-03,0.74,0.74,0.74,0.74,740.0,
