dt,open,high,low,close,value,volume
2020-03-02,73.0,76.45,72.65,73.2,10214146.0,
2020-03-03,73.25,78.0,73.25,77.1,11130374.5,
2020-03-04,77.1,77.2,73.5,74.75,9735889.0,
2020-03-05,74.75,75.65,74.75,74.95,1326958.5,
2020-03-06,74.95,74.95,71.25,71.3,12870436.5,
2020-03-09,71.3,71.3,66.3,66.4,19259729.0,
2020-03-10,66.4,66.4,64.0,64.25,9517964.5,
2020-03-11,64.25,64.7,64.15,64.4,20633136.5,
2020-03-12,66.0,66.0,56.05,58.0,9351438.5,
2020-03-13,45.0,52.85,45.0,48.0,27874401.0,
2020-03-16,48.0,48.75,46.0,47.6,10470060.0,
2020-03-19,46.0,46.0,38.6,38.7,37119435.0,
2020-03-20,40.0,41.5,39.15,39.9,13850670.0,
2020-03-23,39.95,40.0,35.0,36.7,10100895.0,
2020-03-24,38.0,38.95,36.0,36.1,10030815.0,
2020-03-25,37.0,42.5,37.0,38.5,26289860.0,
2020-03-26,38.8,41.8,38.8,41.0,31606040.0,
2020-03-27,41.9,44.5,41.5,43.45,25536335.0,
2020-03-30,43.45,46.5,41.0,46.5,13020165.0,
2020-03-31,47.0,47.5,45.0,45.3,13023645.0,
2020-04-01,46.5,46.9,44.0,45.55,11964960.0,
2020-04-02,46.0,46.5,44.9,45.5,5934545.0,
2020-04-03,46.0,46.85,45.35,46.6,7047280.0,
2020-04-06,46.6,48.4,46.05,48.1,6655805.0,
2020-04-07,48.75,52.0,48.5,50.95,17400850.0,
2020-04-08,50.95,51.95,48.0,48.05,24830697.0,
2020-04-13,48.05,50.0,48.0,49.6,8930780.0,
2020-04-14,50.0,51.5,50.0,50.6,23489290.0,
2020-04-15,51.2,54.5,51.2,53.8,24964449.0,
2020-04-16,54.0,54.1,49.6,50.4,13820769.0,
2020-04-17,53.05,54.0,51.45,51.75,13229653.5,
2020-04-20,51.8,53.5,51.8,52.85,5088239.5,
2020-04-21,52.85,52.85,49.5,49.65,10450057.5,
2020-04-22,49.65,49.7,47.0,47.75,16990080.0,
2020-04-23,47.85,49.3,47.05,47.05,14649235.0,
2020-04-24,47.05,48.0,47.0,47.55,6525800.0,
2020-04-27,47.55,48.3,47.3,48.3,6705120.0,
2020-04-28,48.35,49.0,47.85,49.0,5729310.0,
2020-04-29,49.75,50.0,49.1,49.4,3789835.0,
2020-04-30,50.0,50.05,47.35,48.35,19754825.0,
2020-05-04,48.0,48.0,45.0,46.85,12794310.0,
2020-05-05,46.85,48.0,46.8,48.0,7290165.0,
2020-05-06,47.0,47.5,46.45,46.55,7151255.0,
2020-05-07,47.0,47.85,45.95,46.8,12434865.0,
2020-05-08,46.8,47.0,44.5,44.5,18294580.0,
2020-05-11,44.65,45.55,44.65,44.95,5862005.0,
2020-05-12,45.0,45.1,43.0,43.25,9942140.0,
2020-05-13,43.7,43.7,43.2,43.35,4011600.0,
2020-05-14,43.95,43.95,42.8,42.8,5045120.0,
2020-05-15,42.9,43.8,41.9,41.95,5162235.0,
2020-05-18,41.95,43.5,38.8,39.6,8026155.0,
2020-05-19,40.15,43.0,39.7,40.0,4865880.0,
2020-05-20,40.9,41.75,39.45,39.45,4073635.0,
2020-05-21,39.55,40.0,37.5,37.5,12179890.0,
2020-05-22,37.4,37.5,35.25,35.35,17106075.0,
2020-05-26,35.35,35.5,31.05,31.2,28172400.0,
2020-05-27,32.0,32.7,31.5,31.8,17557155.0,
2020-05-28,33.9,33.9,32.75,33.2,47213525.0,
2020-05-29,35.0,40.9,35.0,36.05,82527530.0,
2020-06-01,37.8,39.4,37.5,39.25,32314095.0,
2020-06-02,40.0,44.8,40.0,43.0,42189155.0,
2020-06-03,45.0,46.1,40.15,43.75,49371920.0,
2020-06-04,44.1,44.6,41.65,44.6,29702600.0,
2020-06-05,44.8,46.3,42.7,45.7,32724465.0,
2020-06-08,46.3,52.0,46.3,51.75,55964130.0,
2020-06-09,53.8,55.0,48.85,52.1,70190578.5,
2020-06-10,50.3,51.5,49.1,49.1,46227738.0,
2020-06-11,48.5,49.3,46.0,49.0,37766900.0,
2020-06-15,46.95,47.0,44.0,44.0,45929145.0,
2020-06-16,44.6,46.0,44.0,44.95,35523555.0,
2020-06-17,46.5,46.95,43.55,44.45,48454945.0,
2020-06-18,44.6,44.9,42.05,43.0,30680225.0,
2020-06-19,42.7,43.0,41.0,41.9,56700500.0,
2020-06-22,42.0,42.7,41.3,42.0,16803780.0,
2020-06-23,42.0,42.3,41.25,41.8,14516885.0,
2020-06-24,41.5,41.9,41.0,41.5,32246895.0,
2020-06-25,40.5,40.95,39.5,39.5,21119700.0,
2020-06-26,39.5,42.0,39.5,42.0,19044270.0,
2020-06-29,41.95,41.95,39.0,39.75,12910595.0,
2020-06-30,41.0,41.0,39.6,39.6,22444915.0,
2020-07-01,40.4,40.45,39.55,40.0,5658915.0,
2020-07-02,40.3,43.0,39.55,43.0,21824010.0,
2020-07-03,43.5,45.2,41.6,42.9,19926505.0,
2020-07-06,43.05,44.85,43.0,43.5,19512190.0,
2020-07-07,44.0,44.8,43.6,43.8,15316395.0,
2020-07-08,44.15,44.15,40.1,41.4,14524990.0,
2020-07-09,41.55,42.4,41.5,42.2,4924265.0,
2020-07-10,42.2,42.4,40.0,41.15,5898455.0,
2020-07-13,39.7,40.95,39.6,40.25,8137385.0,
2020-07-14,40.25,41.0,40.0,40.15,4751750.0,
2020-07-15,40.15,40.15,39.0,39.1,6968105.0,
2020-07-16,39.15,40.7,39.15,39.8,3184085.0,
2020-07-17,40.55,40.55,38.2,38.45,9010345.0,
2020-07-20,38.65,39.1,38.5,38.7,4195885.0,
2020-07-21,39.25,39.9,39.05,39.9,2762300.0,
2020-07-22,39.9,40.45,39.5,40.0,2315515.0,
2020-07-23,40.45,40.45,38.0,38.6,5849830.0,
2020-07-24,38.6,38.6,38.2,38.4,9207260.0,
2020-07-27,38.1,38.1,37.0,37.05,7221635.0,
2020-07-28,37.05,37.15,36.8,37.15,5594790.0,
2020-07-29,37.2,37.5,37.15,37.35,6732225.0,
2020-07-30,37.15,37.6,37.0,37.6,4534265.0,
2020-08-03,36.9,36.9,35.1,35.1,10249815.0,
2020-08-04,,,,35.3,,126200.0
2020-08-05,,,,39.65,,585100.0
2020-08-06,,,,37.9,,114500.0
2020-08-07,,,,37.6,,90500.0
2020-08-10,,,,37.5,,71400.0
2020-08-11,,,,38.85,,181400.0
2020-08-12,,,,41.0,,239300.0
2020-08-13,,,,40.0,,189500.0
2020-08-14,,,,40.1,,233200.0
2020-08-17,,,,39.45,,136900.0
2020-08-18,,,,39.0,,153700.0
2020-08-19,,,,38.85,,172000.0
2020-08-20,,,,38.4,,122600.0
2020-08-24,,,,37.3,,243400.0
2020-08-25,,,,36.9,,264500.0
2020-08-26,,,,36.45,,272700.0
2020-08-27,,,,36.0,,327400.0
2020-08-28,,,,35.65,,645600.0
2020-09-01,,,,36.0,,342300.0
2020-09-02,,,,36.0,,260000.0
2020-09-03,,,,35.75,,107500.0
2020-09-04,,,,35.65,,83000.0
2020-09-07,,,,36.9,,93500.0
2020-09-08,,,,38.55,,1008700.0
2020-09-09,,,,37.8,,149000.0
2020-09-10,,,,36.65,,425400.0
2020-09-11,,,,37.5,,147100.0
2020-09-14,,,,37.55,,202900.0
2020-09-15,,,,38.0,,219100.0
2020-09-16,,,,38.0,,177600.0
2020-09-17,,,,37.9,,127200.0
2020-09-18,,,,37.0,,334400.0
2020-09-21,,,,36.5,,159700.0
2020-09-22,,,,36.2,,243500.0
2020-09-23,,,,36.05,,264700.0
2020-09-24,,,,36.55,,80500.0
2020-09-25,,,,36.95,,275600.0
2020-09-28,,,,37.0,,371800.0
