dt,open,high,low,close,value,volume
2020-03-02,0.16399999999999998,0.16399999999999998,0.16,0.161,312230.0,
2020-03-03,0.16,0.166,0.16,0.162,147050.0,
2020-03-04,0.163,0.165,0.163,0.165,24670.0,
2020-03-05,0.166,0.166,0.163,0.163,38090.0,
2020-03-06,0.177,0.177,0.161,0.161,45750.0,
2020-03-09,0.161,0.161,0.153,0.153,734110.0,
2020-03-10,0.152,0.17600000000000002,0.152,0.172,11890.0,
2020-03-11,0.175,0.175,0.17,0.17,355200.0,
2020-03-12,0.151,0.151,0.14,0.14,165110.0,
2020-03-13,0.135,0.135,0.135,0.135,44550.0,
2020-03-16,0.136,0.13699999999999998,0.135,0.135,283170.0,
2020-03-19,0.134,0.134,0.12,0.12,162810.0,
2020-03-20,0.121,0.121,0.12,0.12,9640.0,
2020-03-23,0.12,0.12,0.115,0.115,65700.0,
2020-03-24,0.115,0.12,0.115,0.12,72650.0,
2020-03-25,,,,,,
2020-03-26,0.114,0.11800000000000001,0.114,0.11800000000000001,2320.0,
2020-03-27,0.11800000000000001,0.14,0.11800000000000001,0.131,2212930.0,
2020-03-30,0.133,0.133,0.128,0.128,50680.0,
2020-03-31,0.127,0.127,0.127,0.127,10160.0,
2020-04-01,0.127,0.127,0.127,0.127,3810.0,
2020-04-02,0.11599999999999999,0.11699999999999999,0.11599999999999999,0.11599999999999999,228640.0,
2020-04-03,0.12,0.12,0.11900000000000001,0.12,233810.0,
2020-04-06,0.135,0.135,0.135,0.135,5400.0,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,0.12,0.129,0.12,0.129,7650.0,
2020-04-14,0.12,0.132,0.12,0.13,19120.0,
2020-04-15,0.13,0.13,0.129,0.129,3880.0,
2020-04-16,0.14400000000000002,0.14400000000000002,0.12,0.12,379730.0,
2020-04-17,0.125,0.125,0.122,0.122,3690.0,
2020-04-20,,,,,,
2020-04-21,0.121,0.132,0.121,0.13,15100.0,
2020-04-22,0.131,0.131,0.129,0.129,14320.0,
