dt,open,high,low,close,value,volume
2020-03-02,6.4,6.4,6.4,6.4,3200.0,
2020-03-03,6.4,6.4,6.4,6.4,26240.0,
2020-03-04,6.1,6.35,6.02,6.35,335605.0,
2020-03-05,,,,,,
2020-03-06,6.08,6.4,6.08,6.4,914672.0,
2020-03-09,6.39,6.39,6.39,6.39,639.0,
2020-03-10,6.38,6.4,5.9,6.1,738779.0,
2020-03-11,5.92,6.1,5.92,6.1,173836.0,
2020-03-12,5.74,6.04,5.74,6.04,115404.0,
2020-03-13,5.72,6.0,5.23,6.0,855977.0,
2020-03-16,,,,,,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,5.02,5.8,5.02,5.8,91690.0,
2020-03-24,5.8,5.8,5.8,5.8,580.0,
2020-03-25,5.9,6.1,5.5,6.1,79560.0,
2020-03-26,6.08,6.1,6.08,6.1,522100.0,
2020-03-27,,,,,,
2020-03-30,6.1,6.1,6.1,6.1,417240.0,
2020-03-31,,,,,,
2020-04-01,6.06,6.1,5.99,6.0,1328771.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,5.9,6.04,5.6,6.04,8272.0,
2020-04-07,,,,,,
2020-04-08,6.04,6.04,6.04,6.04,14496.0,
2020-04-13,,,,,,
2020-04-14,6.04,6.04,6.04,6.04,58588.0,
2020-04-15,,,,,,
2020-04-16,6.03,6.03,6.03,6.03,603.0,
2020-04-17,6.04,6.04,6.04,6.04,1812.0,
2020-04-20,,,,,,
2020-04-21,5.9,5.9,5.9,5.9,4720.0,
2020-04-22,5.9,5.9,5.9,5.9,43660.0,
2020-04-23,5.9,6.0,5.9,5.99,390563.0,
2020-04-24,5.9,5.99,5.9,5.9,17709.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,5.9,5.9,5.9,5.9,590.0,
2020-04-30,5.9,5.9,5.9,5.9,11800.0,
2020-05-04,,,,,,
2020-05-05,5.9,5.9,5.5,5.5,41840.0,
2020-05-06,5.98,5.98,5.42,5.98,21124.0,
2020-05-07,5.9,5.9,5.9,5.9,18290.0,
2020-05-08,5.9,5.9,5.9,5.9,1770.0,
2020-05-11,,,,,,
2020-05-12,5.8,5.9,5.8,5.9,4120.0,
2020-05-13,5.7,5.7,5.7,5.7,17100.0,
2020-05-14,5.52,5.52,5.52,5.52,3864.0,
2020-05-15,5.52,5.7,5.52,5.7,65706.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,5.5,5.5,5.5,5.5,52800.0,
2020-05-22,5.5,5.5,5.5,5.5,276100.0,
2020-05-26,,,,,,
2020-05-27,5.5,5.5,5.5,5.5,9900.0,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,5.5,6.08,5.5,6.07,741403.0,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,6.05,6.38,6.05,6.38,1294784.0,
2020-06-05,6.38,6.38,6.37,6.37,219766.0,
2020-06-08,5.56,5.56,5.56,5.56,10008.0,
2020-06-09,6.38,6.39,6.2,6.37,380116.0,
2020-06-10,6.38,6.38,6.02,6.38,88270.0,
2020-06-11,6.1,6.36,6.1,6.36,10124.0,
2020-06-15,6.38,6.38,6.0,6.37,3112.0,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,6.0,6.2,6.0,6.2,193190.0,
2020-06-23,6.2,6.2,6.0,6.0,49220.0,
2020-06-24,6.0,6.0,6.0,6.0,391200.0,
