dt,open,high,low,close,value,volume
2020-03-02,25.0,25.0,24.75,24.85,1635330.0,
2020-03-03,24.8,25.0,24.75,24.9,7636260.0,
2020-03-04,24.8,24.9,24.75,24.9,228460.0,
2020-03-05,24.75,24.9,24.75,24.9,1088210.0,
2020-03-06,24.8,24.95,24.8,24.8,11310705.0,
2020-03-09,24.55,24.55,22.7,23.4,5291980.0,
2020-03-10,23.3,23.9,22.2,23.0,1886730.0,
2020-03-11,23.0,23.35,22.7,23.15,2242805.0,
2020-03-12,23.1,23.1,21.0,21.0,3193090.0,
2020-03-13,21.0,21.0,18.0,20.95,1984488.0,
2020-03-16,20.95,20.95,20.0,20.0,579425.0,
2020-03-19,19.98,19.98,17.0,18.4,1234256.0,
2020-03-20,19.0,20.0,19.0,20.0,928930.0,
2020-03-23,18.4,21.0,18.4,19.86,3350828.0,
2020-03-24,22.8,22.8,20.0,20.75,3313580.0,
2020-03-25,22.4,22.4,20.9,21.1,1760950.0,
2020-03-26,21.05,21.05,20.0,20.95,1072400.0,
2020-03-27,21.0,21.0,20.0,20.1,5480660.0,
2020-03-30,20.7,20.7,19.72,19.8,3200422.0,
2020-03-31,20.45,20.6,20.1,20.15,1090900.0,
2020-04-01,20.8,20.8,19.72,20.7,184097.0,
2020-04-02,20.5,20.5,20.0,20.15,547265.0,
2020-04-03,20.2,20.2,19.98,19.98,1711108.0,
2020-04-06,20.1,20.1,19.98,20.0,1127798.0,
2020-04-07,21.0,21.0,19.94,20.8,1470911.0,
2020-04-08,20.75,20.75,20.15,20.4,776090.0,
2020-04-13,20.4,20.4,19.76,19.9,9680148.0,
2020-04-14,19.9,20.0,19.8,19.9,7120836.0,
2020-04-15,19.9,20.2,19.86,20.1,5769906.0,
2020-04-16,20.1,20.1,19.88,19.96,3987228.0,
2020-04-17,19.86,20.0,19.86,19.94,2537038.0,
2020-04-20,19.86,19.92,19.86,19.9,1964190.0,
2020-04-21,19.9,19.92,19.88,19.9,3212272.0,
2020-04-22,19.96,19.96,19.86,19.88,2437408.0,
2020-04-23,19.88,19.96,19.82,19.92,2519310.0,
2020-04-24,19.9,19.98,19.84,19.84,2252210.0,
2020-04-27,19.84,19.86,19.78,19.8,2078918.0,
2020-04-28,19.78,19.8,19.7,19.74,1693764.0,
2020-04-29,19.8,19.84,19.74,19.74,1242056.0,
2020-04-30,19.82,19.82,19.72,19.74,1730350.0,
2020-05-04,19.74,19.82,19.72,19.74,2737786.0,
2020-05-05,19.72,19.74,19.7,19.72,2835756.0,
2020-05-06,19.72,19.8,19.7,19.72,1231010.0,
2020-05-07,19.8,19.8,19.7,19.7,3585688.0,
2020-05-08,19.8,19.8,19.7,19.72,1796392.0,
2020-05-11,19.72,19.82,19.7,19.72,1489308.0,
2020-05-12,19.72,19.8,19.7,19.72,3612350.0,
2020-05-13,19.7,19.72,19.66,19.68,1842880.0,
2020-05-14,19.7,19.7,19.58,19.58,2285794.0,
2020-05-15,19.6,19.6,19.54,19.54,1633504.0,
2020-05-18,19.56,19.56,19.4,19.4,4456540.0,
2020-05-19,19.54,19.54,19.4,19.4,495008.0,
2020-05-20,19.5,19.5,19.34,19.38,1060518.0,
2020-05-21,19.38,19.4,19.28,19.3,5034514.0,
2020-05-22,19.28,19.3,19.2,19.22,4431274.0,
2020-05-26,19.22,19.22,18.98,18.98,14428512.0,
2020-05-27,19.0,19.0,18.88,18.9,5639474.0,
2020-05-28,18.92,18.94,18.9,18.94,3370358.0,
2020-05-29,18.88,18.94,18.86,18.9,4854608.0,
2020-06-01,18.92,19.0,18.88,19.0,5333098.0,
2020-06-02,19.0,19.46,18.88,19.38,1890644.0,
2020-06-03,19.38,19.78,19.38,19.78,5946030.0,
2020-06-04,19.8,20.5,19.8,20.45,4801484.0,
2020-06-05,20.45,20.5,19.6,20.3,1926815.0,
2020-06-08,20.4,20.65,20.3,20.6,7382985.0,
2020-06-09,20.6,20.9,20.55,20.9,2233345.0,
2020-06-10,20.9,20.95,20.6,20.8,3158785.0,
2020-06-11,20.8,20.8,20.3,20.7,1212680.0,
2020-06-15,20.6,20.6,19.7,19.8,8677262.0,
2020-06-16,20.5,20.5,19.7,20.0,4333130.0,
2020-06-17,20.3,20.3,19.84,20.0,2891226.0,
2020-06-18,20.05,20.3,20.05,20.25,15383655.0,
2020-06-19,20.5,20.8,20.25,20.4,9731815.0,
2020-06-22,20.5,21.45,20.5,21.35,22124770.0,
2020-06-23,21.35,21.4,21.1,21.3,3543300.0,
2020-06-24,21.4,21.6,21.35,21.5,4528300.0,
2020-06-25,21.6,21.6,21.25,21.25,2168955.0,
2020-06-26,21.3,22.0,21.25,21.95,15411490.0,
2020-06-29,21.95,21.95,21.65,21.9,6174505.0,
2020-06-30,21.5,21.5,20.0,21.0,2757950.0,
2020-07-01,21.0,21.0,20.1,21.0,8695930.0,
2020-07-02,21.0,21.0,20.5,21.0,13261755.0,
2020-07-03,20.8,21.0,20.8,21.0,1593770.0,
2020-07-06,21.0,21.0,20.5,20.9,1271290.0,
2020-07-07,21.15,21.2,20.7,21.0,653065.0,
2020-07-08,20.75,21.0,20.75,21.0,1365100.0,
2020-07-09,21.0,21.0,20.7,21.0,2873750.0,
2020-07-10,20.7,21.0,20.7,21.0,1281225.0,
2020-07-13,20.55,20.8,20.25,20.45,1175990.0,
2020-07-14,20.45,20.45,20.0,20.45,2133255.0,
2020-07-15,20.0,20.75,20.0,20.4,1031540.0,
2020-07-16,20.4,21.0,20.4,20.95,7850080.0,
2020-07-17,20.25,20.5,20.2,20.45,1208285.0,
2020-07-20,20.2,20.2,20.0,20.1,2373200.0,
2020-07-21,20.2,20.2,20.0,20.1,2835245.0,
2020-07-22,20.2,20.2,20.0,20.0,2896210.0,
2020-07-23,20.05,20.05,19.9,20.0,1782886.0,
2020-07-24,20.0,20.0,19.9,19.94,1630756.0,
2020-07-27,20.0,20.0,19.9,19.96,1184530.0,
2020-07-28,20.0,20.0,19.92,20.0,1241934.0,
2020-07-29,19.92,20.0,19.92,20.0,1550042.0,
2020-07-30,19.9,20.05,19.9,19.98,22301659.0,
2020-08-03,20.05,20.05,19.4,19.4,1237387.0,
2020-08-04,,,,20.0,,99200.0
2020-08-05,,,,20.05,,78400.0
2020-08-06,,,,20.05,,74000.0
2020-08-07,,,,20.05,,192500.0
2020-08-10,,,,20.2,,207100.0
2020-08-11,,,,20.05,,64900.0
2020-08-12,,,,20.25,,195800.0
2020-08-13,,,,20.3,,88600.0
2020-08-14,,,,20.25,,74000.0
2020-08-17,,,,20.3,,56300.0
2020-08-18,,,,20.3,,107600.0
2020-08-19,,,,20.4,,60400.0
2020-08-20,,,,20.5,,58400.0
2020-08-24,,,,20.55,,75700.0
2020-08-25,,,,20.5,,150500.0
2020-08-26,,,,20.6,,67000.0
2020-08-27,,,,20.6,,55300.0
2020-08-28,,,,20.6,,46100.0
