dt,open,high,low,close,value,volume
2020-03-02,31.5,31.5,30.0,30.0,18450.0,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,31.2,31.2,31.2,31.2,6240.0,
2020-03-09,28.85,28.85,28.5,28.5,14285.0,
2020-03-10,28.0,29.0,28.0,29.0,205600.0,
2020-03-11,29.0,29.0,29.0,29.0,5800.0,
2020-03-12,29.0,29.0,25.0,25.0,114400.0,
2020-03-13,25.0,25.0,25.0,25.0,7500.0,
2020-03-16,30.45,30.45,30.45,30.45,6090.0,
2020-03-19,,,,,,
2020-03-20,29.95,29.95,29.0,29.0,5895.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,28.95,28.95,28.9,28.95,298155.0,
2020-04-01,28.95,28.95,28.95,28.95,2895.0,
2020-04-02,28.0,28.0,27.85,27.85,33525.0,
2020-04-03,25.05,25.05,25.05,25.05,2505.0,
2020-04-06,25.05,25.05,25.05,25.05,30060.0,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,25.15,25.15,25.0,25.0,40140.0,
2020-04-14,28.85,28.85,28.5,28.5,37260.0,
2020-04-15,28.5,28.85,28.5,28.85,11470.0,
2020-04-16,22.2,22.2,22.2,22.2,2220.0,
2020-04-17,28.3,28.3,27.75,27.8,120650.0,
2020-04-20,27.0,27.0,26.5,26.5,31900.0,
2020-04-21,25.0,25.0,24.0,25.0,224895.0,
2020-04-22,25.0,25.0,25.0,25.0,125000.0,
2020-04-23,25.0,25.0,25.0,25.0,15000.0,
2020-04-24,24.3,24.3,23.55,24.0,525730.0,
2020-04-27,27.5,27.9,27.5,27.9,5540.0,
2020-04-28,25.4,25.4,25.0,25.2,196955.0,
2020-04-29,25.0,25.0,24.75,24.75,296960.0,
2020-04-30,26.5,26.5,24.0,24.0,364005.0,
2020-05-04,25.7,25.7,23.95,24.0,72330.0,
2020-05-05,24.0,24.0,23.5,23.8,234895.0,
2020-05-06,23.6,23.6,23.6,23.6,2360.0,
2020-05-07,23.6,23.7,23.6,23.6,306820.0,
2020-05-08,23.4,23.4,23.3,23.4,44370.0,
2020-05-11,23.4,24.0,23.4,24.0,11820.0,
2020-05-12,24.0,24.0,23.4,23.4,171900.0,
2020-05-13,,,,,,
2020-05-14,23.0,23.0,23.0,23.0,23000.0,
2020-05-15,23.95,24.0,23.95,23.95,28790.0,
2020-05-18,23.95,24.0,23.95,24.0,38395.0,
2020-05-19,23.3,23.3,23.0,23.0,18610.0,
2020-05-20,23.0,24.0,23.0,23.0,125540.0,
2020-05-21,23.0,23.0,23.0,23.0,128800.0,
2020-05-22,22.75,23.0,22.75,23.0,63935.0,
2020-05-26,22.75,22.75,22.75,22.75,6825.0,
2020-05-27,,,,,,
2020-05-28,22.75,22.8,22.75,22.8,18225.0,
2020-05-29,24.0,24.5,24.0,24.5,34150.0,
2020-06-01,24.4,24.4,24.0,24.0,7240.0,
2020-06-02,24.0,24.0,23.9,24.0,79190.0,
2020-06-03,24.0,24.0,24.0,24.0,19200.0,
2020-06-04,23.0,24.0,23.0,24.0,5234500.0,
2020-06-05,23.0,24.0,23.0,23.0,49660.0,
2020-06-08,22.25,23.0,22.25,22.5,541455.0,
2020-06-09,22.5,22.95,22.5,22.5,427865.0,
2020-06-10,23.0,24.0,22.5,22.5,112850.0,
2020-06-11,22.25,22.5,22.25,22.5,171625.0,
2020-06-15,22.5,22.5,22.0,22.0,160280.0,
2020-06-16,22.0,22.0,22.0,22.0,156200.0,
2020-06-17,22.05,22.05,21.5,21.5,78630.0,
2020-06-18,21.5,21.5,20.2,20.3,275980.0,
2020-06-19,21.0,21.0,20.9,20.95,308165.0,
2020-06-22,21.0,21.0,20.5,20.5,220135.0,
2020-06-23,20.5,20.95,20.4,20.9,160990.0,
2020-06-24,21.0,21.85,21.0,21.0,166930.0,
2020-06-25,21.0,21.0,20.55,20.55,18545.0,
2020-06-26,20.55,21.0,20.0,20.0,98745.0,
2020-06-29,20.0,20.85,19.0,20.2,86170.0,
2020-06-30,20.0,20.95,20.0,20.95,45250.0,
2020-07-01,20.95,20.95,20.95,20.95,2095.0,
2020-07-02,20.95,20.95,20.0,20.9,194960.0,
2020-07-03,20.7,20.7,19.8,20.3,80915.0,
2020-07-06,20.0,20.3,20.0,20.0,43071135.0,
2020-07-07,20.45,20.9,20.0,20.9,2105720.0,
2020-07-08,20.1,20.1,20.1,20.1,10050.0,
2020-07-09,20.3,20.3,19.0,19.0,293658.0,
2020-07-10,19.12,19.96,19.12,19.7,12604148.0,
2020-07-13,19.7,19.8,19.16,19.18,16630230.0,
2020-07-14,20.25,20.3,20.25,20.3,14190.0,
2020-07-15,20.3,20.3,20.0,20.0,20210.0,
2020-07-16,,,,,,
2020-07-17,20.5,20.5,19.06,19.06,3956.0,
2020-07-20,,,,,,
2020-07-21,19.1,19.1,18.98,19.0,239484.0,
2020-07-22,,,,,,
2020-07-23,18.74,18.74,18.5,18.5,26056.0,
2020-07-24,18.5,18.8,18.5,18.8,57710.0,
2020-07-27,18.14,18.14,17.04,17.58,93812.0,
2020-07-28,17.58,19.0,17.58,19.0,7669682.0,
2020-07-29,18.98,19.0,18.98,19.0,3809490.0,
2020-07-30,,,,,,
2020-08-03,19.5,19.92,17.62,18.0,114642.0,
2020-08-04,,,,18.2,,2200.0
2020-08-05,,,,18.1,,1500.0
2020-08-06,,,,18.96,,2200.0
2020-08-07,,,,19.0,,400.0
2020-08-10,,,,19.0,,400.0
2020-08-11,,,,19.0,,411700.0
2020-08-12,,,,18.44,,281400.0
2020-08-13,,,,18.0,,217200.0
2020-08-14,,,,18.0,,500.0
2020-08-17,,,,18.0,,6200.0
2020-08-18,,,,18.8,,207700.0
2020-08-20,,,,19.0,,594200.0
2020-08-24,,,,19.0,,534600.0
2020-08-25,,,,18.64,,1300.0
2020-08-26,,,,18.64,,100.0
2020-08-27,,,,19.0,,203700.0
2020-08-28,,,,18.82,,1400.0
2020-09-01,,,,18.74,,470800.0
2020-09-03,,,,19.0,,100.0
2020-09-04,,,,19.0,,600.0
2020-09-07,,,,20.1,,11100.0
2020-09-08,,,,19.9,,8400.0
2020-09-09,,,,19.92,,900.0
2020-09-10,,,,20.0,,45600.0
2020-09-11,,,,19.5,,3600.0
2020-09-14,,,,21.0,,11300.0
2020-09-15,,,,21.0,,2400.0
2020-09-16,,,,20.0,,14100.0
2020-09-17,,,,20.75,,63200.0
2020-09-22,,,,20.95,,1700.0
2020-09-23,,,,21.95,,11100.0
2020-09-24,,,,21.9,,5700.0
2020-09-25,,,,21.5,,1600.0
2020-09-28,,,,21.4,,3400.0
