dt,open,high,low,close,value,volume
2020-03-02,224.8,224.8,224.8,224.8,2248.0,
2020-03-03,224.6,224.6,220.0,220.0,28876.0,
2020-03-04,,,,,,
2020-03-05,218.0,218.0,218.0,218.0,45780.0,
2020-03-06,171.0,188.0,171.0,188.0,10770.0,
2020-03-09,160.0,180.0,160.0,180.0,8250.0,
2020-03-10,200.0,200.0,190.0,190.0,44940.0,
2020-03-11,,,,,,
2020-03-12,150.1,150.1,140.0,140.0,43606.0,
2020-03-13,140.0,140.0,125.0,140.0,31500.0,
2020-03-16,140.0,140.0,140.0,140.0,2800.0,
2020-03-19,140.0,140.0,140.0,140.0,40600.0,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,,,,,,
2020-04-08,,,,,,
2020-04-13,,,,,,
2020-04-14,,,,,,
2020-04-15,,,,,,
2020-04-16,,,,,,
2020-04-17,104.0,104.0,104.0,104.0,12480.0,
2020-04-20,129.8,156.0,129.8,156.0,122566.0,
2020-04-21,157.0,157.0,156.0,156.0,6250.0,
2020-04-22,,,,,,
2020-04-23,120.6,140.3,120.6,140.3,28958.0,
2020-04-24,140.3,140.3,140.3,140.3,7015.0,
2020-04-27,,,,,,
2020-04-28,,,,,,
2020-04-29,188.6,188.6,180.0,183.9,78650.0,
2020-04-30,180.0,180.0,180.0,180.0,48600.0,
2020-05-04,,,,,,
2020-05-05,141.1,170.9,141.1,170.9,11665.0,
2020-05-06,170.9,170.9,170.9,170.9,3418.0,
2020-05-07,,,,,,
2020-05-08,,,,,,
2020-05-11,,,,,,
2020-05-12,141.3,141.3,141.3,141.3,7065.0,
2020-05-13,142.0,142.1,142.0,142.1,2841.0,
2020-05-14,142.3,142.3,140.0,141.5,177766.0,
2020-05-15,,,,,,
2020-05-18,138.0,138.0,138.0,138.0,13800.0,
2020-05-19,,,,,,
2020-05-20,138.0,138.0,138.0,138.0,27600.0,
2020-05-21,138.0,138.0,138.0,138.0,13800.0,
2020-05-22,130.0,130.0,130.0,130.0,13000.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,130.3,130.3,130.3,130.3,1303.0,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,,,,,,
2020-06-05,,,,,,
2020-06-08,131.0,131.0,131.0,131.0,2620.0,
2020-06-09,,,,,,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,,,,,,
2020-06-18,131.0,131.0,131.0,131.0,27510.0,
2020-06-19,,,,,,
2020-06-22,110.6,115.0,110.6,115.0,6856.0,
2020-06-23,146.9,146.9,130.0,135.0,49619.0,
2020-06-24,135.0,135.0,125.0,125.0,15980.0,
2020-06-25,,,,,,
2020-06-26,120.0,120.1,120.0,120.1,2401.0,
2020-06-29,120.2,120.2,120.2,120.2,27646.0,
2020-06-30,110.7,129.0,110.7,129.0,5901.0,
2020-07-01,,,,,,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,129.0,129.0,129.0,129.0,1290.0,
2020-07-08,115.3,129.0,115.3,129.0,26946.0,
2020-07-09,,,,,,
2020-07-10,,,,,,
2020-07-13,,,,,,
2020-07-14,,,,,,
2020-07-15,,,,,,
2020-07-16,,,,,,
2020-07-17,,,,,,
2020-07-20,,,,,,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,,,,,,
2020-07-27,146.9,146.9,146.9,146.9,1469.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,118.0,140.0,118.0,140.0,2580.0,
2020-08-03,,,,,,
2020-08-11,,,,116.0,,40.0
2020-08-13,,,,117.0,,10.0
2020-08-14,,,,117.0,,150.0
2020-08-24,,,,115.0,,330.0
2020-08-26,,,,116.0,,50.0
2020-09-01,,,,112.1,,310.0
2020-09-04,,,,110.8,,20.0
2020-09-07,,,,110.8,,100.0
2020-09-08,,,,110.9,,10.0
2020-09-10,,,,110.9,,40.0
2020-09-14,,,,110.8,,10.0
2020-09-16,,,,110.8,,260.0
2020-09-17,,,,110.8,,30.0
2020-09-22,,,,110.8,,10.0
2020-09-23,,,,130.0,,970.0
2020-09-25,,,,120.0,,20.0
2020-09-28,,,,113.1,,70.0
