dt,open,high,low,close,value,volume
2020-03-02,4.5,4.55,4.49,4.49,352100.0,
2020-03-03,4.41,4.59,4.41,4.59,1823570.0,
2020-03-04,4.59,4.59,4.54,4.55,336940.0,
2020-03-05,4.55,4.55,4.5,4.55,1317810.0,
2020-03-06,4.42,4.58,4.42,4.52,185740.0,
2020-03-09,4.5,4.5,4.16,4.34,1660800.0,
2020-03-10,4.3,4.34,4.14,4.3,1278200.0,
2020-03-11,4.47,4.47,4.38,4.4,1423950.0,
2020-03-12,4.33,4.33,4.01,4.28,1775570.0,
2020-03-13,4.01,4.2,3.88,4.15,1063450.0,
2020-03-16,4.11,4.11,4.02,4.03,380460.0,
2020-03-19,3.8,4.42,3.8,4.06,1106820.0,
2020-03-20,3.92,4.04,3.8,3.94,4432170.0,
2020-03-23,3.92,3.92,3.6,3.89,1475110.0,
2020-03-24,3.68,3.89,3.61,3.82,3207340.0,
2020-03-25,3.87,4.0,3.69,4.0,1853880.0,
2020-03-26,3.99,3.99,3.85,3.99,763190.0,
2020-03-27,4.0,4.0,3.9,3.93,1299900.0,
2020-03-30,3.85,3.99,3.6,3.9,4416330.0,
2020-03-31,3.8,3.8,3.7,3.72,1883380.0,
2020-04-01,3.7,3.95,3.7,3.8,1720720.0,
2020-04-02,3.88,3.9,3.7,3.9,1226730.0,
2020-04-03,3.89,3.95,3.72,3.95,3230040.0,
2020-04-06,3.8,3.9,3.73,3.8,4875540.0,
2020-04-07,3.8,3.9,3.0,3.8,13019270.0,
2020-04-08,3.8,3.8,3.77,3.8,4173310.0,
2020-04-13,3.8,3.8,3.7,3.8,2679250.0,
2020-04-14,3.8,3.8,3.71,3.79,2216080.0,
2020-04-15,3.79,3.95,3.69,3.95,20883760.0,
2020-04-16,3.93,4.1,3.8,4.0,3058130.0,
2020-04-17,4.04,4.2,4.01,4.03,3262200.0,
2020-04-20,4.03,4.17,4.0,4.03,2399380.0,
2020-04-21,4.0,4.09,3.91,4.01,1735370.0,
2020-04-22,3.91,4.01,3.9,4.01,3437570.0,
2020-04-23,4.0,4.02,3.98,4.02,1509300.0,
2020-04-24,3.95,3.98,3.92,3.98,674630.0,
2020-04-27,3.97,4.02,3.91,3.98,954570.0,
2020-04-28,3.9,3.98,3.9,3.98,2068800.0,
2020-04-29,3.98,3.98,3.91,3.98,5100430.0,
2020-04-30,3.98,4.06,3.98,4.06,12929760.0,
2020-05-04,4.0,4.14,4.0,4.13,1577990.0,
2020-05-05,4.12,4.14,4.07,4.13,1528090.0,
2020-05-06,4.14,4.16,4.03,4.14,1913580.0,
2020-05-07,4.14,4.15,4.05,4.15,1316580.0,
2020-05-08,4.06,4.15,4.06,4.14,1246450.0,
2020-05-11,4.13,4.14,4.06,4.14,842650.0,
2020-05-12,4.03,4.14,4.03,4.14,624740.0,
2020-05-13,4.04,4.14,4.04,4.13,794920.0,
2020-05-14,4.09,4.09,4.0,4.01,1551990.0,
2020-05-15,3.99,4.03,3.93,3.98,1409530.0,
2020-05-18,3.95,4.03,3.95,4.02,525100.0,
2020-05-19,4.01,4.01,3.96,3.96,648800.0,
2020-05-20,3.98,3.98,3.95,3.98,305800.0,
2020-05-21,3.98,3.98,3.81,3.97,507010.0,
2020-05-22,3.97,3.97,3.85,3.9,1454020.0,
2020-05-26,3.85,3.97,3.8,3.83,5977310.0,
2020-05-27,3.83,3.83,3.7,3.71,3032300.0,
2020-05-28,3.73,3.73,3.63,3.66,8970640.0,
2020-05-29,3.66,3.7,3.63,3.69,3512330.0,
2020-06-01,3.69,3.73,3.69,3.71,691850.0,
2020-06-02,3.71,3.8,3.64,3.65,28182340.0,
2020-06-03,3.66,3.9,3.66,3.8,9486950.0,
2020-06-04,3.88,4.0,3.87,3.95,4179300.0,
