dt,open,high,low,close,value,volume
2020-03-02,14.5,14.5,14.12,14.24,2090956.0,
2020-03-03,14.24,14.3,14.14,14.24,6812986.0,
2020-03-04,14.22,14.24,14.2,14.2,39055152.0,
2020-03-05,14.22,14.34,14.22,14.3,6548614.0,
2020-03-06,14.2,14.4,14.1,14.4,3976108.0,
2020-03-09,14.3,14.3,13.98,14.0,65651410.0,
2020-03-10,13.8,14.02,13.7,14.0,17279742.0,
2020-03-11,14.0,14.2,13.8,13.8,9161816.0,
2020-03-12,13.66,13.66,13.0,13.0,35216616.0,
2020-03-13,13.0,13.1,12.32,13.1,6777400.0,
2020-03-16,13.0,13.08,12.6,13.0,16844530.0,
2020-03-19,13.08,13.08,9.53,10.08,6911421.0,
2020-03-20,10.3,10.98,10.3,10.8,66677692.0,
2020-03-23,10.96,10.96,10.5,10.56,33773352.0,
2020-03-24,10.8,10.8,10.5,10.62,11211528.0,
2020-03-25,10.88,11.06,10.78,11.04,3718402.0,
2020-03-26,11.3,12.8,11.28,12.8,8446342.0,
2020-03-27,13.0,13.98,13.0,13.24,1948062.0,
2020-03-30,13.3,13.5,12.7,13.5,1578516.0,
2020-03-31,13.5,13.76,13.46,13.5,887466.0,
2020-04-01,13.5,13.56,13.4,13.5,20916974.0,
2020-04-02,13.6,13.8,13.6,13.7,20341310.0,
2020-04-03,14.0,14.0,13.7,13.88,1725086.0,
2020-04-06,13.9,14.0,13.88,13.88,38762148.0,
2020-04-07,13.9,14.4,13.9,14.3,7777764.0,
2020-04-08,14.3,14.3,14.04,14.3,6407558.0,
2020-04-13,14.3,14.3,14.02,14.14,824320.0,
2020-04-14,14.2,14.78,14.2,14.6,2637648.0,
2020-04-15,14.78,14.8,14.4,14.44,9068770.0,
2020-04-16,14.66,14.66,14.4,14.44,17250746.0,
2020-04-17,14.44,14.66,14.38,14.38,5302640.0,
2020-04-20,14.38,14.64,14.38,14.38,41694140.0,
2020-04-21,14.42,14.42,14.38,14.42,22512550.0,
2020-04-22,14.5,14.5,13.8,13.8,9065204.0,
2020-04-23,13.92,14.0,13.92,13.98,3741544.0,
2020-04-24,14.0,14.06,14.0,14.0,8975352.0,
2020-04-27,14.08,14.34,14.0,14.0,6858038.0,
2020-04-28,14.38,14.38,14.24,14.3,5451916.0,
2020-04-29,14.3,14.4,14.28,14.3,32546684.0,
2020-04-30,14.5,14.56,14.3,14.3,4348414.0,
2020-05-04,14.32,14.4,14.2,14.3,7999808.0,
2020-05-05,14.2,14.34,14.2,14.3,12662952.0,
2020-05-06,14.3,14.58,14.28,14.3,13383586.0,
2020-05-07,14.3,14.38,14.26,14.3,25460324.0,
2020-05-08,14.5,14.66,14.32,14.5,33409574.0,
2020-05-11,14.8,15.2,14.8,15.0,37768112.0,
2020-05-12,15.3,15.46,15.22,15.28,16299546.0,
2020-05-13,15.28,15.28,15.0,15.26,11291402.0,
2020-05-14,15.26,15.42,15.24,15.3,20355592.0,
2020-05-15,15.3,15.34,15.2,15.28,15400678.0,
2020-05-18,15.3,15.38,15.24,15.28,15839354.0,
2020-05-19,15.44,15.44,15.28,15.3,10401026.0,
