dt,open,high,low,close,value,volume
2020-03-02,0.27,0.27,0.27,0.27,40500.0,
2020-03-03,,,,,,
2020-03-04,0.27,0.27,0.27,0.27,18900.0,
2020-03-05,0.27,0.27,0.27,0.27,37800.0,
2020-03-06,0.27,0.295,0.265,0.275,296650.0,
2020-03-09,0.275,0.28,0.26,0.28,245700.0,
2020-03-10,0.27,0.27,0.265,0.27,150800.0,
2020-03-11,0.27,0.27,0.27,0.27,78300.0,
2020-03-12,0.27,0.27,0.26,0.26,157600.0,
2020-03-13,0.26,0.26,0.25,0.25,126300.0,
2020-03-16,0.25,0.25,0.25,0.25,25000.0,
2020-03-19,,,,,,
2020-03-20,0.25,0.25,0.23,0.25,36700.0,
2020-03-23,,,,,,
2020-03-24,0.245,0.245,0.24,0.24,14600.0,
2020-03-25,0.24,0.25,0.24,0.25,27400.0,
2020-03-26,0.25,0.25,0.25,0.25,12500.0,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,0.23,0.249,0.23,0.24600000000000002,48560.0,
2020-04-01,0.24,0.24,0.2,0.2,74380.0,
2020-04-02,0.205,0.205,0.205,0.205,14350.0,
2020-04-03,,,,,,
2020-04-06,0.201,0.201,0.201,0.201,201000.0,
2020-04-07,0.21,0.239,0.21,0.239,4490.0,
2020-04-08,,,,,,
2020-04-13,0.23,0.23,0.21,0.22,244560.0,
2020-04-14,0.22,0.22,0.21,0.21899999999999997,107200.0,
2020-04-15,0.21,0.214,0.21,0.21100000000000002,181610.0,
2020-04-16,0.209,0.209,0.20800000000000002,0.20800000000000002,168640.0,
2020-04-17,0.205,0.207,0.203,0.204,169290.0,
2020-04-20,0.21,0.21,0.2,0.2,211140.0,
2020-04-21,0.2,0.214,0.2,0.2,153110.0,
2020-04-22,0.205,0.205,0.2,0.2,20250.0,
2020-04-23,0.201,0.201,0.2,0.2,106080.0,
2020-04-24,0.209,0.209,0.205,0.205,33060.0,
2020-04-27,0.20199999999999999,0.205,0.193,0.205,115890.0,
2020-04-28,0.205,0.205,0.205,0.205,20500.0,
2020-04-29,0.2,0.205,0.2,0.205,32650.0,
2020-04-30,0.193,0.204,0.193,0.204,31100.0,
2020-05-04,0.204,0.204,0.204,0.204,2040.0,
2020-05-05,0.196,0.20199999999999999,0.196,0.20199999999999999,13780.0,
2020-05-06,0.196,0.201,0.19399999999999998,0.19399999999999998,119650.0,
2020-05-07,0.195,0.195,0.195,0.195,74100.0,
2020-05-08,0.193,0.19899999999999998,0.193,0.19899999999999998,29010.0,
2020-05-11,,,,,,
2020-05-12,0.191,0.191,0.19,0.19,98950.0,
2020-05-13,,,,,,
2020-05-14,,,,,,
2020-05-15,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.19699999999999998,23640.0,
2020-05-18,0.196,0.196,0.18,0.18,145220.0,
2020-05-19,0.18,0.18,0.17,0.179,92380.0,
2020-05-20,0.179,0.188,0.171,0.187,68450.0,
2020-05-21,,,,,,
2020-05-22,0.171,0.171,0.171,0.171,68400.0,
2020-05-26,0.171,0.171,0.17,0.171,61260.0,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,0.18600000000000003,0.18600000000000003,0.179,0.18,16210.0,
2020-06-01,0.18600000000000003,0.18600000000000003,0.18600000000000003,0.18600000000000003,7440.0,
2020-06-02,0.182,0.18600000000000003,0.17800000000000002,0.18600000000000003,72200.0,
2020-06-03,0.18600000000000003,0.18600000000000003,0.18600000000000003,0.18600000000000003,3720.0,
2020-06-04,0.18600000000000003,0.187,0.18600000000000003,0.187,13030.0,
2020-06-05,0.18600000000000003,0.18600000000000003,0.17300000000000001,0.18600000000000003,82660.0,
2020-06-08,0.18600000000000003,0.18600000000000003,0.18100000000000002,0.18100000000000002,109150.0,
2020-06-09,0.182,0.183,0.18,0.183,74420.0,
2020-06-10,0.18,0.195,0.18,0.19,164890.0,
2020-06-11,0.195,0.196,0.187,0.19,137700.0,
2020-06-15,0.184,0.184,0.18,0.18,81520.0,
2020-06-16,0.18,0.18,0.18,0.18,1800.0,
2020-06-17,0.184,0.18899999999999997,0.184,0.18899999999999997,26210.0,
2020-06-18,0.19,0.196,0.18899999999999997,0.196,81570.0,
2020-06-19,0.184,0.195,0.184,0.191,123970.0,
2020-06-22,0.191,0.195,0.191,0.191,55630.0,
2020-06-23,0.191,0.191,0.191,0.191,30560.0,
2020-06-24,0.19,0.19,0.19,0.19,20900.0,
2020-06-25,0.18100000000000002,0.19399999999999998,0.18100000000000002,0.19399999999999998,29220.0,
2020-06-26,0.183,0.19,0.183,0.183,18370.0,
2020-06-29,0.182,0.182,0.18,0.18100000000000002,27130.0,
2020-06-30,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,1890.0,
2020-07-01,0.18899999999999997,0.18899999999999997,0.18,0.18899999999999997,59040.0,
2020-07-02,,,,,,
2020-07-03,0.19,0.19,0.19,0.19,95000.0,
2020-07-06,0.193,0.193,0.192,0.192,9610.0,
2020-07-07,0.18100000000000002,0.18100000000000002,0.18100000000000002,0.18100000000000002,9050.0,
2020-07-08,0.183,0.183,0.183,0.183,36600.0,
2020-07-09,0.182,0.182,0.18100000000000002,0.18100000000000002,43670.0,
2020-07-10,0.18100000000000002,0.191,0.18100000000000002,0.191,117030.0,
2020-07-13,0.19,0.19,0.18899999999999997,0.18899999999999997,32270.0,
2020-07-14,0.19,0.19,0.183,0.183,79310.0,
2020-07-15,0.183,0.183,0.17800000000000002,0.17800000000000002,128730.0,
2020-07-16,0.17800000000000002,0.19,0.17800000000000002,0.19,11160.0,
2020-07-17,0.185,0.185,0.185,0.185,38850.0,
2020-07-20,0.185,0.18899999999999997,0.185,0.18899999999999997,22600.0,
2020-07-21,0.185,0.185,0.185,0.185,42550.0,
2020-07-22,0.18,0.195,0.18,0.193,268310.0,
2020-07-23,0.196,0.217,0.196,0.203,729510.0,
2020-07-24,0.214,0.218,0.19899999999999998,0.217,540020.0,
2020-07-27,0.218,0.22899999999999998,0.218,0.21899999999999997,344220.0,
2020-07-28,0.21,0.225,0.201,0.21,233220.0,
2020-07-29,0.19899999999999998,0.21,0.196,0.209,179510.0,
2020-07-30,0.214,0.214,0.195,0.204,44090.0,
2020-08-03,0.21600000000000003,0.21600000000000003,0.209,0.209,23200.0,
2020-08-04,,,,0.209,,190000.0
2020-08-05,,,,0.203,,430000.0
2020-08-06,,,,0.202,,120000.0
2020-08-07,,,,0.201,,90000.0
2020-08-10,,,,0.202,,270000.0
2020-08-11,,,,0.208,,470000.0
2020-08-13,,,,0.2,,110000.0
2020-08-14,,,,0.202,,1280000.0
2020-08-17,,,,0.198,,30000.0
2020-08-18,,,,0.2,,50000.0
2020-08-19,,,,0.199,,270000.0
2020-08-20,,,,0.191,,2810000.0
2020-08-24,,,,0.194,,890000.0
2020-08-25,,,,0.197,,960000.0
2020-08-26,,,,0.202,,430000.0
2020-08-27,,,,0.207,,190000.0
2020-08-28,,,,0.201,,1140000.0
2020-09-01,,,,0.21,,890000.0
2020-09-02,,,,0.213,,1150000.0
