dt,open,high,low,close,value,volume
2020-03-02,17.82,18.4,17.82,18.3,37720.0,
2020-03-03,18.4,18.4,18.4,18.4,16560.0,
2020-03-04,17.96,17.96,17.9,17.9,739626.0,
2020-03-05,17.9,17.9,17.8,17.8,646444.0,
2020-03-06,17.8,17.8,17.8,17.8,10680.0,
2020-03-09,18.0,18.0,18.0,18.0,3600.0,
2020-03-10,17.98,17.98,17.74,17.74,207842.0,
2020-03-11,17.74,18.0,17.7,17.7,294336.0,
2020-03-12,17.6,17.8,17.4,17.4,459840.0,
2020-03-13,17.3,17.3,16.9,17.0,1094886.0,
2020-03-16,16.9,17.0,16.9,16.9,243370.0,
2020-03-19,16.8,16.8,16.0,16.0,1942530.0,
2020-03-20,15.9,15.9,15.0,15.9,139560.0,
2020-03-23,15.9,15.9,15.9,15.9,28620.0,
2020-03-24,,,,,,
2020-03-25,15.9,15.9,15.1,15.8,273110.0,
2020-03-26,15.9,15.9,15.2,15.2,134460.0,
2020-03-27,15.5,15.6,15.5,15.6,20210.0,
2020-03-30,15.8,15.8,15.0,15.6,52350.0,
2020-03-31,15.0,15.5,15.0,15.5,40000.0,
2020-04-01,15.2,15.2,15.2,15.2,3040.0,
2020-04-02,14.9,14.9,14.9,14.9,80460.0,
2020-04-03,15.2,15.2,15.0,15.2,31820.0,
2020-04-06,15.0,15.8,15.0,15.2,346280.0,
2020-04-07,15.8,15.9,15.3,15.3,733610.0,
2020-04-08,15.3,15.3,15.24,15.3,666942.0,
2020-04-13,15.4,15.8,15.4,15.5,118950.0,
2020-04-14,16.02,16.02,15.22,15.3,609510.0,
2020-04-15,15.3,15.58,15.26,15.28,1242218.0,
2020-04-16,15.3,15.48,15.2,15.3,12155650.0,
2020-04-17,15.26,15.8,15.2,15.5,19004100.0,
2020-04-20,15.5,15.9,15.5,15.8,139040.0,
2020-04-21,15.8,15.8,15.5,15.5,37630.0,
2020-04-22,15.5,15.86,15.5,15.6,227146.0,
2020-04-23,15.8,16.1,15.6,16.1,1170620.0,
2020-04-24,16.2,16.42,16.2,16.4,1213312.0,
2020-04-27,16.0,16.0,15.5,15.8,261426.0,
2020-04-28,15.8,16.0,15.78,16.0,225970.0,
2020-04-29,16.0,16.0,15.42,15.42,316976.0,
2020-04-30,15.42,15.5,15.42,15.5,51070.0,
2020-05-04,15.5,15.88,15.5,15.5,37334.0,
2020-05-05,15.5,15.5,15.4,15.4,390370.0,
2020-05-06,15.6,15.6,15.4,15.4,26380.0,
2020-05-07,15.88,15.9,15.4,15.4,99868.0,
2020-05-08,15.8,15.8,15.8,15.8,42660.0,
2020-05-11,15.8,15.8,15.5,15.5,32760.0,
2020-05-12,15.5,16.0,15.4,16.0,12450.0,
2020-05-13,16.0,16.0,16.0,16.0,19200.0,
2020-05-14,15.42,16.0,15.4,15.98,141676.0,
2020-05-15,15.4,16.0,15.4,16.0,7876.0,
2020-05-18,16.0,16.0,15.8,15.8,92620.0,
2020-05-19,16.0,16.0,15.6,15.6,37590.0,
2020-05-20,15.9,16.06,15.6,15.6,39564.0,
2020-05-21,16.0,16.0,15.6,15.6,14110.0,
2020-05-22,16.0,16.0,15.7,15.7,332660.0,
2020-05-26,16.0,16.0,15.6,15.6,235790.0,
2020-05-27,16.0,16.0,15.5,15.7,34370.0,
2020-05-28,15.8,16.0,15.6,16.0,7370098.0,
2020-05-29,16.1,16.1,15.6,15.6,81510.0,
2020-06-01,16.1,16.2,16.1,16.1,194826.0,
2020-06-02,16.1,16.4,16.1,16.4,79810.0,
2020-06-03,16.0,16.4,16.0,16.4,17920.0,
2020-06-04,16.4,16.4,16.3,16.4,63930.0,
2020-06-05,16.4,16.4,16.3,16.4,34300.0,
2020-06-08,16.4,16.5,16.3,16.3,57350.0,
2020-06-09,16.3,17.6,16.1,16.9,229874.0,
2020-06-10,17.2,17.2,16.9,17.1,187330.0,
2020-06-11,17.0,17.1,16.9,17.1,593050.0,
2020-06-15,17.0,17.1,16.9,17.1,32240.0,
2020-06-16,16.9,17.1,16.9,17.0,66290.0,
2020-06-17,17.1,17.1,17.0,17.0,64960.0,
2020-06-18,17.2,17.2,17.0,17.0,54820.0,
2020-06-19,16.9,17.1,16.9,17.0,217460.0,
2020-06-22,17.3,17.4,17.2,17.3,5737046.0,
2020-06-23,17.5,17.5,17.2,17.3,117770.0,
2020-06-24,17.2,17.6,17.2,17.6,182010.0,
