dt,open,high,low,close,value,volume
2020-03-02,6.24,6.24,6.15,6.2,5762059.0,
2020-03-03,6.2,6.22,6.2,6.2,10731024.0,
2020-03-04,6.05,6.2,6.05,6.12,14614996.0,
2020-03-05,6.12,6.24,6.1,6.19,540854.0,
2020-03-06,6.19,6.22,6.11,6.21,2111152.0,
2020-03-09,6.21,6.21,5.9,6.06,14765248.0,
2020-03-10,6.0,6.02,6.0,6.0,3200614.0,
2020-03-11,6.0,6.01,5.86,6.0,8017146.0,
2020-03-12,6.0,6.0,5.71,5.72,14694822.0,
2020-03-13,6.0,6.05,5.32,5.71,14253918.0,
2020-03-16,5.71,5.71,5.2,5.3,3981670.0,
2020-03-19,5.2,5.29,4.52,4.52,7603199.0,
2020-03-20,4.51,4.75,4.51,4.75,2225210.0,
2020-03-23,5.0,5.0,4.25,4.29,6597180.0,
2020-03-24,4.29,4.43,4.28,4.35,12001260.0,
2020-03-25,4.5,4.82,4.5,4.7,8346870.0,
2020-03-26,4.99,5.1,4.8,4.8,1973370.0,
2020-03-27,4.95,5.3,4.84,5.0,14736990.0,
2020-03-30,5.0,5.0,4.5,4.5,1488042.0,
2020-03-31,4.87,4.95,4.63,4.75,9769730.0,
2020-04-01,4.93,5.0,4.65,5.0,12061430.0,
2020-04-02,5.19,5.19,4.85,5.0,8965886.0,
2020-04-03,5.0,5.19,4.85,5.01,9340579.0,
2020-04-06,5.19,5.19,4.9,5.05,9504576.0,
2020-04-07,5.1,5.19,4.98,5.0,6960143.0,
2020-04-08,5.0,5.0,4.69,4.84,13735908.0,
2020-04-13,4.78,4.98,4.62,4.85,31030570.0,
2020-04-14,4.9,5.3,4.9,5.0,20405360.0,
2020-04-15,5.06,5.06,5.0,5.0,23869110.0,
2020-04-16,5.0,5.0,4.8,4.81,8119048.0,
2020-04-17,4.85,4.95,4.81,4.95,9622200.0,
2020-04-20,4.98,4.99,4.85,4.95,3571690.0,
2020-04-21,5.0,5.0,4.78,4.88,20018100.0,
2020-04-22,4.88,4.88,4.78,4.78,3509330.0,
2020-04-23,4.78,4.94,4.78,4.9,4242050.0,
2020-04-24,4.9,4.9,4.79,4.79,2579280.0,
2020-04-27,4.79,4.88,4.76,4.81,2307330.0,
2020-04-28,4.81,4.93,4.79,4.93,1967240.0,
2020-04-29,4.93,4.94,4.91,4.93,12055880.0,
