dt,open,high,low,close,value,volume
2020-03-02,0.475,0.485,0.47,0.485,605500.0,
2020-03-03,0.48,0.5,0.48,0.5,2284000.0,
2020-03-04,0.49,0.495,0.485,0.485,480280.0,
2020-03-05,0.49,0.5,0.49,0.5,1950900.0,
2020-03-06,0.495,0.495,0.49,0.495,2276815.0,
2020-03-09,0.485,0.485,0.45,0.475,1711800.0,
2020-03-10,0.45,0.485,0.445,0.48,1594800.0,
2020-03-11,0.47,0.485,0.465,0.47,1194800.0,
2020-03-12,0.46,0.46,0.445,0.45,1535100.0,
2020-03-13,0.44,0.44,0.4,0.43,2048400.0,
2020-03-16,0.405,0.42,0.4,0.405,589600.0,
2020-03-19,0.39,0.395,0.35,0.355,810700.0,
2020-03-20,0.355,0.365,0.345,0.35,1028450.0,
2020-03-23,0.35,0.35,0.335,0.335,978200.0,
2020-03-24,0.335,0.34,0.335,0.335,1455000.0,
2020-03-25,0.355,0.355,0.345,0.35,1378950.0,
2020-03-26,0.36,0.37,0.36,0.37,491500.0,
2020-03-27,0.37,0.38,0.365,0.37,654850.0,
2020-03-30,0.37,0.375,0.36,0.37,595150.0,
2020-03-31,0.38,0.38,0.37,0.37,2232950.0,
2020-04-01,0.365,0.375,0.355,0.355,401350.0,
2020-04-02,0.36,0.36,0.355,0.36,675600.0,
2020-04-03,0.365,0.365,0.365,0.365,175200.0,
2020-04-06,0.36,0.36,0.36,0.36,176400.0,
2020-04-07,0.365,0.37,0.365,0.37,1037650.0,
2020-04-08,0.375,0.38,0.375,0.375,917950.0,
2020-04-13,0.375,0.38,0.365,0.37,1482400.0,
2020-04-14,0.365,0.38,0.365,0.375,2731050.0,
2020-04-15,0.38,0.385,0.375,0.375,1391450.0,
2020-04-16,0.375,0.375,0.35,0.355,2746150.0,
2020-04-17,0.355,0.365,0.355,0.365,1107100.0,
2020-04-20,0.365,0.365,0.36,0.365,687000.0,
2020-04-21,0.365,0.365,0.355,0.36,1447900.0,
2020-04-22,0.36,0.36,0.355,0.355,1655150.0,
2020-04-23,0.355,0.36,0.355,0.36,1901700.0,
2020-04-24,0.365,0.365,0.35,0.35,1274850.0,
2020-04-27,0.355,0.355,0.35,0.355,1103100.0,
2020-04-28,0.35,0.36,0.35,0.355,1002550.0,
2020-04-29,0.355,0.36,0.35,0.36,1270350.0,
2020-04-30,0.355,0.365,0.355,0.365,804550.0,
2020-05-04,0.36,0.36,0.35,0.36,648600.0,
2020-05-05,0.36,0.36,0.345,0.355,2806200.0,
2020-05-06,0.35,0.35,0.345,0.345,1411750.0,
2020-05-07,0.35,0.35,0.345,0.345,289950.0,
2020-05-08,0.35,0.35,0.345,0.35,272800.0,
2020-05-11,0.35,0.355,0.35,0.355,840100.0,
2020-05-12,0.345,0.35,0.345,0.35,447300.0,
2020-05-13,0.35,0.35,0.345,0.35,1383400.0,
2020-05-14,0.35,0.35,0.35,0.35,217000.0,
2020-05-15,0.35,0.355,0.35,0.35,269550.0,
2020-05-18,0.35,0.35,0.345,0.345,673400.0,
2020-05-19,0.34,0.355,0.335,0.345,3010150.0,
2020-05-20,0.345,0.345,0.34,0.345,235200.0,
2020-05-21,0.345,0.345,0.34,0.345,330850.0,
2020-05-22,0.345,0.345,0.345,0.345,175950.0,
2020-05-26,0.34,0.34,0.325,0.33,3557850.0,
2020-05-27,0.33,0.34,0.33,0.34,235350.0,
