dt,open,high,low,close,value,volume
2020-03-02,2.76,2.76,2.69,2.69,5348360.0,
2020-03-03,2.69,2.93,2.69,2.93,76310.0,
2020-03-04,2.7,2.8,2.68,2.8,1243540.0,
2020-03-05,2.69,2.84,2.69,2.84,584140.0,
2020-03-06,2.7,2.86,2.69,2.7,1285150.0,
2020-03-09,2.68,2.68,2.4,2.6,10571020.0,
2020-03-10,2.59,2.7,2.5,2.69,2588100.0,
2020-03-11,2.68,2.76,2.68,2.75,3824870.0,
2020-03-12,2.74,2.74,2.52,2.6,8675620.0,
2020-03-13,2.5,2.6,2.5,2.6,319100.0,
2020-03-16,2.7,2.7,2.48,2.6,587180.0,
2020-03-19,2.48,2.48,2.43,2.47,1343380.0,
2020-03-20,2.46,2.48,2.43,2.43,510240.0,
2020-03-23,2.43,2.46,2.41,2.46,839510.0,
2020-03-24,2.47,2.48,2.47,2.48,222800.0,
2020-03-25,2.48,2.48,2.46,2.48,76800.0,
2020-03-26,2.48,2.53,2.47,2.53,426070.0,
2020-03-27,,,,,,
2020-03-30,2.56,2.56,2.56,2.56,128000.0,
2020-03-31,2.57,2.6,2.57,2.6,1293930.0,
2020-04-01,2.6,2.61,2.6,2.61,260440.0,
2020-04-02,2.55,2.61,2.55,2.61,835110.0,
2020-04-03,2.6,2.6,2.6,2.6,676000.0,
2020-04-06,2.58,2.63,2.58,2.63,1873200.0,
2020-04-07,2.55,2.6,2.55,2.6,257600.0,
2020-04-08,2.61,2.62,2.61,2.62,523000.0,
2020-04-13,2.62,2.63,2.55,2.55,1005700.0,
2020-04-14,2.6,2.7,2.6,2.7,2008870.0,
2020-04-15,2.63,2.7,2.63,2.7,1248700.0,
2020-04-16,2.7,2.7,2.61,2.7,738980.0,
2020-04-17,2.65,2.75,2.65,2.74,907500.0,
2020-04-20,2.73,2.75,2.73,2.75,822180.0,
2020-04-21,2.7,2.75,2.7,2.75,941250.0,
2020-04-22,2.67,2.75,2.65,2.75,1521500.0,
2020-04-23,2.7,2.74,2.7,2.73,886240.0,
2020-04-24,2.71,2.71,2.71,2.71,135500.0,
2020-04-27,2.73,2.73,2.73,2.73,436800.0,
2020-04-28,2.69,2.69,2.69,2.69,34970.0,
2020-04-29,2.69,2.73,2.69,2.73,598130.0,
2020-04-30,2.73,2.74,2.73,2.73,546900.0,
2020-05-04,2.69,2.74,2.69,2.73,679500.0,
2020-05-05,,,,,,
2020-05-06,2.73,2.73,2.73,2.73,81900.0,
2020-05-07,,,,,,
2020-05-08,2.73,2.73,2.73,2.73,191100.0,
2020-05-11,2.74,2.74,2.69,2.73,824100.0,
2020-05-12,2.73,2.73,2.73,2.73,292110.0,
2020-05-13,2.69,2.73,2.69,2.73,67790.0,
2020-05-14,2.73,2.73,2.73,2.73,273000.0,
2020-05-15,,,,,,
2020-05-18,2.73,2.73,2.68,2.73,792160.0,
2020-05-19,2.68,2.73,2.68,2.73,160620.0,
2020-05-20,,,,,,
2020-05-21,2.7,2.72,2.7,2.72,311240.0,
2020-05-22,2.68,2.71,2.68,2.71,664560.0,
2020-05-26,2.68,2.71,2.68,2.71,113460.0,
2020-05-27,2.68,2.71,2.68,2.71,194640.0,
2020-05-28,2.68,2.71,2.68,2.71,468420.0,
2020-05-29,2.68,2.71,2.68,2.71,269800.0,
2020-06-01,2.7,2.71,2.7,2.71,406000.0,
2020-06-02,,,,,,
2020-06-03,2.68,2.71,2.68,2.69,420780.0,
2020-06-04,2.68,2.71,2.67,2.71,1215630.0,
2020-06-05,2.7,2.71,2.67,2.71,1025300.0,
2020-06-08,2.69,2.69,2.67,2.67,721430.0,
2020-06-09,2.7,2.71,2.7,2.71,827800.0,
2020-06-10,2.7,2.7,2.67,2.7,380990.0,
2020-06-11,2.66,2.7,2.64,2.7,1272620.0,
2020-06-15,2.69,2.7,2.69,2.7,525500.0,
2020-06-16,2.7,2.7,2.68,2.7,1091500.0,
2020-06-17,2.7,2.71,2.7,2.71,573600.0,
2020-06-18,2.67,2.7,2.67,2.7,141810.0,
2020-06-19,2.67,2.7,2.66,2.7,1091670.0,
2020-06-22,2.7,2.7,2.7,2.7,10800.0,
2020-06-23,2.7,2.71,2.7,2.71,540550.0,
2020-06-24,2.71,2.71,2.7,2.71,745050.0,
2020-06-25,2.7,2.7,2.7,2.7,62100.0,
2020-06-26,2.68,2.71,2.68,2.71,815870.0,
2020-06-29,2.68,2.71,2.68,2.71,275860.0,
2020-06-30,2.7,2.7,2.68,2.7,126150.0,
2020-07-01,2.7,2.71,2.7,2.71,540560.0,
2020-07-02,2.71,2.71,2.71,2.71,135500.0,
2020-07-03,2.68,2.7,2.66,2.66,2538940.0,
2020-07-06,2.69,2.7,2.67,2.7,776760.0,
2020-07-07,2.7,2.7,2.65,2.7,1640500.0,
2020-07-08,2.6,2.7,2.6,2.7,252050.0,
2020-07-09,2.63,2.7,2.63,2.7,109630.0,
2020-07-10,2.69,2.7,2.64,2.64,817500.0,
2020-07-13,2.6,2.7,2.6,2.7,324100.0,
2020-07-14,2.65,2.7,2.63,2.7,1169600.0,
2020-07-15,2.7,2.7,2.61,2.69,413140.0,
2020-07-16,2.7,2.7,2.7,2.7,270000.0,
2020-07-17,2.7,2.7,2.7,2.7,270000.0,
2020-07-20,2.7,2.7,2.7,2.7,270000.0,
2020-07-21,,,,,,
2020-07-22,2.61,2.7,2.61,2.7,439200.0,
2020-07-23,2.69,2.69,2.69,2.69,88770.0,
2020-07-24,2.7,2.7,2.6,2.69,667780.0,
2020-07-27,,,,,,
2020-07-28,2.67,2.7,2.6,2.6,295090.0,
2020-07-29,2.6,2.7,2.6,2.7,543400.0,
2020-07-30,2.69,2.7,2.69,2.7,555140.0,
2020-08-03,2.6,2.7,2.6,2.7,409700.0,
2020-08-04,,,,2.69,,272000.0
2020-08-05,,,,2.6,,338000.0
2020-08-06,,,,2.68,,725000.0
2020-08-10,,,,2.67,,5017000.0
2020-08-11,,,,2.67,,203000.0
2020-08-12,,,,2.69,,72000.0
2020-08-13,,,,2.67,,300000.0
2020-08-14,,,,2.67,,113000.0
2020-08-17,,,,2.67,,82000.0
2020-08-18,,,,2.67,,45000.0
2020-08-19,,,,2.67,,130000.0
2020-08-20,,,,2.65,,246000.0
2020-08-25,,,,2.66,,180000.0
2020-08-27,,,,2.65,,207000.0
2020-08-28,,,,2.65,,40000.0
2020-09-01,,,,2.6,,241000.0
2020-09-02,,,,2.6,,663000.0
2020-09-03,,,,2.6,,421000.0
2020-09-07,,,,2.59,,416000.0
2020-09-08,,,,2.59,,55000.0
2020-09-09,,,,2.5,,195000.0
2020-09-10,,,,2.55,,217000.0
2020-09-14,,,,2.57,,204000.0
2020-09-15,,,,2.57,,1000.0
2020-09-17,,,,2.55,,176000.0
2020-09-22,,,,2.5,,224000.0
2020-09-23,,,,2.6,,18000.0
2020-09-24,,,,2.5,,20000.0
2020-09-25,,,,2.55,,26000.0
