dt,open,high,low,close,value,volume
2020-03-02,2.0,2.02,1.98,2.02,360260.0,
2020-03-03,2.01,2.07,2.0,2.07,411850.0,
2020-03-04,2.01,2.01,2.0,2.0,120400.0,
2020-03-05,,,,,,
2020-03-06,2.01,2.02,1.96,1.96,436430.0,
2020-03-09,1.9,1.9,1.77,1.77,396130.0,
2020-03-10,1.75,1.75,1.73,1.73,195690.0,
2020-03-11,1.75,1.91,1.75,1.78,69600.0,
2020-03-12,1.75,1.8,1.75,1.76,534590.0,
2020-03-13,1.77,1.8,1.75,1.76,594760.0,
2020-03-16,1.76,1.92,1.76,1.92,3096890.0,
2020-03-19,1.92,2.06,1.86,1.88,12874470.0,
2020-03-20,1.75,1.92,1.75,1.92,341260.0,
2020-03-23,1.75,1.9,1.75,1.9,93370.0,
2020-03-24,,,,,,
2020-03-25,1.77,1.86,1.77,1.86,19610.0,
2020-03-26,1.84,1.88,1.84,1.84,24200.0,
2020-03-27,1.91,1.91,1.85,1.85,20850.0,
2020-03-30,1.79,1.8,1.75,1.8,116750.0,
2020-03-31,1.8,1.92,1.8,1.92,261700.0,
2020-04-01,1.8,1.92,1.76,1.92,46550.0,
2020-04-02,1.91,1.91,1.91,1.91,47750.0,
2020-04-03,1.91,1.91,1.87,1.87,47150.0,
2020-04-06,1.85,1.91,1.85,1.91,24350.0,
2020-04-07,1.84,1.91,1.8,1.91,27670.0,
2020-04-08,1.85,1.9,1.85,1.9,18750.0,
2020-04-13,1.9,1.91,1.9,1.91,11410.0,
2020-04-14,1.9,1.9,1.83,1.89,51730.0,
2020-04-15,1.81,1.9,1.81,1.9,11310.0,
2020-04-16,1.83,1.83,1.83,1.83,12810.0,
2020-04-17,1.89,1.89,1.85,1.85,28150.0,
2020-04-20,1.82,1.82,1.82,1.82,69160.0,
2020-04-21,1.89,1.89,1.89,1.89,1890.0,
2020-04-22,1.89,1.89,1.89,1.89,5670.0,
2020-04-23,1.78,1.8,1.68,1.79,1164100.0,
2020-04-24,1.79,1.79,1.76,1.79,193740.0,
2020-04-27,,,,,,
2020-04-28,1.71,1.84,1.7,1.8,284360.0,
2020-04-29,1.73,1.79,1.71,1.75,176260.0,
2020-04-30,1.75,1.75,1.74,1.74,169690.0,
2020-05-04,1.74,1.74,1.74,1.74,8700.0,
2020-05-05,1.75,1.8,1.75,1.8,10550.0,
2020-05-06,1.8,1.8,1.8,1.8,3600.0,
2020-05-07,,,,,,
2020-05-08,1.75,1.76,1.75,1.76,26380.0,
2020-05-11,,,,,,
2020-05-12,1.73,1.79,1.73,1.79,5250.0,
2020-05-13,1.74,1.76,1.7,1.76,172920.0,
2020-05-14,1.76,1.76,1.76,1.76,1760.0,
2020-05-15,1.75,1.75,1.75,1.75,8750.0,
2020-05-18,1.74,1.74,1.74,1.74,13920.0,
2020-05-19,1.74,1.74,1.74,1.74,10440.0,
2020-05-20,,,,,,
2020-05-21,1.72,1.74,1.72,1.74,51800.0,
2020-05-22,1.74,1.74,1.73,1.73,207700.0,
2020-05-26,1.74,1.74,1.72,1.72,17340.0,
2020-05-27,1.73,1.74,1.73,1.74,34680.0,
2020-05-28,1.72,1.74,1.7,1.74,46230.0,
2020-05-29,,,,,,
2020-06-01,1.7,1.74,1.7,1.74,61240.0,
2020-06-02,1.74,1.74,1.74,1.74,24360.0,
2020-06-03,1.75,1.77,1.73,1.73,377750.0,
2020-06-04,1.79,1.79,1.79,1.79,5370.0,
2020-06-05,1.77,1.78,1.77,1.77,35450.0,
2020-06-08,1.79,1.8,1.73,1.8,132610.0,
2020-06-09,1.8,1.86,1.8,1.82,235580.0,
2020-06-10,1.88,1.88,1.8,1.8,232900.0,
2020-06-11,1.84,1.84,1.82,1.82,131640.0,
2020-06-15,1.82,1.88,1.82,1.88,182880.0,
2020-06-16,1.89,1.9,1.89,1.9,248570.0,
2020-06-17,1.9,1.98,1.9,1.92,2698140.0,
2020-06-18,1.98,1.98,1.92,1.93,269010.0,
2020-06-19,1.98,1.98,1.96,1.96,5920.0,
2020-06-22,1.95,2.0,1.95,2.0,2079980.0,
2020-06-23,1.93,1.98,1.93,1.98,27220.0,
2020-06-24,1.98,2.0,1.96,1.97,111040.0,
2020-06-25,1.97,1.97,1.95,1.97,27450.0,
2020-06-26,1.98,1.98,1.98,1.98,11880.0,
2020-06-29,1.98,1.98,1.93,1.97,17620.0,
2020-06-30,1.96,1.96,1.96,1.96,1960.0,
2020-07-01,1.93,1.93,1.93,1.93,3860.0,
2020-07-02,1.98,1.98,1.98,1.98,19800.0,
2020-07-03,1.97,1.97,1.81,1.96,27040.0,
2020-07-06,1.98,1.98,1.98,1.98,11880.0,
2020-07-07,,,,,,
2020-07-08,1.98,1.98,1.98,1.98,1980.0,
2020-07-09,,,,,,
2020-07-10,1.98,1.98,1.98,1.98,1980.0,
2020-07-13,,,,,,
2020-07-14,1.84,1.97,1.84,1.97,9330.0,
2020-07-15,1.85,1.85,1.85,1.85,3700.0,
2020-07-16,,,,,,
2020-07-17,1.75,1.75,1.75,1.75,1750.0,
2020-07-20,1.95,1.97,1.95,1.96,43190.0,
2020-07-21,,,,,,
2020-07-22,,,,,,
2020-07-23,1.96,1.96,1.96,1.96,49000.0,
2020-07-24,1.89,1.89,1.88,1.88,37650.0,
2020-07-27,1.88,1.94,1.87,1.94,18810.0,
2020-07-28,1.94,1.94,1.94,1.94,9700.0,
2020-07-29,1.87,1.92,1.84,1.92,48920.0,
2020-07-30,1.88,1.88,1.84,1.84,33450.0,
2020-08-03,1.86,1.88,1.84,1.88,217020.0,
2020-08-04,,,,1.9,,11000.0
2020-08-05,,,,1.88,,18000.0
2020-08-06,,,,1.88,,15000.0
2020-08-07,,,,1.88,,1000.0
2020-08-10,,,,1.88,,11000.0
2020-08-11,,,,1.86,,1000.0
2020-08-13,,,,1.84,,30000.0
2020-08-14,,,,1.83,,5000.0
2020-08-17,,,,1.87,,14000.0
2020-08-18,,,,1.87,,20000.0
2020-08-19,,,,1.94,,172000.0
2020-08-20,,,,1.95,,131000.0
2020-08-24,,,,1.93,,34000.0
2020-08-25,,,,1.94,,40000.0
2020-08-26,,,,1.94,,20000.0
2020-08-27,,,,1.91,,60000.0
2020-08-28,,,,2.0,,431000.0
2020-09-01,,,,2.0,,30000.0
2020-09-02,,,,1.96,,23000.0
2020-09-03,,,,1.95,,95000.0
2020-09-04,,,,2.0,,51000.0
2020-09-07,,,,1.9,,95000.0
2020-09-08,,,,1.9,,25000.0
2020-09-10,,,,1.98,,2000.0
2020-09-11,,,,1.98,,1000.0
2020-09-14,,,,1.98,,2000.0
2020-09-15,,,,1.9,,38000.0
2020-09-16,,,,1.95,,1000.0
2020-09-17,,,,1.89,,58000.0
2020-09-18,,,,1.9,,2000.0
2020-09-21,,,,1.89,,21000.0
2020-09-22,,,,1.89,,10000.0
2020-09-24,,,,1.88,,7000.0
2020-09-25,,,,1.89,,14000.0
2020-09-28,,,,1.9,,5000.0
