dt,open,high,low,close,value,volume
2020-03-02,0.325,0.325,0.32,0.32,333300.0,
2020-03-03,0.32,0.325,0.32,0.325,67750.0,
2020-03-04,0.32,0.33,0.32,0.32,441500.0,
2020-03-05,0.32,0.32,0.32,0.32,12800.0,
2020-03-06,0.32,0.32,0.31,0.315,337950.0,
2020-03-09,0.315,0.315,0.3,0.3,526800.0,
2020-03-10,0.28,0.3,0.28,0.295,190750.0,
2020-03-11,0.295,0.295,0.28,0.28,56150.0,
2020-03-12,0.28,0.29,0.28,0.28,82800.0,
2020-03-13,0.28,0.28,0.27,0.27,117000.0,
2020-03-16,0.25,0.25,0.25,0.25,15000.0,
2020-03-19,0.23,0.23,0.23,0.23,18400.0,
2020-03-20,0.21,0.23,0.21,0.23,31700.0,
2020-03-23,0.23,0.23,0.23,0.23,94300.0,
2020-03-24,,,,,,
2020-03-25,0.222,0.222,0.222,0.222,2220.0,
2020-03-26,0.23,0.23,0.23,0.23,2300.0,
2020-03-27,,,,,,
2020-03-30,0.23,0.235,0.23,0.235,23050.0,
2020-03-31,,,,,,
2020-04-01,0.23600000000000002,0.23600000000000002,0.23600000000000002,0.23600000000000002,2360.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,0.24100000000000002,0.24100000000000002,0.24100000000000002,0.24100000000000002,72300.0,
2020-04-07,0.24100000000000002,0.242,0.24100000000000002,0.24100000000000002,43430.0,
2020-04-08,0.26,0.26,0.26,0.26,5200.0,
2020-04-13,0.26,0.26,0.26,0.26,26000.0,
2020-04-14,0.27,0.27,0.27,0.27,54000.0,
2020-04-15,0.27,0.27,0.27,0.27,2700.0,
2020-04-16,,,,,,
2020-04-17,,,,,,
2020-04-20,0.28,0.28,0.28,0.28,70000.0,
2020-04-21,0.28,0.28,0.28,0.28,11200.0,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,,,,,,
2020-04-28,0.29,0.3,0.29,0.3,136400.0,
2020-04-29,0.295,0.31,0.29,0.295,230600.0,
2020-04-30,0.295,0.295,0.29,0.29,423450.0,
2020-05-04,,,,,,
2020-05-05,0.285,0.285,0.28,0.285,105050.0,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,0.28,0.28,0.28,0.28,2800.0,
2020-05-11,0.28,0.28,0.28,0.28,2800.0,
2020-05-12,0.295,0.295,0.29,0.29,127750.0,
2020-05-13,0.3,0.3,0.29,0.29,325100.0,
2020-05-14,0.29,0.29,0.28,0.28,309800.0,
2020-05-15,0.29,0.29,0.29,0.29,37700.0,
2020-05-18,0.29,0.29,0.285,0.285,40550.0,
2020-05-19,0.285,0.285,0.285,0.285,17100.0,
2020-05-20,0.285,0.285,0.28,0.28,535200.0,
2020-05-21,0.275,0.275,0.27,0.27,307850.0,
2020-05-22,0.27,0.27,0.26,0.26,50400.0,
2020-05-26,,,,,,
2020-05-27,0.26,0.26,0.26,0.26,15600.0,
2020-05-28,0.26,0.26,0.26,0.26,119600.0,
2020-05-29,0.26,0.26,0.26,0.26,15600.0,
2020-06-01,0.26,0.26,0.26,0.26,156000.0,
2020-06-02,,,,,,
2020-06-03,0.28,0.28,0.27,0.27,82000.0,
2020-06-04,0.26,0.26,0.26,0.26,195000.0,
2020-06-05,0.27,0.285,0.27,0.285,461250.0,
2020-06-08,0.285,0.285,0.28,0.28,79050.0,
2020-06-09,0.27,0.3,0.27,0.3,229100.0,
2020-06-10,0.29,0.3,0.28,0.28,457050.0,
2020-06-11,,,,,,
2020-06-15,0.28,0.28,0.275,0.275,13800.0,
2020-06-16,0.295,0.295,0.29,0.29,55400.0,
2020-06-17,,,,,,
2020-06-18,0.27,0.27,0.27,0.27,108000.0,
2020-06-19,0.27,0.27,0.265,0.27,366800.0,
2020-06-22,0.275,0.275,0.26,0.275,54100.0,
2020-06-23,0.26,0.275,0.26,0.26,1021350.0,
2020-06-24,0.255,0.28,0.25,0.28,105500.0,
2020-06-25,0.26,0.27,0.26,0.27,125500.0,
2020-06-26,0.255,0.27,0.25,0.255,153500.0,
2020-06-29,0.255,0.26,0.255,0.26,5150.0,
2020-06-30,0.26,0.26,0.255,0.255,30700.0,
2020-07-01,0.255,0.255,0.255,0.255,12750.0,
2020-07-02,,,,,,
2020-07-03,,,,,,
2020-07-06,0.245,0.245,0.245,0.245,7350.0,
2020-07-07,0.25,0.26,0.25,0.26,177000.0,
2020-07-08,0.248,0.25,0.245,0.25,39780.0,
2020-07-09,,,,,,
2020-07-10,0.26,0.26,0.25,0.25,43500.0,
2020-07-13,0.255,0.26,0.255,0.26,82150.0,
2020-07-14,0.26,0.325,0.26,0.26,2288850.0,
2020-07-15,0.26,0.26,0.26,0.26,83200.0,
2020-07-16,0.255,0.26,0.255,0.255,81650.0,
2020-07-17,0.255,0.26,0.255,0.255,127600.0,
2020-07-20,0.26,0.26,0.26,0.26,39000.0,
2020-07-21,,,,,,
