dt,open,high,low,close,value,volume
2020-03-02,17.1,17.1,16.6,16.94,5917144.0,
2020-03-03,16.8,17.0,16.64,16.98,2642142.0,
2020-03-04,16.98,17.0,16.64,17.0,6874488.0,
2020-03-05,16.9,17.2,16.9,17.2,2028544.0,
2020-03-06,17.18,17.2,16.8,17.16,1793890.0,
2020-03-09,17.14,17.2,15.5,16.5,16566080.0,
2020-03-10,16.2,16.9,15.66,16.74,16993754.0,
2020-03-11,16.78,16.9,16.04,16.76,9363600.0,
2020-03-12,16.5,16.5,14.36,14.8,13110000.0,
2020-03-13,14.38,16.16,11.0,15.98,29638450.0,
2020-03-16,16.0,16.2,15.96,16.0,15099342.0,
2020-03-19,16.1,16.32,15.76,16.0,35721546.0,
2020-03-20,16.0,16.74,16.0,16.3,20152152.0,
2020-03-23,16.3,16.34,16.0,16.1,9025132.0,
2020-03-24,16.1,16.34,16.1,16.2,3309890.0,
2020-03-25,16.24,16.34,16.2,16.2,8377490.0,
2020-03-26,16.34,16.68,16.2,16.3,5542446.0,
2020-03-27,16.5,16.54,16.04,16.3,6264124.0,
2020-03-30,16.28,16.4,15.8,16.1,6461854.0,
2020-03-31,16.0,16.2,15.9,16.16,2886830.0,
2020-04-01,16.18,16.18,15.9,16.16,4067400.0,
2020-04-02,16.16,16.16,15.9,16.14,856350.0,
2020-04-03,16.0,16.16,15.96,16.12,1754852.0,
2020-04-06,16.0,16.14,15.4,16.14,4926400.0,
2020-04-07,16.16,16.18,15.84,16.16,2646288.0,
2020-04-08,16.16,16.18,15.8,16.16,8247924.0,
2020-04-13,16.16,16.2,15.9,16.1,3167220.0,
2020-04-14,16.0,16.16,15.96,16.08,3709390.0,
2020-04-15,16.16,16.8,16.08,16.68,6470818.0,
2020-04-16,16.68,16.68,16.0,16.18,2596406.0,
2020-04-17,16.1,16.26,15.98,16.0,5501366.0,
2020-04-20,16.3,16.38,15.86,16.1,4391930.0,
2020-04-21,16.1,16.16,15.88,16.0,2526084.0,
2020-04-22,16.0,16.0,15.8,16.0,741550.0,
2020-04-23,16.0,16.1,15.9,16.08,935424.0,
2020-04-24,16.1,16.1,15.9,16.1,1423000.0,
2020-04-27,16.14,16.16,15.9,15.92,1912868.0,
2020-04-28,16.1,16.14,15.92,16.14,2237188.0,
2020-04-29,16.14,16.16,16.02,16.14,1490762.0,
2020-04-30,16.18,16.2,16.04,16.16,4202432.0,
2020-05-04,16.16,16.16,15.92,15.92,3461078.0,
2020-05-05,16.1,16.1,15.92,16.08,2328042.0,
2020-05-06,16.08,16.08,15.94,15.94,1604032.0,
2020-05-07,15.94,16.08,15.92,16.02,737464.0,
2020-05-08,16.0,16.1,16.0,16.06,1448874.0,
2020-05-11,16.04,16.08,15.9,16.06,5482024.0,
2020-05-12,16.06,16.08,15.94,16.08,1802040.0,
2020-05-13,16.08,16.08,16.0,16.08,1377074.0,
2020-05-14,16.08,16.08,15.96,16.06,1772920.0,
2020-05-15,16.06,16.08,16.0,16.06,1366096.0,
2020-05-18,16.02,16.08,16.02,16.08,1019722.0,
2020-05-19,16.1,16.74,16.08,16.6,7513810.0,
2020-05-20,16.8,17.12,16.66,16.8,5376246.0,
2020-05-21,16.98,16.98,16.66,16.94,3668618.0,
2020-05-22,16.94,18.2,16.82,17.68,14388716.0,
2020-05-26,17.8,18.0,16.22,16.96,13677816.0,
2020-05-27,17.0,17.0,16.3,16.7,3605494.0,
2020-05-28,16.7,16.7,16.34,16.34,3781090.0,
2020-05-29,16.4,16.86,16.02,16.02,10831912.0,
2020-06-01,16.04,16.68,16.04,16.58,4286934.0,
2020-06-02,16.58,17.0,16.58,16.98,3209770.0,
2020-06-03,16.98,17.48,16.96,17.04,16555414.0,
2020-06-04,17.26,17.8,17.24,17.5,5720310.0,
2020-06-05,17.5,17.5,17.12,17.48,2393040.0,
2020-06-08,17.48,18.2,17.42,18.18,8608994.0,
2020-06-09,18.18,18.6,18.18,18.6,5293002.0,
2020-06-10,18.62,18.66,17.72,18.0,4233174.0,
2020-06-11,18.1,20.9,18.1,20.0,62721082.0,
2020-06-15,21.1,22.2,19.0,20.05,110794919.0,
2020-06-16,20.5,20.6,19.1,19.16,27064778.0,
2020-06-17,19.16,19.6,18.4,18.48,26172850.0,
2020-06-18,18.5,18.5,17.02,17.2,29789498.0,
2020-06-19,17.2,18.3,17.2,17.5,15454268.0,
2020-06-22,17.0,17.3,16.64,17.3,16846066.0,
2020-06-23,17.3,18.0,17.3,17.88,8090510.0,
2020-06-24,18.0,18.24,17.6,17.96,8805504.0,
2020-06-25,17.8,17.92,17.26,17.78,4603282.0,
2020-06-26,17.4,17.78,17.1,17.12,9104644.0,
2020-06-29,17.12,17.7,17.06,17.18,3717124.0,
2020-06-30,17.2,17.2,17.06,17.12,3620924.0,
2020-07-01,17.1,17.1,16.8,17.08,4326766.0,
2020-07-02,17.08,17.08,16.86,17.0,5786224.0,
2020-07-03,17.0,17.06,16.94,17.0,3256284.0,
2020-07-06,17.02,17.08,16.94,17.0,1747812.0,
2020-07-07,17.0,17.48,17.0,17.38,3453492.0,
2020-07-08,17.48,17.48,17.1,17.24,2224352.0,
2020-07-09,17.2,17.44,17.0,17.0,4035692.0,
2020-07-10,17.1,17.12,16.98,17.1,4639074.0,
2020-07-13,17.0,17.0,16.84,16.84,3045124.0,
2020-07-14,16.82,16.86,16.5,16.86,4371372.0,
2020-07-15,16.86,16.9,16.32,16.78,4950238.0,
2020-07-16,16.84,17.0,16.36,16.8,3695862.0,
2020-07-17,16.8,16.84,16.42,16.8,3376488.0,
2020-07-20,16.8,16.8,16.3,16.58,5423090.0,
2020-07-21,16.58,16.58,16.4,16.48,2618088.0,
2020-07-22,16.4,16.4,16.32,16.32,1187506.0,
2020-07-23,16.32,16.5,16.1,16.5,4676592.0,
2020-07-24,16.1,16.5,16.1,16.4,5822642.0,
2020-07-27,16.22,16.26,15.98,16.26,3285216.0,
2020-07-28,15.98,16.26,15.94,16.02,2620028.0,
2020-07-29,16.02,16.26,16.02,16.1,1924118.0,
2020-07-30,16.1,16.4,16.0,16.0,22409868.0,
2020-08-03,16.0,16.4,15.96,15.98,3354448.0,
2020-08-04,,,,16.1,,179500.0
2020-08-05,,,,15.98,,221000.0
2020-08-06,,,,16.0,,118400.0
2020-08-07,,,,16.0,,236700.0
2020-08-10,,,,16.0,,242400.0
2020-08-11,,,,15.98,,148100.0
2020-08-12,,,,15.5,,436900.0
2020-08-13,,,,15.0,,727200.0
2020-08-14,,,,15.0,,623600.0
2020-08-17,,,,15.5,,750800.0
2020-08-18,,,,15.4,,432000.0
2020-08-19,,,,15.2,,334400.0
2020-08-20,,,,15.46,,145500.0
2020-08-24,,,,15.1,,457000.0
2020-08-25,,,,15.1,,433700.0
2020-08-26,,,,14.96,,51700.0
2020-08-27,,,,14.92,,178800.0
2020-08-28,,,,15.0,,1082200.0
2020-09-01,,,,15.0,,1988900.0
2020-09-02,,,,14.76,,183700.0
2020-09-03,,,,14.74,,409700.0
2020-09-04,,,,14.74,,160600.0
2020-09-07,,,,14.8,,275100.0
2020-09-08,,,,14.78,,202900.0
2020-09-09,,,,14.68,,295700.0
2020-09-10,,,,14.6,,541700.0
2020-09-11,,,,14.5,,623200.0
2020-09-14,,,,14.7,,274200.0
2020-09-15,,,,14.46,,239200.0
2020-09-16,,,,14.48,,604200.0
2020-09-17,,,,14.26,,1212200.0
2020-09-18,,,,14.28,,1536200.0
2020-09-21,,,,14.2,,1509800.0
2020-09-22,,,,14.14,,1281100.0
2020-09-23,,,,14.24,,1132200.0
2020-09-24,,,,14.16,,2075900.0
2020-09-25,,,,14.14,,1782700.0
2020-09-28,,,,14.0,,3174300.0
