dt,open,high,low,close,value,volume
2020-03-02,4.06,4.2,4.0,4.0,146070.0,
2020-03-03,4.2,4.2,4.0,4.0,117050.0,
2020-03-04,4.0,4.19,4.0,4.19,20570.0,
2020-03-05,4.0,4.2,4.0,4.2,50000.0,
2020-03-06,4.0,4.0,4.0,4.0,32000.0,
2020-03-09,4.0,4.0,3.5,3.6,153300.0,
2020-03-10,3.6,3.6,3.6,3.6,136800.0,
2020-03-11,3.5,3.6,3.5,3.6,35500.0,
2020-03-12,3.31,3.31,3.2,3.2,305090.0,
2020-03-13,3.01,3.25,3.01,3.2,345320.0,
2020-03-16,3.17,3.19,3.0,3.0,407150.0,
2020-03-19,2.8,3.0,2.8,2.8,453100.0,
2020-03-20,2.8,3.2,2.5,2.5,501460.0,
2020-03-23,2.52,2.52,2.52,2.52,35280.0,
2020-03-24,2.6,2.6,2.6,2.6,2600.0,
2020-03-25,2.9,3.3,2.9,3.3,456040.0,
2020-03-26,3.3,3.7,3.22,3.4,442980.0,
2020-03-27,3.45,3.6,3.2,3.2,169650.0,
2020-03-30,3.25,3.3,3.25,3.25,19550.0,
2020-03-31,3.3,3.58,3.3,3.54,31100.0,
2020-04-01,,,,,,
2020-04-02,3.4,3.54,3.18,3.53,248310.0,
2020-04-03,3.5,3.5,3.5,3.5,14000.0,
2020-04-06,3.49,3.49,3.18,3.49,61520.0,
2020-04-07,3.3,3.6,3.3,3.59,135000.0,
2020-04-08,3.55,3.6,3.55,3.6,35810.0,
2020-04-13,3.4,3.7,3.4,3.4,209020.0,
2020-04-14,3.8,3.8,3.5,3.65,164550.0,
2020-04-15,3.8,3.98,3.8,3.9,379840.0,
2020-04-16,4.0,4.0,3.75,3.95,362840.0,
2020-04-17,3.99,3.99,3.8,3.8,45930.0,
2020-04-20,3.7,3.7,3.6,3.6,148700.0,
2020-04-21,3.6,3.85,3.25,3.5,350280.0,
2020-04-22,3.8,3.8,3.5,3.5,22420.0,
2020-04-23,3.5,3.78,3.27,3.5,110660.0,
2020-04-24,3.5,3.52,3.36,3.52,150090.0,
2020-04-27,3.65,3.75,3.65,3.65,73300.0,
2020-04-28,3.65,3.8,3.56,3.61,318150.0,
2020-04-29,3.83,3.83,3.66,3.75,86370.0,
2020-04-30,3.74,3.74,3.61,3.74,40670.0,
2020-05-04,3.74,3.95,3.74,3.95,487490.0,
2020-05-05,4.0,4.25,4.0,4.0,644350.0,
2020-05-06,3.97,4.15,3.97,4.0,96570.0,
2020-05-07,4.0,4.0,4.0,4.0,16000.0,
2020-05-08,3.97,4.0,3.97,4.0,183900.0,
2020-05-11,3.97,4.1,3.97,4.1,64310.0,
2020-05-12,4.09,4.1,4.05,4.05,142230.0,
2020-05-13,4.05,4.05,3.97,3.97,55990.0,
2020-05-14,3.97,3.97,3.96,3.96,118820.0,
2020-05-15,3.96,3.96,3.96,3.96,3960.0,
2020-05-18,3.97,3.97,3.96,3.96,75260.0,
2020-05-19,3.96,3.96,3.83,3.86,50790.0,
2020-05-20,3.83,3.85,3.82,3.82,76500.0,
2020-05-21,3.96,3.96,3.96,3.96,237600.0,
2020-05-22,4.12,4.65,4.05,4.1,963420.0,
2020-05-26,4.64,4.64,4.2,4.2,508140.0,
2020-05-27,4.22,4.25,4.2,4.25,235360.0,
2020-05-28,4.5,4.5,4.4,4.4,44200.0,
2020-05-29,4.54,4.54,4.45,4.5,116540.0,
2020-06-01,4.5,4.55,4.15,4.49,70390.0,
2020-06-02,4.49,4.5,4.49,4.5,26960.0,
2020-06-03,4.5,4.5,4.4,4.45,125180.0,
2020-06-04,4.45,4.45,4.21,4.4,51010.0,
2020-06-05,4.38,4.5,4.38,4.45,97760.0,
2020-06-08,4.4,4.5,4.25,4.5,1244230.0,
2020-06-09,4.5,4.5,4.5,4.5,112500.0,
2020-06-10,4.5,4.5,4.44,4.44,53460.0,
2020-06-11,4.5,4.5,4.46,4.46,350600.0,
2020-06-15,4.46,4.46,4.19,4.26,290480.0,
2020-06-16,4.27,4.27,4.27,4.27,46970.0,
2020-06-17,4.22,4.25,4.22,4.25,12690.0,
2020-06-18,4.49,4.49,4.4,4.4,13290.0,
2020-06-19,4.3,4.49,4.3,4.42,39830.0,
2020-06-22,4.5,4.5,4.38,4.38,8880.0,
2020-06-23,4.3,4.3,4.3,4.3,12900.0,
2020-06-24,4.32,4.32,4.31,4.31,34500.0,
2020-06-25,,,,,,
2020-06-26,4.2,4.2,4.19,4.2,46180.0,
2020-06-29,4.45,4.45,4.2,4.2,46450.0,
2020-06-30,4.2,4.2,4.2,4.2,54600.0,
2020-07-01,,,,,,
2020-07-02,4.25,4.25,4.2,4.2,92590.0,
2020-07-03,4.18,4.2,4.18,4.2,402770.0,
2020-07-06,4.2,4.2,4.2,4.2,117600.0,
2020-07-07,4.2,4.2,4.16,4.16,50220.0,
2020-07-08,4.2,4.2,4.16,4.16,96480.0,
2020-07-09,4.16,4.16,4.16,4.16,29120.0,
2020-07-10,4.18,4.18,4.16,4.16,25040.0,
2020-07-13,4.16,4.17,4.15,4.15,70680.0,
2020-07-14,4.16,4.16,4.04,4.04,36600.0,
2020-07-15,4.1,4.1,3.98,4.0,375110.0,
