dt,open,high,low,close,value,volume
2020-03-02,3.97,4.09,3.66,3.99,931020.0,
2020-03-03,3.98,4.0,3.98,4.0,1863040.0,
2020-03-04,3.99,3.99,3.99,3.99,159600.0,
2020-03-05,3.99,3.99,3.99,3.99,11970.0,
2020-03-06,,,,,,
2020-03-09,3.4,3.98,3.4,3.98,148840.0,
2020-03-10,,,,,,
2020-03-11,3.99,3.99,3.99,3.99,1005480.0,
2020-03-12,3.6,3.99,3.6,3.99,49830.0,
2020-03-13,,,,,,
2020-03-16,3.1,3.13,3.1,3.13,362780.0,
2020-03-19,3.14,3.14,2.99,3.14,42440.0,
2020-03-20,2.83,2.83,2.82,2.82,87430.0,
2020-03-23,,,,,,
2020-03-24,2.83,2.83,2.82,2.82,112810.0,
2020-03-25,,,,,,
2020-03-26,3.0,3.0,3.0,3.0,30000.0,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,3.1,3.5,3.1,3.5,6600.0,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,2.53,2.53,2.53,2.53,25300.0,
2020-04-06,2.7,2.95,2.7,2.76,25460.0,
2020-04-07,2.82,2.82,2.7,2.7,410400.0,
2020-04-08,3.29,3.29,3.29,3.29,6580.0,
2020-04-13,,,,,,
2020-04-14,3.26,3.26,3.26,3.26,3260.0,
2020-04-15,3.1,3.26,3.03,3.05,1014210.0,
2020-04-16,3.05,3.05,3.03,3.03,93990.0,
2020-04-17,3.03,3.03,2.81,3.03,176910.0,
2020-04-20,2.82,2.95,2.8,2.95,246310.0,
2020-04-21,2.89,2.89,2.89,2.89,2890.0,
2020-04-22,3.0,3.0,3.0,3.0,81000.0,
2020-04-23,3.0,3.0,3.0,3.0,78000.0,
2020-04-24,2.81,3.03,2.81,3.03,80620.0,
2020-04-27,,,,,,
2020-04-28,3.03,3.05,3.03,3.05,57630.0,
2020-04-29,3.1,3.1,3.1,3.1,3100.0,
2020-04-30,,,,,,
2020-05-04,2.9,2.9,2.8,2.8,243830.0,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,3.07,3.07,3.07,3.07,3070.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,2.81,2.81,2.81,2.81,5620.0,
2020-05-15,2.8,3.04,2.8,3.04,88000.0,
2020-05-18,2.81,2.81,2.81,2.81,89920.0,
2020-05-19,,,,,,
2020-05-20,2.8,2.8,2.8,2.8,2800.0,
2020-05-21,2.8,2.8,2.8,2.8,280000.0,
2020-05-22,3.0,3.0,3.0,3.0,3000.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,2.85,2.85,2.85,2.85,25650.0,
2020-05-29,2.85,2.85,2.85,2.85,88350.0,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,2.8,2.83,2.79,2.8,744870.0,
2020-06-05,2.83,2.97,2.8,2.97,162650.0,
2020-06-08,2.97,2.97,2.96,2.97,74020.0,
2020-06-09,2.97,3.08,2.96,3.08,111940.0,
2020-06-10,3.06,3.08,3.06,3.08,9200.0,
2020-06-11,2.99,3.0,2.99,3.0,44970.0,
2020-06-15,2.89,3.0,2.89,2.9,65500.0,
2020-06-16,3.0,3.08,3.0,3.08,9130.0,
2020-06-17,2.89,2.89,2.89,2.89,5780.0,
2020-06-18,2.9,3.0,2.88,3.0,122690.0,
2020-06-19,3.0,3.0,3.0,3.0,18000.0,
2020-06-22,3.01,3.01,3.01,3.01,36120.0,
2020-06-23,2.88,2.88,2.88,2.88,28800.0,
2020-06-24,2.9,2.96,2.66,2.68,380550.0,
2020-06-25,2.7,2.91,2.61,2.73,514150.0,
2020-06-26,2.85,2.89,2.7,2.8,111320.0,
2020-06-29,2.99,2.99,2.83,2.9,37330.0,
2020-06-30,2.89,2.89,2.89,2.89,20230.0,
2020-07-01,2.8,2.81,2.8,2.81,30810.0,
