dt,open,high,low,close,value,volume
2020-03-02,1.6,1.63,1.51,1.54,29865950.0,
2020-03-03,1.58,1.63,1.52,1.52,28628370.0,
2020-03-04,1.54,1.72,1.53,1.72,87217660.0,
2020-03-05,1.75,1.77,1.67,1.71,45247510.0,
2020-03-06,1.69,1.69,1.55,1.58,66412140.0,
2020-03-09,1.52,1.53,1.38,1.41,50675490.0,
2020-03-10,1.3,1.41,1.28,1.39,21946780.0,
2020-03-11,1.43,1.49,1.38,1.42,14054610.0,
2020-03-12,1.34,1.35,1.11,1.11,63183700.0,
2020-03-13,1.04,1.2,1.0,1.18,42245450.0,
2020-03-16,1.16,1.22,1.06,1.15,20013470.0,
2020-03-19,1.08,1.09,1.0,1.06,25053860.0,
2020-03-20,1.04,1.14,1.03,1.14,18511120.0,
2020-03-23,1.1,1.14,1.05,1.11,12534950.0,
2020-03-24,1.12,1.21,1.12,1.19,16483770.0,
2020-03-25,1.25,1.32,1.21,1.29,31885190.0,
2020-03-26,1.34,1.45,1.32,1.44,55673520.0,
2020-03-27,1.49,1.67,1.33,1.53,113298290.0,
2020-03-30,1.55,1.59,1.44,1.53,55335120.0,
2020-03-31,1.6,1.7,1.56,1.7,99727820.0,
2020-04-01,1.75,1.78,1.57,1.6,168551260.0,
2020-04-02,1.52,1.62,1.5,1.58,56803280.0,
2020-04-03,1.59,1.63,1.55,1.58,27046450.0,
2020-04-06,1.6,1.68,1.6,1.68,37485250.0,
2020-04-07,1.72,1.78,1.65,1.66,79755840.0,
2020-04-08,1.67,1.7,1.63,1.7,29697930.0,
2020-04-13,1.72,1.87,1.7,1.85,125817170.0,
2020-04-14,1.88,2.01,1.87,1.97,170199380.0,
2020-04-15,2.04,2.06,1.91,1.94,105375020.0,
2020-04-16,1.89,1.93,1.83,1.9,72852170.0,
2020-04-17,1.92,2.1,1.92,2.09,130287990.0,
2020-04-20,2.13,2.35,2.13,2.33,238511890.0,
2020-04-21,2.35,2.37,2.16,2.32,228322910.0,
2020-04-22,2.22,2.32,2.17,2.29,139007280.0,
2020-04-23,2.34,2.45,2.26,2.28,239574580.0,
2020-04-24,2.27,2.33,2.22,2.28,92115680.0,
2020-04-27,2.31,2.33,2.09,2.09,137068360.0,
2020-04-28,2.07,2.1,1.98,2.03,202317070.0,
2020-04-29,2.05,2.18,2.0,2.18,116735810.0,
2020-04-30,2.24,2.27,2.18,2.2,98054670.0,
2020-05-04,2.12,2.18,2.1,2.14,40062810.0,
2020-05-05,2.14,2.22,2.12,2.19,31581740.0,
2020-05-06,2.23,2.26,2.15,2.18,41126970.0,
2020-05-07,2.17,2.22,2.16,2.17,27424290.0,
2020-05-08,2.2,2.2,2.05,2.1,80073990.0,
2020-05-11,2.1,2.1,2.03,2.09,38276590.0,
2020-05-12,2.09,2.15,2.08,2.15,26939790.0,
2020-05-13,2.15,2.17,2.1,2.14,22104720.0,
2020-05-14,2.15,2.15,2.09,2.11,19636710.0,
2020-05-15,2.13,2.15,2.1,2.14,20852560.0,
2020-05-18,2.15,2.25,2.15,2.2,57676980.0,
2020-05-19,2.24,2.25,2.17,2.19,27805070.0,
2020-05-20,2.19,2.2,2.13,2.16,25692030.0,
2020-05-21,2.17,2.27,2.15,2.27,64888060.0,
2020-05-22,2.28,2.32,2.21,2.21,138815740.0,
2020-05-26,2.23,2.25,2.12,2.17,63217440.0,
2020-05-27,2.17,2.22,2.13,2.21,32176320.0,
2020-05-28,2.22,2.25,2.19,2.2,35708040.0,
2020-05-29,2.21,2.26,2.18,2.25,48938070.0,
2020-06-01,2.27,2.34,2.27,2.32,94871630.0,
2020-06-02,2.34,2.42,2.34,2.42,120411080.0,
2020-06-03,2.45,2.62,2.45,2.61,196841740.0,
2020-06-04,2.65,2.66,2.5,2.54,151434240.0,
2020-06-05,2.54,2.61,2.45,2.6,120451670.0,
2020-06-08,2.64,2.84,2.63,2.81,170942620.0,
2020-06-09,2.8,2.85,2.67,2.77,214736530.0,
2020-06-10,2.77,2.85,2.7,2.78,101033620.0,
2020-06-11,2.76,2.76,2.65,2.72,87552000.0,
2020-06-15,2.63,2.65,2.56,2.57,118429800.0,
2020-06-16,2.58,2.74,2.57,2.74,84992010.0,
2020-06-17,2.76,3.17,2.75,3.14,360545380.0,
2020-06-18,3.15,3.37,3.02,3.1,303304220.0,
2020-06-19,3.09,3.25,3.02,3.24,139535470.0,
2020-06-22,3.3,3.88,3.29,3.73,456372650.0,
2020-06-23,3.85,3.92,3.66,3.71,437351760.0,
2020-06-24,3.71,3.83,3.58,3.6,281179080.0,
2020-06-25,3.52,3.58,3.42,3.44,321971740.0,
2020-06-26,3.5,3.71,3.48,3.65,256881820.0,
2020-06-29,3.74,3.76,3.5,3.68,291318870.0,
2020-06-30,3.76,3.77,3.61,3.7,114190280.0,
