dt,open,high,low,close,value,volume
2020-03-02,6.44,6.58,6.38,6.5,25319.0,
2020-03-03,6.5,6.81,6.48,6.49,44252.0,
2020-03-04,6.49,6.6,6.45,6.47,23288.0,
2020-03-05,6.47,6.47,6.37,6.42,28112.0,
2020-03-06,6.35,6.41,6.34,6.38,51027.0,
2020-03-09,6.4,6.4,5.99,6.05,561967.0,
2020-03-10,6.04,6.52,5.95,6.11,170765.0,
2020-03-11,6.4,6.98,6.15,6.15,165349.0,
2020-03-12,6.1,6.15,5.99,6.15,12064.0,
2020-03-13,5.98,6.7,5.54,6.2,109481.0,
2020-03-16,5.56,6.2,5.56,6.2,6825.0,
2020-03-19,,,,,,
2020-03-20,6.15,6.15,5.75,5.76,29900.0,
2020-03-23,6.0,6.0,5.71,6.0,6963.0,
2020-03-24,6.0,6.0,5.75,6.0,14137.0,
2020-03-25,6.51,6.51,6.0,6.2,88511.0,
2020-03-26,6.0,6.68,6.0,6.5,69113.0,
2020-03-27,6.5,6.67,6.23,6.5,16117.0,
2020-03-30,6.68,6.68,6.14,6.5,16188.0,
2020-03-31,6.25,6.48,6.25,6.35,15120.0,
2020-04-01,6.2,6.35,6.08,6.35,21523.0,
2020-04-02,6.07,6.33,5.96,6.3,28080.0,
2020-04-03,6.07,6.2,6.04,6.2,20691.0,
2020-04-06,6.03,6.2,6.03,6.2,406618.0,
2020-04-07,6.21,6.21,6.06,6.19,40210.0,
2020-04-08,6.22,6.22,6.16,6.17,79363.0,
2020-04-13,6.16,6.5,6.16,6.5,87140.0,
2020-04-14,6.5,6.9,6.35,6.5,88935.0,
2020-04-15,6.89,6.89,6.49,6.89,42235.0,
2020-04-16,6.95,6.95,6.54,6.95,50684.0,
2020-04-17,7.06,7.1,6.85,7.07,57306.0,
2020-04-20,7.14,7.15,6.76,6.97,8263.0,
2020-04-21,6.84,6.97,6.7,6.85,22350.0,
2020-04-22,6.85,6.85,6.53,6.65,23154.0,
2020-04-23,6.6,6.69,6.56,6.69,7908.0,
2020-04-24,6.7,6.7,6.5,6.5,30350.0,
2020-04-27,6.65,6.87,6.55,6.87,38697.0,
2020-04-28,6.59,6.86,6.59,6.86,7519.0,
2020-04-29,6.59,7.22,6.59,7.0,113265.0,
2020-04-30,6.72,7.0,6.72,6.87,11620.0,
2020-05-04,,,,,,
2020-05-05,6.99,7.2,6.81,7.2,63121.0,
2020-05-06,6.85,7.16,6.85,7.16,4141.0,
2020-05-07,7.0,7.21,7.0,7.1,12101.0,
2020-05-08,7.01,7.16,7.01,7.15,8441.0,
2020-05-11,7.15,7.15,7.15,7.15,715.0,
2020-05-12,7.15,7.36,7.01,7.3,82070.0,
2020-05-13,7.28,7.28,7.09,7.28,4301.0,
2020-05-14,7.28,7.37,7.15,7.2,73878.0,
2020-05-15,7.2,7.21,7.0,7.21,105700.0,
2020-05-18,7.07,7.18,7.0,7.16,72900.0,
2020-05-19,7.16,7.16,7.01,7.12,12743.0,
2020-05-20,7.15,7.15,7.15,7.15,715.0,
2020-05-21,7.0,7.12,7.0,7.12,17740.0,
2020-05-22,7.0,7.1,7.0,7.1,8500.0,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,,,,,,
2020-06-02,7.1,7.1,7.0,7.09,75849.0,
2020-06-03,7.21,7.21,7.0,7.14,12789.0,
2020-06-04,7.04,7.15,6.99,7.15,74220.0,
2020-06-05,,,,,,
2020-06-08,7.15,7.15,7.02,7.15,24950.0,
2020-06-09,7.13,7.15,7.03,7.15,43354.0,
2020-06-10,7.1,7.15,7.03,7.15,358061.0,
2020-06-11,7.15,7.15,7.11,7.11,7130.0,
2020-06-15,7.22,7.47,7.13,7.41,101123.0,
2020-06-16,7.47,7.7,7.25,7.68,8157400.0,
2020-06-17,7.69,7.97,7.56,7.8,9998754.0,
2020-06-18,7.84,7.97,7.68,7.69,3972760.0,
2020-06-19,7.66,7.8,7.65,7.7,200057.0,
2020-06-22,7.64,7.78,7.39,7.75,8097847.0,
2020-06-23,7.69,7.69,7.35,7.59,887890.0,
2020-06-24,7.51,7.6,7.51,7.56,105348.0,
2020-06-25,7.5,7.59,7.38,7.57,89656.0,
2020-06-26,7.58,7.58,7.38,7.58,52051.0,
2020-06-29,7.58,7.58,7.5,7.55,52954.0,
2020-06-30,7.57,7.57,7.41,7.5,37523.0,
2020-07-01,7.5,7.5,7.38,7.38,240733.0,
2020-07-02,7.47,7.47,7.15,7.38,37676.0,
2020-07-03,,,,,,
2020-07-06,7.4,7.4,7.18,7.19,9447.0,
2020-07-07,7.19,7.3,7.19,7.3,48118.0,
2020-07-08,7.24,7.35,7.24,7.35,19099.0,
2020-07-09,7.38,7.5,7.35,7.39,95374.0,
2020-07-10,7.5,7.5,7.4,7.46,265445.0,
2020-07-13,7.49,7.49,7.39,7.47,10444.0,
2020-07-14,7.49,7.49,7.37,7.48,2971.0,
2020-07-15,7.37,7.48,7.15,7.15,1227287.0,
2020-07-16,7.25,7.25,7.02,7.1,11382.0,
2020-07-17,7.11,7.11,6.9,6.9,104345.0,
2020-07-20,6.88,6.99,6.54,6.89,72853.0,
2020-07-21,6.99,7.49,6.7,7.39,9186.0,
2020-07-22,7.05,7.43,7.05,7.33,83664.0,
2020-07-23,7.38,7.51,7.27,7.5,1337405.0,
2020-07-24,7.51,7.51,7.34,7.35,124086.0,
2020-07-27,7.43,7.5,7.35,7.5,19245.0,
2020-07-28,7.5,7.51,7.4,7.5,608006.0,
2020-07-29,7.5,7.5,7.37,7.5,24620.0,
2020-07-30,7.5,7.5,7.39,7.45,32662.0,
2020-08-03,7.4,7.44,7.31,7.43,46368.0,
2020-08-04,,,,7.55,,30200.0
2020-08-05,,,,7.76,,34500.0
2020-08-06,,,,7.69,,30400.0
2020-08-07,,,,7.96,,34800.0
2020-08-10,,,,7.99,,45600.0
2020-08-11,,,,7.93,,22900.0
2020-08-12,,,,7.72,,33600.0
2020-08-13,,,,7.65,,43900.0
2020-08-14,,,,7.68,,7300.0
2020-08-17,,,,7.64,,13500.0
2020-08-18,,,,7.52,,17000.0
2020-08-19,,,,7.47,,497100.0
2020-08-20,,,,7.55,,13300.0
2020-08-24,,,,7.66,,30400.0
2020-08-25,,,,7.66,,2200.0
2020-08-26,,,,7.78,,22200.0
