dt,open,high,low,close,value,volume
2020-03-02,5.28,5.36,5.1,5.31,66965040.0,
2020-03-03,5.31,5.38,5.18,5.32,31876472.0,
2020-03-04,5.36,5.36,5.2,5.32,59972172.0,
2020-03-05,5.36,5.39,5.18,5.29,63351215.0,
2020-03-06,5.45,5.58,5.3,5.33,76201135.0,
2020-03-09,5.33,5.33,5.05,5.15,67037665.0,
2020-03-10,5.14,5.14,5.0,5.06,89680648.0,
2020-03-11,5.11,5.22,5.11,5.2,55285232.0,
2020-03-12,5.06,5.08,4.75,4.88,120318245.0,
2020-03-13,4.31,5.06,4.31,5.02,72845590.0,
2020-03-16,4.68,5.0,4.53,4.7,72474438.0,
2020-03-19,4.01,4.04,3.1,3.29,72897540.0,
2020-03-20,3.35,3.71,3.28,3.69,64215510.0,
2020-03-23,3.5,3.51,3.19,3.35,49755760.0,
2020-03-24,3.4,3.46,3.3,3.4,28670690.0,
2020-03-25,3.55,3.6,3.42,3.44,32020600.0,
2020-03-26,3.49,3.59,3.49,3.55,33313480.0,
2020-03-27,3.62,3.79,3.58,3.6,43855070.0,
2020-03-30,3.55,3.72,3.5,3.6,75591650.0,
2020-03-31,3.7,3.89,3.66,3.77,36490820.0,
2020-04-01,3.8,3.92,3.79,3.9,21231650.0,
2020-04-02,3.85,3.85,3.74,3.75,18559980.0,
2020-04-03,3.8,3.85,3.78,3.84,12390260.0,
2020-04-06,3.84,4.07,3.8,4.02,130584150.0,
2020-04-07,4.1,4.25,4.04,4.04,37443530.0,
2020-04-08,4.2,4.2,3.99,4.0,36142160.0,
2020-04-13,4.08,4.17,4.05,4.15,17215430.0,
2020-04-14,4.18,4.35,4.18,4.29,31372800.0,
2020-04-15,4.3,4.56,4.3,4.47,100309000.0,
2020-04-16,4.47,4.48,4.2,4.2,49078280.0,
2020-04-17,4.44,4.44,4.31,4.37,30503010.0,
2020-04-20,4.4,4.45,4.38,4.41,15239660.0,
2020-04-21,4.4,4.4,4.2,4.2,42515210.0,
2020-04-22,4.14,4.2,4.04,4.18,22708300.0,
2020-04-23,4.21,4.4,4.21,4.25,12161810.0,
2020-04-24,4.35,4.35,4.18,4.18,12128310.0,
2020-04-27,4.19,4.28,4.17,4.2,9019860.0,
2020-04-28,4.2,4.25,4.12,4.12,17131330.0,
2020-04-29,4.21,4.21,4.13,4.14,12246440.0,
2020-04-30,4.18,4.2,4.12,4.12,43669580.0,
2020-05-04,4.14,4.15,4.04,4.15,28328860.0,
2020-05-05,4.26,4.33,4.17,4.23,55595560.0,
2020-05-06,4.32,4.37,4.17,4.22,105049700.0,
2020-05-07,4.25,4.29,4.08,4.1,46129560.0,
2020-05-08,4.15,4.19,4.12,4.15,13586550.0,
2020-05-11,4.2,4.26,4.17,4.19,24165760.0,
2020-05-12,4.2,4.32,4.2,4.26,16364340.0,
2020-05-13,4.37,4.48,4.25,4.25,57738460.0,
2020-05-14,4.25,4.25,4.13,4.13,28008560.0,
2020-05-15,4.15,4.15,4.01,4.15,41389650.0,
2020-05-18,4.15,4.15,4.01,4.07,27303230.0,
2020-05-19,4.07,4.15,4.05,4.05,21270340.0,
2020-05-20,4.05,4.13,4.03,4.05,15495150.0,
2020-05-21,4.1,4.12,4.08,4.1,11671520.0,
2020-05-22,4.1,4.13,4.07,4.1,11119600.0,
2020-05-26,4.1,4.1,3.92,3.93,24363520.0,
2020-05-27,3.95,4.02,3.93,4.0,17494290.0,
2020-05-28,4.05,4.05,3.9,3.9,49507680.0,
2020-05-29,3.95,4.05,3.9,3.94,208410580.0,
2020-06-01,4.0,4.06,3.93,3.95,28921350.0,
2020-06-02,4.0,4.12,3.98,4.08,41840130.0,
2020-06-03,4.15,4.32,4.11,4.32,55275010.0,
2020-06-04,4.38,4.45,4.31,4.4,91414120.0,
2020-06-05,4.5,4.62,4.38,4.59,102998960.0,
2020-06-08,4.65,4.77,4.6,4.71,114280540.0,
2020-06-09,4.75,4.77,4.49,4.62,97329160.0,
