dt,open,high,low,close,value,volume
2020-03-02,8.95,8.95,8.7,8.7,368986.0,
2020-03-03,8.71,8.8,8.5,8.5,3981447.0,
2020-03-04,8.45,8.45,8.3,8.35,1458687.0,
2020-03-05,8.35,8.63,8.35,8.6,228695.0,
2020-03-06,8.6,8.6,8.22,8.4,332564.0,
2020-03-09,8.2,8.2,7.22,7.8,2815498.0,
2020-03-10,7.22,8.0,7.22,8.0,483797.0,
2020-03-11,8.0,8.0,7.6,8.0,3088803.0,
2020-03-12,7.42,7.43,7.2,7.32,2728816.0,
2020-03-13,7.12,7.5,6.4,7.5,2018075.0,
2020-03-16,7.5,7.5,6.59,7.47,217863.0,
2020-03-19,7.1,7.1,7.0,7.1,459465.0,
2020-03-20,6.4,6.6,6.0,6.55,358225.0,
2020-03-23,6.13,7.0,6.12,7.0,14737.0,
2020-03-24,7.0,7.24,7.0,7.0,3010219.0,
2020-03-25,7.0,7.0,6.8,7.0,1100270.0,
2020-03-26,7.0,7.3,7.0,7.1,517310.0,
2020-03-27,7.1,7.5,6.9,6.9,765325.0,
2020-03-30,6.9,7.5,6.9,7.0,1034430.0,
2020-03-31,7.0,7.01,7.0,7.0,850099.0,
2020-04-01,6.9,7.0,6.9,7.0,34700.0,
2020-04-02,7.0,7.0,7.0,7.0,219800.0,
2020-04-03,7.0,7.2,7.0,7.0,948580.0,
2020-04-06,7.0,7.0,6.5,6.7,3451860.0,
2020-04-07,7.0,7.0,6.7,6.75,251628.0,
2020-04-08,6.9,7.0,6.9,6.9,18020.0,
2020-04-13,6.9,6.9,6.71,6.82,154209.0,
2020-04-14,7.0,7.3,7.0,7.24,538708.0,
2020-04-15,7.02,7.28,7.02,7.24,340186.0,
2020-04-16,7.26,7.26,7.02,7.02,188177.0,
2020-04-17,7.02,7.02,6.97,6.97,1130831.0,
2020-04-20,6.97,7.0,6.9,6.9,1321824.0,
2020-04-21,7.05,7.2,7.05,7.1,785665.0,
2020-04-22,7.2,7.2,6.91,6.92,1314728.0,
2020-04-23,6.98,7.15,6.95,7.15,83813.0,
2020-04-24,7.15,7.2,7.1,7.17,352180.0,
2020-04-27,7.26,7.38,6.82,6.85,1662133.0,
2020-04-28,7.0,7.0,6.98,6.99,264972.0,
2020-04-29,6.95,6.99,6.95,6.95,74410.0,
2020-04-30,6.96,6.99,6.9,6.9,886179.0,
2020-05-04,7.0,7.0,6.9,6.9,511718.0,
2020-05-05,6.9,7.0,6.9,6.99,1614372.0,
2020-05-06,6.99,7.0,6.95,6.95,116287.0,
2020-05-07,6.9,6.98,6.9,6.98,58216.0,
2020-05-08,6.99,7.1,6.8,6.99,586904.0,
2020-05-11,7.0,7.0,6.99,6.99,36383.0,
2020-05-12,6.8,6.95,6.8,6.83,346944.0,
2020-05-13,6.8,6.8,6.6,6.63,22080560.0,
2020-05-14,6.63,6.7,6.63,6.64,3208097.0,
2020-05-15,6.7,6.8,6.7,6.7,2984334.0,
2020-05-18,6.9,6.9,6.51,6.53,239233.0,
2020-05-19,6.53,6.6,6.52,6.52,855955.0,
2020-05-20,6.9,6.9,6.5,6.53,788719.0,
2020-05-21,6.5,6.5,6.46,6.5,809800.0,
2020-05-22,6.5,6.5,6.47,6.5,4152603.0,
2020-05-26,6.5,6.5,6.45,6.45,216977.0,
2020-05-27,6.5,6.5,6.41,6.42,258982.0,
2020-05-28,6.4,6.4,6.4,6.4,6833920.0,
2020-05-29,6.43,6.52,6.38,6.38,2191163.0,
2020-06-01,6.3,6.4,6.3,6.4,135132.0,
2020-06-02,6.45,6.5,6.38,6.5,6328296.0,
