dt,open,high,low,close,value,volume
2020-03-02,7.5,7.5,7.3,7.42,17919564.0,
2020-03-03,7.58,7.61,7.36,7.5,3267529.0,
2020-03-04,7.52,7.52,7.2,7.44,1885398.0,
2020-03-05,7.45,7.5,7.05,7.05,12517818.0,
2020-03-06,7.06,7.06,6.05,6.41,34593971.0,
2020-03-09,6.45,6.46,6.05,6.2,16972442.0,
2020-03-10,6.15,6.15,5.55,5.6,134799757.0,
2020-03-11,5.69,6.24,5.69,6.01,34643547.0,
2020-03-12,6.01,6.01,5.61,5.66,28099886.0,
2020-03-13,5.6,5.6,5.03,5.1,68507326.0,
2020-03-16,5.02,5.02,4.87,4.87,33210303.0,
2020-03-19,4.6,4.76,3.97,3.97,44593740.0,
2020-03-20,4.01,4.5,4.01,4.07,46752420.0,
2020-03-23,4.2,4.2,4.05,4.07,11834420.0,
2020-03-24,4.12,4.7,4.12,4.42,31036720.0,
2020-03-25,4.6,5.03,4.51,4.51,28180430.0,
2020-03-26,4.6,4.85,4.6,4.79,15304740.0,
2020-03-27,4.95,5.1,4.8,4.8,30008280.0,
2020-03-30,4.9,5.01,4.8,4.8,8533090.0,
2020-03-31,4.9,5.01,4.87,4.95,15096730.0,
2020-04-01,5.05,5.05,4.88,4.88,11460100.0,
2020-04-02,4.95,4.95,4.81,4.9,13509310.0,
2020-04-03,4.9,4.95,4.81,4.81,17538660.0,
2020-04-06,4.81,5.06,4.81,4.9,27080770.0,
2020-04-07,5.05,5.1,4.95,5.0,22829670.0,
2020-04-08,5.08,5.2,5.02,5.05,12824661.0,
2020-04-13,5.15,5.58,5.1,5.4,17383908.0,
2020-04-14,5.6,6.23,5.6,5.88,18113503.0,
2020-04-15,5.94,6.15,5.69,5.69,25259215.0,
2020-04-16,5.89,5.89,5.5,5.57,9695552.0,
2020-04-17,5.7,6.1,5.7,5.91,8961578.0,
2020-04-20,6.15,6.15,5.85,5.88,6418450.0,
2020-04-21,5.85,5.85,5.62,5.68,7305369.0,
2020-04-22,5.63,5.63,5.38,5.45,8303603.0,
2020-04-23,5.46,5.7,5.46,5.6,16305341.0,
2020-04-24,5.6,5.69,5.45,5.5,8253596.0,
2020-04-27,5.45,5.55,5.1,5.26,21780229.0,
2020-04-28,5.31,5.6,5.22,5.42,5000616.0,
2020-04-29,5.5,5.55,5.36,5.4,9198667.0,
2020-04-30,5.56,5.56,5.29,5.29,11754598.0,
2020-05-04,5.29,5.34,5.18,5.23,6917740.0,
2020-05-05,5.29,5.35,5.11,5.19,6480300.0,
2020-05-06,5.2,5.34,5.03,5.05,11694761.0,
2020-05-07,5.08,5.08,4.88,4.95,21989536.0,
2020-05-08,5.0,5.19,4.97,5.19,4926640.0,
2020-05-11,5.39,5.39,5.05,5.08,7142621.0,
2020-05-12,5.09,5.24,5.05,5.08,19861000.0,
2020-05-13,5.1,5.2,5.05,5.05,5570105.0,
2020-05-14,5.1,5.14,5.05,5.13,1185116.0,
2020-05-15,5.15,5.3,5.13,5.3,15514904.0,
2020-05-18,5.36,5.4,5.06,5.08,11151369.0,
2020-05-19,5.06,5.25,5.05,5.06,9006637.0,
2020-05-20,5.1,5.15,5.01,5.02,6343349.0,
2020-05-21,5.0,5.0,4.92,4.95,20904036.0,
2020-05-22,5.0,5.09,4.95,5.07,1639090.0,
2020-05-26,5.16,5.16,4.81,4.81,16618154.0,
2020-05-27,4.81,4.94,4.48,4.5,21996050.0,
2020-05-28,4.53,4.64,4.34,4.38,24702740.0,
2020-05-29,4.48,4.8,4.48,4.55,38434400.0,
2020-06-01,4.67,4.79,4.5,4.77,14090510.0,
2020-06-02,4.8,5.04,4.8,5.01,11719780.0,
2020-06-03,5.05,5.24,5.05,5.22,16975003.0,
2020-06-04,5.26,5.4,5.2,5.24,26860570.0,
2020-06-05,5.32,5.45,5.13,5.45,16792499.0,
2020-06-08,5.5,5.57,5.5,5.51,31107884.0,
2020-06-09,5.52,5.67,5.41,5.6,29910037.0,
2020-06-10,5.65,5.65,5.44,5.5,29642751.0,
2020-06-11,5.5,5.58,5.21,5.58,11062333.0,
2020-06-15,5.22,5.39,5.19,5.19,26662185.0,
2020-06-16,5.18,5.4,5.15,5.35,5453869.0,
2020-06-17,5.32,5.4,5.28,5.35,18261455.0,
2020-06-18,5.35,5.35,5.09,5.1,5962852.0,
2020-06-19,5.07,5.08,4.88,4.9,22550988.0,
2020-06-22,4.92,5.05,4.92,4.97,14142610.0,
2020-06-23,5.0,5.12,4.97,4.97,7049690.0,
2020-06-24,4.98,5.12,4.97,5.04,12121150.0,
2020-06-25,5.08,5.08,4.98,5.0,4812542.0,
